table_id,row_id,employment_sector_and_occupation_full_path,employment_sector_and_occupation_level_1,employment_sector_and_occupation_level_2,employment_sector_and_occupation_level_3,employment_sector_and_occupation_level_4,employment_sector_and_occupation_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_hispanic_or_latinoa_number,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_number,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_number,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_number,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_number,field_not_hispanic_or_latinob_other_racec_se
8228,r001,All sectors,All sectors,,,,1,872100,2425,40100,475,1400,125,219800,1600,31800,475,562950,2075,16000,575
8228,r002,All sectors -> Science occupations,All sectors,Science occupations,,,2,502250,2725,24250,500,700,100,118200,1525,16650,475,333150,2375,9250,500
8228,r003,"All sectors -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Science occupations,"Biological, agricultural, and other life scientists",,3,160850,1700,8050,325,150,50,41000,1050,4600,300,103800,1450,3250,250
8228,r004,All sectors -> Science occupations -> Computer and information scientists,All sectors,Science occupations,Computer and information scientists,,3,65450,1025,1800,150,,,29350,850,1050,125,32000,900,1200,225
8228,r005,All sectors -> Science occupations -> Mathematical scientists,All sectors,Science occupations,Mathematical scientists,,3,43950,875,2050,175,0.05,0.05,15200,625,1200,125,24800,700,650,125
8228,r006,All sectors -> Science occupations -> Physical scientists,All sectors,Science occupations,Physical scientists,,3,85100,1375,3400,175,50,50,19300,850,2200,175,58700,1150,1400,200
8228,r007,All sectors -> Science occupations -> Psychologists,All sectors,Science occupations,Psychologists,,3,78400,1025,4400,225,200,50,4150,350,3600,300,64500,925,1550,200
8228,r008,All sectors -> Science occupations -> Social scientists,All sectors,Science occupations,Social scientists,,3,68450,1150,4600,300,200,50,9150,450,3950,225,49400,1050,1150,150
8228,r009,All sectors -> Engineering occupations,All sectors,Engineering occupations,,,2,122800,1575,4800,225,100,50,50050,1150,3100,225,62900,1200,1800,250
8228,r010,All sectors -> S&E-related occupations,All sectors,S&E-related occupations,,,2,100450,1525,4050,250,200,75,24400,950,4750,325,65350,1125,1700,175
8228,r011,All sectors -> Non-S&E occupations,All sectors,Non-S&E occupations,,,2,146600,1825,7000,325,400,100,27150,950,7300,300,101550,1525,3200,325
8228,r012,All sectors -> 4-year educational institution<sup>d</sup>,All sectors,4-year educational institution<sup>d</sup>,,,2,340950,2450,17300,525,600,100,69800,1375,13650,425,233700,2075,5850,325
8228,r013,All sectors -> 4-year educational institution<sup>d</sup> -> Science occupations,All sectors,4-year educational institution<sup>d</sup>,Science occupations,,3,227900,2150,11650,450,350,75,45500,1175,8250,350,158300,1800,3900,300
8228,r014,"All sectors -> 4-year educational institution<sup>d</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,4-year educational institution<sup>d</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,77100,1275,3950,250,100,50,18100,800,2000,200,51600,1125,1400,175
8228,r015,All sectors -> 4-year educational institution<sup>d</sup> -> Science occupations -> Computer and information scientists,All sectors,4-year educational institution<sup>d</sup>,Science occupations,Computer and information scientists,4,14600,625,500,100,,,5450,400,400,75,8000,475,250,125
8228,r016,All sectors -> 4-year educational institution<sup>d</sup> -> Science occupations -> Mathematical scientists,All sectors,4-year educational institution<sup>d</sup>,Science occupations,Mathematical scientists,4,21200,625,1000,125,,,5650,425,650,100,13700,500,200,50
8228,r017,All sectors -> 4-year educational institution<sup>d</sup> -> Science occupations -> Physical scientists,All sectors,4-year educational institution<sup>d</sup>,Science occupations,Physical scientists,4,41000,1000,1650,150,S,S,8500,575,1100,150,29050,800,650,125
8228,r018,All sectors -> 4-year educational institution<sup>d</sup> -> Science occupations -> Psychologists,All sectors,4-year educational institution<sup>d</sup>,Science occupations,Psychologists,4,26100,775,1600,175,50,25,1950,250,1350,175,20550,700,600,125
