table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
3115,r001,All institutions,All institutions,,1,-,"['83,653,206', '']","['44,533,642', '']","['4,505,190', '']","['21,153,749', '']","['5,058,117', '']","['5,698,359', '']","['2,704,149', '']"
3115,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['2,917,436', '']","['2,482,130', '']","['7,526', '']","['152,043', '']","['105,805', '']","['166,571', '']","['3,361', '']"
3115,r003,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,2,"['1,675,805', '']","['886,851', '']","['2,706', '']","['608,028', '']","['98,997', '']","['68,758', '']","['10,465', '']"
3115,r004,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,3,"['1,595,098', '']","['671,047', '']","['30,392', '']","['394,740', '']","['103,463', '']","['232,094', '']","['163,362', '']"
3115,r005,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,4,"['1,506,285', '']","['717,359', '']","['16,182', '']","['491,734', '']","['158,554', '']","['119,464', '']","['2,992', '']"
3115,r006,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,5,"['1,425,601', '']","['992,643', '']","['27,125', '']","['117,341', '']","['58,211', '']","['194,296', '']","['35,985', '']"
3115,r007,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,6,"['1,353,763', '']","['698,925', '']","['44,786', '']","['301,297', '']","['86,865', '']","['99,338', '']","['122,552', '']"
3115,r008,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,7,"['1,306,376', '']","['600,714', '']","['70,016', '']","['285,010', '']","['76,217', '']","['197,337', '']","['77,082', '']"
3115,r009,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,8,"['1,297,331', '']","['608,925', '']","['94,861', '']","['415,634', '']","['26,518', '']","['115,774', '']","['35,619', '']"
3115,r010,All institutions -> Harvard U.,All institutions,Harvard U.,2,9,"['1,239,736', '']","['618,405', '']","['980', '']","['381,597', '']","['48,168', '']","['166,590', '']","['23,996', '']"
3115,r011,All institutions -> Duke U.,All institutions,Duke U.,2,10,"['1,226,517', '']","['709,705', '']","['498', '']","['154,081', '']","['236,292', '']","['105,775', '']","['20,166', '']"
3115,r012,All institutions -> Stanford U.,All institutions,Stanford U.,2,11,"['1,204,116', '']","['738,957', '']","['38,011', '']","['124,706', '']","['136,065', '']","['159,040', '']","['7,337', '']"
3115,r013,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,12,"['1,153,773', '']","['720,613', '']","['9,455', '']","['293,561', '']","['44,962', '']","['67,773', '']","['17,409', '']"
3115,r014,All institutions -> Cornell U.,All institutions,Cornell U.,2,13,"['1,144,534', '']","['525,182', '']","['92,698', '']","['227,319', '']","['56,461', '']","['118,002', '']","['124,872', '']"
3115,r015,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,14,"['1,096,600', '']","['696,880', '']","['34,241', '']","['279,371', '']","['30,775', '']","['50,561', '']","['4,772', '']"
3115,r016,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,15,"['1,080,951', '']","['677,559', '']","['9,702', '']","['187,204', '']","['25,312', '']","['67,014', '']","['114,160', '']"
3115,r017,All institutions -> Yale U.,All institutions,Yale U.,2,16,"['1,072,309', '']","['576,776', '']","['8,038', '']","['318,201', '']","['74,583', '']","['86,495', '']","['8,216', '']"
3115,r018,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,17,"['1,013,112', '']","['494,549', '']","['79,587', '']","['321,652', '']","['50,423', '']","['40,928', '']","['25,973', '']"
3115,r019,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,18,"['1,009,466', '']","['489,345', '']","['2,713', '']","['116,760', '']","['196,810', '']","['107,962', '']","['95,876', '']"
3115,r020,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,19,"['1,003,615', '']","['736,536', '']","['7,977', '']","['74,951', '']","['78,227', '']","['103,544', '']","['2,380', '']"
3115,r021,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,20,"['969,496', '']","['176,156', '']","['258,019', '']","['214,509', '']","['156,237', '']","['28,010', '']","['136,565', '']"
3115,r022,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,21,"['960,167', '']","['716,207', '']","['92,591', '']","['70,898', '']","['66,782', '']","['13,392', '']","['297', '']"
3115,r023,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,22,"['952,156', '']","['359,609', '']","['190,465', '']","['274,537', '']","['41,351', '']","['59,798', '']","['26,396', '']"
3115,r024,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,23,"['949,679', '']","['600,489', '']","['51,658', '']","['207,208', '']","['32,949', '']","['56,184', '']","['1,191', '']"
3115,r025,All institutions -> New York U.,All institutions,New York U.,2,24,"['934,720', '']","['436,850', '']","['22,939', '']","['229,172', '']","['50,280', '']","['80,137', '']","['115,342', '']"
3115,r026,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,25,"['929,250', '']","['497,651', '']","['62,752', '']","['136,923', '']","['157,885', '']","['49,679', '']","['24,360', '']"
3115,r027,All institutions -> U. Florida,All institutions,U. Florida,2,26,"['928,639', '']","['387,906', '']","['162,626', '']","['257,870', '']","['36,623', '']","['47,629', '']","['35,985', '']"
3115,r028,All institutions -> U. Southern California,All institutions,U. Southern California,2,27,"['909,683', '']","['543,607', '']","['13,301', '']","['189,168', '']","['47,241', '']","['50,917', '']","['65,449', '']"
3115,r029,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,28,"['887,088', '']","['543,508', '']","['963', '']","['157,727', '']","['96,311', '']","['87,106', '']","['1,473', '']"
3115,r030,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,29,"['857,069', '']","['502,300', '']","['14', '']","['243,099', '']","['53,528', '']","['50,647', '']","['7,481', '']"
3115,r031,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,30,"['804,282', '']","['374,707', '']","['66,894', '']","['206,406', '']","['51,284', '']","['47,250', '']","['57,741', '']"
3115,r032,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,31,"['802,931', '']","['347,601', '']","['35,002', '']","['166,865', '']","['75,009', '']","['128,481', '']","['49,973', '']"
3115,r033,All institutions -> Emory U.,All institutions,Emory U.,2,32,"['794,928', '']","['424,461', '']","['5,392', '']","['239,403', '']","['50,408', '']","['72,787', '']","['2,477', '']"
