table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_4_year_educational_institutiona_number,field_4_year_educational_institutiona_se,field_other_educational_institutionb_number,field_other_educational_institutionb_se,field_private_for_profitc_number,field_private_for_profitc_se,field_private_nonprofit_number,field_private_nonprofit_se,field_federal_government_number,field_federal_government_se,field_state_or_local_government_number,field_state_or_local_government_se,field_self_employedd_number,field_self_employedd_se,field_othere_number,field_othere_se
8205,r001,Doctorate recipient,Doctorate recipient,,,,1,872100,2425,340950,2450,27800,825,320850,2625,60200,1300,52700,1250,19650,750,42650,1075,7300,425
8205,r002,Doctorate recipient -> Sex,Doctorate recipient,Sex,,,2,,,,,,,,,,,,,,,,,,
8205,r003,Doctorate recipient -> Sex -> Male,Doctorate recipient,Sex,Male,,3,543550,2350,204700,2175,12600,575,225900,2325,32050,1025,31400,1025,11500,650,20900,850,4450,350
8205,r004,Doctorate recipient -> Sex -> Female,Doctorate recipient,Sex,Female,,3,328500,1250,136250,1375,15150,600,94950,1475,28150,825,21250,700,8200,450,21750,800,2850,250
8205,r005,Doctorate recipient -> Ethnicity,Doctorate recipient,Ethnicity,,,2,,,,,,,,,,,,,,,,,,
8205,r006,Doctorate recipient -> Ethnicity -> Hispanic or Latino<sup>f</sup>,Doctorate recipient,Ethnicity,Hispanic or Latino<sup>f</sup>,,3,40100,475,17300,525,1950,150,12400,425,2950,250,2800,200,750,100,1500,150,500,100
8205,r007,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>g</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>g</sup>,,3,,,,,,,,,,,,,,,,,,
8205,r008,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>g</sup> -> American Indian or Alaska Native,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>g</sup>,American Indian or Alaska Native,4,1400,125,600,100,100,50,300,75,150,50,100,50,S,S,50,25,,
8205,r009,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>g</sup> -> Asian,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>g</sup>,Asian,4,219800,1600,69800,1375,3350,325,114300,1375,12150,625,8700,575,4650,400,4150,375,2650,300
8205,r010,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>g</sup> -> Black or African American,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>g</sup>,Black or African American,4,31800,475,13650,425,2050,175,7700,350,2750,275,2450,200,1350,175,1350,200,450,100
8205,r011,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>g</sup> -> White,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>g</sup>,White,4,562950,2075,233700,2075,19900,675,180150,1975,40800,1025,37550,1025,12550,650,34750,1050,3500,325
8205,r012,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>g</sup> -> Other race<sup>h</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>g</sup>,Other race<sup>h</sup>,4,16000,575,5850,325,450,75,5950,425,1400,175,1050,150,300,75,750,150,250,125
8205,r013,Doctorate recipient -> Age,Doctorate recipient,Age,,,2,,,,,,,,,,,,,,,,,,
8205,r014,Doctorate recipient -> Age -> Under 35,Doctorate recipient,Age,Under 35,,3,99200,925,34900,825,1400,200,46000,875,8150,350,5250,375,1750,200,750,125,950,200
