table_id,row_id,citizenship_ethnicity_race_sex_and_enrollment_status_full_path,citizenship_ethnicity_race_sex_and_enrollment_status_level_1,citizenship_ethnicity_race_sex_and_enrollment_status_level_2,citizenship_ethnicity_race_sex_and_enrollment_status_level_3,citizenship_ethnicity_race_sex_and_enrollment_status_level_4,citizenship_ethnicity_race_sex_and_enrollment_status_level_5,citizenship_ethnicity_race_sex_and_enrollment_status_level_6,citizenship_ethnicity_race_sex_and_enrollment_status_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1142,r001,All enrolled,All enrolled,,,,,,1,15379340,15799911,16570857,17778741,18312649,18299791,17963547,17700719,17519741,17255558,17081187
1142,r002,All enrolled -> U.S. citizen and permanent resident,All enrolled,U.S. citizen and permanent resident,,,,,2,15058061,15464197,16210103,17404882,17915952,17878363,17514160,17218516,16990825,16690727,16512120
1142,r003,All enrolled -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All enrolled,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,3,1858037,1954538,2129684,2321094,2548908,2725550,2820326,2930907,3038278,3124434,3230276
1142,r004,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino  ,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,,,,3,13200024,13509659,14080419,15083788,15367044,15152813,14693834,14287609,13952547,13566293,13281844
1142,r005,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> American Indian or Alaska Native,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,American Indian or Alaska Native,,,4,154530,158762,163816,173664,167193,160238,149331,140727,132861,127050,123207
1142,r006,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Asian,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Asian,,,4,na,na,na,na,na,966254,955770,964459,980732,995605,1015491
1142,r007,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Asian or Pacific Islander<sup>b</sup> ,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Asian or Pacific Islander<sup>b</sup> ,,,4,927764,965445,1007955,1034929,1019873,na,na,na,na,na,na
1142,r008,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Black or African American ,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Black or African American ,,,4,1872218,1945218,2097256,2335984,2462896,2516408,2426585,2357841,2296900,2192917,2111256
1142,r009,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Native Hawaiian or Other Pacific Islander  ,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Native Hawaiian or Other Pacific Islander  ,,,4,na,na,na,na,na,65512,62843,60366,58501,55608,52629
1142,r010,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> White,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,White,,,4,9201965,9318814,9560888,9942363,10082269,9927932,9648190,9355436,9087214,8833477,8641902
1142,r011,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> More than one race<sup>c</sup>,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,More than one race<sup>c</sup>,,,4,na,na,na,na,na,368529,431762,482077,538239,564149,571126
1142,r012,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Other or unknown race or ethnicity,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Other or unknown race or ethnicity,,,4,1043547,1121420,1250504,1596848,1634813,1147940,1019353,926703,858100,797487,766233
1142,r013,All enrolled -> Temporary resident ,All enrolled,Temporary resident ,,,,,2,321279,335714,360754,373859,396697,421428,449387,482203,528916,564831,569067
1142,r014,All enrolled -> Female,All enrolled,Female,,,,,2,8787308,8992599,9420814,10094332,10379172,10382782,10151705,9944445,9836589,9661652,9576303
1142,r015,All enrolled -> Female -> U.S. citizen and permanent resident,All enrolled,Female,U.S. citizen and permanent resident,,,,3,8621831,8821082,9237891,9907537,10183024,10178263,9938699,9719779,9594219,9403643,9316095
1142,r016,All enrolled -> Female -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All enrolled,Female,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,4,1089843,1140319,1239639,1343900,1468695,1575255,1627827,1686043,1747873,1799209,1863690
1142,r017,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino  ,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,,,4,7531988,7680763,7998252,8563637,8714329,8603008,8310872,8033736,7846346,7604434,7452405
1142,r018,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> American Indian or Alaska Native,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,American Indian or Alaska Native,,5,93504,95851,98372,103531,99617,96342,89696,84069,79240,76133,73982
1142,r019,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Asian,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Asian,,5,na,na,na,na,na,507916,500878,504366,513598,522673,535026
1142,r020,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Asian or Pacific Islander<sup>b</sup> ,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Asian or Pacific Islander<sup>b</sup> ,,5,500544,518239,539742,550903,539049,na,na,na,na,na,na
1142,r021,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Black or African American,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Black or African American,,5,1204525,1243781,1338120,1482349,1555539,1588235,1518996,1457906,1421583,1351642,1305347
1142,r022,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Native Hawaiian or Other Pacific Islander ,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Native Hawaiian or Other Pacific Islander ,,5,na,na,na,na,na,36438,34714,33188,32220,30133,29063
1142,r023,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> White,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,White,,5,5144682,5191966,5312728,5511696,5583912,5516732,5351637,5166366,5017111,4864087,4760866
1142,r024,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> More than one race<sup>c</sup>,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,More than one race<sup>c</sup>,,5,na,na,na,na,na,214418,248315,275886,308986,323362,326513
1142,r025,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Other or unknown race or ethnicity,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Other or unknown race or ethnicity,,5,588733,630926,709290,915158,936212,642927,566636,511955,473608,436404,421608
1142,r026,All enrolled -> Female -> Temporary resident ,All enrolled,Female,Temporary resident ,,,,3,165477,171517,182923,186795,196148,204519,213006,224666,242370,258009,260208
1142,r027,All enrolled -> Male,All enrolled,Male,,,,,2,6592032,6807312,7150043,7684409,7933477,7917009,7811842,7756274,7683152,7593906,7504884
1142,r028,All enrolled -> Male -> U.S. citizen and permanent resident,All enrolled,Male,U.S. citizen and permanent resident,,,,3,6436230,6643115,6972212,7497345,7732928,7700100,7575461,7498737,7396606,7287084,7196025
