table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_innovation_r_d_activity_number_yes,field_innovation_r_d_activity_number_no,field_innovation_r_d_activity_percent_yes,field_innovation_r_d_activity_percent_no
5665,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['    919,293 ', '&nbsp;']","['    202,799 ', '&nbsp;']","['    716,495 ', '&nbsp;']","['    22.1 ', '&nbsp;']","['    77.9 ', '&nbsp;']"
5665,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5665,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['    763,495 ', '&nbsp;']","['    165,258 ', '&nbsp;']","['    598,236 ', '&nbsp;']","['    21.6 ', '&nbsp;']","['    78.4 ', '&nbsp;']"
5665,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['    123,950 ', '&nbsp;']","['    27,859 ', '&nbsp;']","['    96,090 ', '&nbsp;']","['    22.5 ', '&nbsp;']","['    77.5 ', '&nbsp;']"
5665,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['    20,210 ', '&nbsp;']","['    4,536 ', '&nbsp;']","['    15,673 ', '&nbsp;']","['    22.4 ', '&nbsp;']","['    77.6 ', '&nbsp;']"
5665,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['    4,070 ', '&nbsp;']","['    1,130 ', '&nbsp;']","['    2,938 ', '&nbsp;']","['    27.8 ', '&nbsp;']","['    72.2 ', '&nbsp;']"
5665,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['    928 ', '&nbsp;']","['    215 ', '&nbsp;']","['    713 ', '&nbsp;']","['    23.2 ', '&nbsp;']","['    76.8 ', '&nbsp;']"
5665,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5665,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['    60,494 ', '&nbsp;']","['    12,451 ', '&nbsp;']","['    48,042 ', '&nbsp;']","['    20.6 ', '&nbsp;']","['    79.4 ', '&nbsp;']"
5665,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic and not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic and not Hispanic,,3,"['    9,249 ', '&nbsp;']","['    1,797 ', '&nbsp;']","['    7,453 ', '&nbsp;']","['    19.4 ', '&nbsp;']","['    80.6 ', '&nbsp;']"
5665,r011,All companies (race and ethnicity) -> Ethnicity -> Not Hispanic,All companies (race and ethnicity),Ethnicity,Not Hispanic,,3,"['    842,098 ', '&nbsp;']","['    184,980 ', '&nbsp;']","['    657,117 ', '&nbsp;']","['    22.0 ', '&nbsp;']","['    78.0 ', '&nbsp;']"
5665,r012,All companies (race and ethnicity) -> Minority status,All companies (race and ethnicity),Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5665,r013,All companies (race and ethnicity) -> Minority status -> Minority,All companies (race and ethnicity),Minority status,Minority,,3,"['    206,018 ', '&nbsp;']","['    45,126 ', '&nbsp;']","['    160,893 ', '&nbsp;']","['    21.9 ', '&nbsp;']","['    78.1 ', '&nbsp;']"
5665,r014,"All companies (race and ethnicity) -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies (race and ethnicity),Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['    81,614 ', '&nbsp;']","['    17,151 ', '&nbsp;']","['    64,464 ', '&nbsp;']","['    21.0 ', '&nbsp;']","['    79.0 ', '&nbsp;']"
5665,r015,All companies (race and ethnicity) -> Minority status -> Equally minority and nonminority,All companies (race and ethnicity),Minority status,Equally minority and nonminority,,3,"['    15,955 ', '&nbsp;']","['    4,354 ', '&nbsp;']","['    11,600 ', '&nbsp;']","['    27.3 ', '&nbsp;']","['    72.7 ', '&nbsp;']"
5665,r016,All companies (race and ethnicity) -> Minority status -> Nonminority,All companies (race and ethnicity),Minority status,Nonminority,,3,"['    689,871 ', '&nbsp;']","['    149,751 ', '&nbsp;']","['    540,118 ', '&nbsp;']","['    21.7 ', '&nbsp;']","['    78.3 ', '&nbsp;']"
5665,r017,All companies (race and ethnicity) -> Unclassifiable,All companies (race and ethnicity),Unclassifiable,,,2,"['    7,453 ', '&nbsp;']","['    3,567 ', '&nbsp;']","['    3,887 ', '&nbsp;']","['    47.9 ', '&nbsp;']","['    52.1 ', '&nbsp;']"
