table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_nsf_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
12712,r001,All institutions,All institutions,,1,-,"['6,699,546', '']","['844,522', '']","['886,194', '']","['907,224', '']","['251,663', '']","['1,284,351', '']","['83,291', '']","['192,977', '']","['128,831', '']","['1,731,109', '']","['389,384', '']"
12712,r002,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,1,"['163,266', '']","['32,831', '']","['58,371', '']","['5,309', '']","['3,034', '']","['12,606', '']","['2,020', '']","['5,376', '']","['0', '']","['37,286', '']","['6,433', '']"
12712,r003,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,2,"['148,403', '']","['0', 'i']","['96,848', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['51,555', '']","['0', '']"
12712,r004,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,3,"['142,970', '']","['9,174', '']","['40,631', '']","['9,423', '']","['6,181', '']","['21,605', '']","['1,027', '']","['4,068', '']","['0', '']","['37,094', '']","['13,767', '']"
12712,r005,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,4,"['142,660', '']","['9,754', '']","['79,271', '']","['7,460', '']","['4,125', '']","['8,978', '']","['0', '']","['1,400', '']","['66', '']","['30,208', '']","['1,398', '']"
12712,r006,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,5,"['137,092', '']","['41,009', '']","['4,802', '']","['15,716', '']","['2,751', '']","['21,299', '']","['1,835', '']","['1,206', '']","['77', '']","['42,999', '']","['5,398', '']"
12712,r007,All institutions -> Cornell U.,All institutions,Cornell U.,2,6,"['125,089', '']","['11,335', '']","['3,190', '']","['19,165', '']","['2,721', '']","['50,580', '']","['979', '']","['4,889', '']","['145', '']","['30,265', '']","['1,820', '']"
12712,r008,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,7,"['122,660', '']","['45,198', '']","['11,871', '']","['11,352', '']","['1,744', '']","['6,495', '']","['1,420', '']","['2,032', '']","['0', '']","['34,827', '']","['7,721', '']"
12712,r009,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,8,"['119,866', '']","['15,138', '']","['27,695', '']","['7,635', '']","['2,400', '']","['26,032', '']","['774', '']","['5,938', '']","['307', '']","['22,939', '']","['11,008', '']"
12712,r010,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,9,"['117,488', '']","['22,875', '']","['9,963', '']","['7,967', '']","['3,765', '']","['38,242', '']","['178', '']","['1,311', '']","['2,054', '']","['29,225', '']","['1,908', '']"
12712,r011,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,10,"['113,712', '']","['15,324', '']","['13,032', '']","['14,675', '']","['4,190', '']","['33,559', '']","['769', '']","['1,728', '']","['3,644', '']","['18,477', '']","['8,314', '']"
12712,r012,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,11,"['109,808', '']","['3,716', '']","['3,028', '']","['13,471', '']","['4,687', '']","['15,046', '']","['2,068', '']","['18,191', '']","['646', '']","['43,700', '']","['5,255', '']"
12712,r013,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,12,"['105,818', '']","['12,760', '']","['42,449', '']","['6,057', '']","['2,634', '']","['16,263', '']","['942', '']","['1,205', '']","['0', '']","['14,497', '']","['9,011', '']"
12712,r014,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,13,"['101,951', '']","['1,230', '']","['3,100', '']","['9,437', '']","['5,154', '']","['22,553', '']","['1,357', '']","['1,240', '']","['27,385', '']","['26,920', '']","['3,575', '']"
12712,r015,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,14,"['96,199', '']","['3,096', '']","['6,298', '']","['2,435', '']","['489', '']","['77,322', '']","['0', '']","['508', '']","['63', '']","['5,881', '']","['107', '']"
12712,r016,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,15,"['87,368', '']","['5,652', '']","['4,841', '']","['15,930', '']","['796', '']","['14,464', '']","['536', '']","['5,493', '']","['1,443', '']","['31,022', '']","['7,191', '']"
12712,r017,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,16,"['84,781', '']","['11,636', '']","['10,053', '']","['10,754', '']","['3,474', '']","['18,612', '']","['1,672', '']","['2,561', '']","['0', '']","['20,260', '']","['5,759', '']"
12712,r018,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,17,"['84,597', '']","['10,782', '']","['2,012', '']","['9,246', '']","['490', '']","['10,046', '']","['264', '']","['1,861', '']","['91', '']","['46,763', '']","['3,042', '']"
