table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_r_d_performance_total,field_worldwide_r_d_performance_paid_for_by_company,field_worldwide_r_d_performance_paid_for_by_others,field_domestic_r_d_performance_total,field_domestic_r_d_performance_paid_for_by_company,field_domestic_r_d_performance_paid_for_by_others,field_foreign_r_d_performance_total,field_foreign_r_d_performance_paid_for_by_company,field_foreign_r_d_performance_paid_for_by_others
727,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['429,512', '&nbsp;']","['364,500', '&nbsp;']","['65,012', '&nbsp;']","['355,821', '&nbsp;']","['296,677', '&nbsp;']","['59,144', '&nbsp;']","['73,691', '&nbsp;']","['67,822', '&nbsp;']","['5,868', '&nbsp;']"
727,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['288,051', '&nbsp;']","['246,408', '&nbsp;']","['41,643', '&nbsp;']","['236,132', '&nbsp;']","['195,792', '&nbsp;']","['40,340', '&nbsp;']","['51,919', '&nbsp;']","['50,616', '&nbsp;']","['1,304', '&nbsp;']"
727,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['6,070', 'i']","['5,874', 'i']","['196', '&nbsp;']","['4,838', '&nbsp;']","['4,644', '&nbsp;']","['194', '&nbsp;']","['1,232', '&nbsp;']","['1,230', '&nbsp;']","['2', '&nbsp;']"
727,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['1,525', '&nbsp;']","['1,406', '&nbsp;']","['119', '&nbsp;']","['1,002', '&nbsp;']","['885', '&nbsp;']","['117', '&nbsp;']","['523', '&nbsp;']","['521', '&nbsp;']","['2', '&nbsp;']"
727,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['819', '&nbsp;']","['786', '&nbsp;']","['32', '&nbsp;']","['748', '&nbsp;']","['715', '&nbsp;']","['32', '&nbsp;']","['71', '&nbsp;']","['71', '&nbsp;']","['*', '&nbsp;']"
727,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['198', '&nbsp;']","['190', '&nbsp;']","['8', 'i']","['195', '&nbsp;']","['188', '&nbsp;']","['8', 'i']","['3', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']"
727,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['867', '&nbsp;']","['864', '&nbsp;']","['3', 'i']","['766', '&nbsp;']","['763', '&nbsp;']","['3', 'i']","['102', '&nbsp;']","['102', '&nbsp;']","['0', '&nbsp;']"
727,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['198', 'i']","['191', 'i']","['7', 'i']","['196', 'i']","['189', 'i']","['7', 'i']","['2', '&nbsp;']","['2', '&nbsp;']","['*', 'i']"
727,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['252', '&nbsp;']","['238', '&nbsp;']","['14', '&nbsp;']","['214', '&nbsp;']","['200', '&nbsp;']","['14', '&nbsp;']","['38', '&nbsp;']","['38', '&nbsp;']","['0', '&nbsp;']"
727,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['81,342', '&nbsp;']","['71,688', '&nbsp;']","['9,654', '&nbsp;']","['68,196', '&nbsp;']","['58,769', '&nbsp;']","['9,427', '&nbsp;']","['13,146', '&nbsp;']","['12,919', '&nbsp;']","['227', '&nbsp;']"
727,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['3,677', '&nbsp;']","['3,206', '&nbsp;']","['471', '&nbsp;']","['3,042', '&nbsp;']","['2,574', '&nbsp;']","['467', '&nbsp;']","['636', '&nbsp;']","['632', '&nbsp;']","['4', '&nbsp;']"
727,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,780', '&nbsp;']","['1,750', '&nbsp;']","['30', 'i']","['1,201', '&nbsp;']","['1,172', '&nbsp;']","['29', 'i']","['579', '&nbsp;']","['578', '&nbsp;']","['1', '&nbsp;']"
727,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals ",,4,3253,"['3,405', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['2,157', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['16', '&nbsp;']"
727,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['69,266', '&nbsp;']","['60,629', '&nbsp;']","['8,637', '&nbsp;']","['58,675', '&nbsp;']","['50,242', '&nbsp;']","['8,432', '&nbsp;']","['10,591', '&nbsp;']","['10,387', '&nbsp;']","['205', '&nbsp;']"
727,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['1,549', '&nbsp;']","['1,433', '&nbsp;']","['116', '&nbsp;']","['1,398', '&nbsp;']","['1,283', '&nbsp;']","['115', '&nbsp;']","['150', '&nbsp;']","['149', '&nbsp;']","['1', '&nbsp;']"
727,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['1,665', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,339', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
727,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,899', '&nbsp;']","['2,746', '&nbsp;']","['153', 'i']","['2,541', '&nbsp;']","['2,390', '&nbsp;']","['152', 'i']","['358', '&nbsp;']","['356', '&nbsp;']","['1', '&nbsp;']"
727,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,487', '&nbsp;']","['1,463', '&nbsp;']","['24', '&nbsp;']","['1,259', '&nbsp;']","['1,239', '&nbsp;']","['20', '&nbsp;']","['228', '&nbsp;']","['224', '&nbsp;']","['4', '&nbsp;']"
727,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['715', '&nbsp;']","['666', '&nbsp;']","['49', '&nbsp;']","['628', '&nbsp;']","['579', '&nbsp;']","['49', '&nbsp;']","['87', '&nbsp;']","['86', '&nbsp;']","['1', '&nbsp;']"
727,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,454', 'i']","['2,232', '&nbsp;']","['223', 'i']","['2,261', 'i']","['2,039', '&nbsp;']","['223', 'i']","['193', '&nbsp;']","['193', '&nbsp;']","['0', '&nbsp;']"
727,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['16,718', '&nbsp;']","['15,745', '&nbsp;']","['973', 'i']","['13,426', '&nbsp;']","['12,544', '&nbsp;']","['881', 'i']","['3,292', '&nbsp;']","['3,201', '&nbsp;']","['92', 'i']"
727,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,"['2,152', '&nbsp;']","['2,133', '&nbsp;']","['19', 'i']","['1,531', '&nbsp;']","['1,516', '&nbsp;']","['15', 'i']","['621', '&nbsp;']","['617', '&nbsp;']","['4', '&nbsp;']"
727,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['3,812', '&nbsp;']","['3,439', '&nbsp;']","['373', 'i']","['3,214', '&nbsp;']","['2,917', '&nbsp;']","['297', 'i']","['599', '&nbsp;']","['523', '&nbsp;']","['76', 'i']"
727,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment ",,4,3336,"['2,945', '&nbsp;']","['2,789', '&nbsp;']","['156', '&nbsp;']","['2,535', '&nbsp;']","['2,381', '&nbsp;']","['154', '&nbsp;']","['410', '&nbsp;']","['408', '&nbsp;']","['2', '&nbsp;']"
727,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['7,809', '&nbsp;']","['7,384', '&nbsp;']","['425', '&nbsp;']","['6,146', '&nbsp;']","['5,731', '&nbsp;']","['416', '&nbsp;']","['1,663', '&nbsp;']","['1,653', '&nbsp;']","['10', '&nbsp;']"
727,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['92,783', '&nbsp;']","['84,126', '&nbsp;']","['8,657', '&nbsp;']","['72,110', '&nbsp;']","['63,765', '&nbsp;']","['8,345', '&nbsp;']","['20,674', '&nbsp;']","['20,362', '&nbsp;']","['312', '&nbsp;']"
727,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['23,049', '&nbsp;']","['21,614', '&nbsp;']","['1,435', 'i']","['19,424', '&nbsp;']","['17,999', '&nbsp;']","['1,426', 'i']","['3,625', '&nbsp;']","['3,615', '&nbsp;']","['10', '&nbsp;']"
727,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['40,348', '&nbsp;']","['38,415', '&nbsp;']","['1,933', '&nbsp;']","['30,451', '&nbsp;']","['28,597', '&nbsp;']","['1,855', '&nbsp;']","['9,896', '&nbsp;']","['9,818', '&nbsp;']","['78', '&nbsp;']"
727,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['16,943', '&nbsp;']","['11,904', '&nbsp;']","['5,038', '&nbsp;']","['14,128', '&nbsp;']","['9,218', '&nbsp;']","['4,910', '&nbsp;']","['2,814', '&nbsp;']","['2,686', '&nbsp;']","['128', '&nbsp;']"
