table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2019,field_2020,field_2021,field_2022_all_physical_sciences,field_2022_astronomy_and_astrophysics,field_2022_chemistry,field_2022_materials_science,field_2022_physics,field_2022_physical_sciences_nec
10141,r001,All institutions,All institutions,,1,-,"['3,691,494', '']","['3,790,504', '']","['3,847,941', '']","['4,212,405', '']","['581,652', '']","['1,322,328', '']","['195,404', '']","['1,941,833', '']","['171,188', '']"
10141,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['306,572', '']","['372,067', '']","['321,641', '']","['300,741', '']","['29,841', '']","['22,992', '']","['3,789', '']","['225,387', '']","['18,732', '']"
10141,r003,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,2,"['156,658', '']","['178,896', '']","['160,456', '']","['181,341', '']","['60,288', '']","['21,863', '']","['18,440', '']","['80,750', '']","['0', '']"
10141,r004,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,3,"['86,349', '']","['84,023', '']","['90,707', '']","['134,927', '']","['79,537', '']","['28,472', '']","['0', '']","['22,296', '']","['4,622', '']"
10141,r005,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,4,"['95,267', '']","['100,092', '']","['122,143', '']","['133,138', '']","['68', '']","['8,837', '']","['0', '']","['124,233', '']","['0', '']"
10141,r006,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,5,"['99,527', '']","['106,414', '']","['111,234', '']","['127,772', '']","['41,580', '']","['9,696', '']","['0', '']","['69,385', '']","['7,111', '']"
10141,r007,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,6,"['94,635', '']","['105,097', '']","['114,108', '']","['127,635', '']","['34,855', '']","['22,375', '']","['2,798', '']","['53,744', '']","['13,863', '']"
10141,r008,All institutions -> U. Rochester,All institutions,U. Rochester,2,7,"['106,520', '']","['94,572', '']","['92,680', '']","['103,745', '']","['0', '']","['5,306', '']","['0', '']","['98,439', '']","['0', '']"
10141,r009,All institutions -> Cornell U.,All institutions,Cornell U.,2,8,"['95,625', '']","['96,374', '']","['93,608', '']","['94,346', '']","['7,166', '']","['22,442', '']","['1,670', '']","['40,260', '']","['22,808', '']"
10141,r010,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,9,"['82,395', '']","['81,584', '']","['83,425', '']","['86,830', '']","['38,182', '']","['5,326', '']","['4,271', '']","['29,928', '']","['9,123', '']"
10141,r011,All institutions -> U. Arizona,All institutions,U. Arizona,2,10,"['74,823', '']","['77,135', '']","['73,148', '']","['75,484', '']","['63,239', '']","['6,142', '']","['1,671', '']","['4,432', '']","['0', '']"
10141,r012,All institutions -> Stanford U.,All institutions,Stanford U.,2,11,"['71,817', '']","['68,199', '']","['72,190', '']","['74,962', '']","['2,876', '']","['26,211', '']","['9,504', '']","['33,960', '']","['2,411', '']"
