table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_total_r_d_expenditures_all_r_d,field_total_r_d_expenditures_basic_research,field_total_r_d_expenditures_applied_research,field_total_r_d_expenditures_experimental_development,field_federally_funded_all_federal_r_d,field_federally_funded_basic_research,field_federally_funded_applied_research,field_federally_funded_experimental_development,field_nonfederally_funded_all_nonfederal_r_d,field_nonfederally_funded_basic_research,field_nonfederally_funded_applied_research,field_nonfederally_funded_experimental_development
12491,r001,All agencies,All agencies,,,,,,1,"['34,497,051', ' ']","['4,749,151', ' ']","['9,569,899', ' ']","['20,178,001', ' ']","['34,067,764', ' ']","['4,710,280', ' ']","['9,376,171', ' ']","['19,981,312', ' ']","['429,287', ' ']","['38,870', ' ']","['193,728', ' ']","['196,688', ' ']"
12491,r002,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,,,,,2,"['1,685,343', '']","['712,151', 'i']","['782,628', 'i']","['190,564', 'i']","['1,661,254', 'i']","['707,051', 'i']","['766,601', 'i']","['187,602', 'i']","['24,089', ' ']","['5,101', ' ']","['16,027', ' ']","['2,962', ' ']"
12491,r003,All agencies -> Department of Agriculture -> Agricultural Research Service,All agencies,Department of Agriculture,Agricultural Research Service,,,,3,"['1,237,476', '']","['618,738', 'i']","['494,990', 'i']","['123,748', 'i']","['1,237,476', 'i']","['618,738', 'i']","['494,990', 'i']","['123,748', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r004,All agencies -> Department of Agriculture -> Agricultural Research Service -> Midwest Area,All agencies,Department of Agriculture,Agricultural Research Service,Midwest Area,,,4,"['165,788', '']","['82,894', 'i']","['66,315', 'i']","['16,579', 'i']","['165,788', 'i']","['82,894', 'i']","['66,315', 'i']","['16,579', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r005,All agencies -> Department of Agriculture -> Agricultural Research Service -> Northeast Area,All agencies,Department of Agriculture,Agricultural Research Service,Northeast Area,,,4,"['261,199', '']","['130,600', 'i']","['104,480', 'i']","['26,120', 'i']","['261,199', 'i']","['130,600', 'i']","['104,480', 'i']","['26,120', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r006,All agencies -> Department of Agriculture -> Agricultural Research Service -> Pacific West Area,All agencies,Department of Agriculture,Agricultural Research Service,Pacific West Area,,,4,"['208,801', '']","['104,400', 'i']","['83,520', 'i']","['20,880', 'i']","['208,801', 'i']","['104,400', 'i']","['83,520', 'i']","['20,880', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r007,All agencies -> Department of Agriculture -> Agricultural Research Service -> Plains Area,All agencies,Department of Agriculture,Agricultural Research Service,Plains Area,,,4,"['314,563', '']","['157,282', 'i']","['125,825', 'i']","['31,456', 'i']","['314,563', 'i']","['157,282', 'i']","['125,825', 'i']","['31,456', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r008,All agencies -> Department of Agriculture -> Agricultural Research Service -> Southeast Area,All agencies,Department of Agriculture,Agricultural Research Service,Southeast Area,,,4,"['287,125', '']","['143,563', 'i']","['114,850', 'i']","['28,713', 'i']","['287,125', 'i']","['143,563', 'i']","['114,850', 'i']","['28,713', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r009,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,,,,3,"['48,982', '']","['4,138', '']","['33,070', '']","['11,774', '']","['36,005', '']","['2,516', '']","['23,337', '']","['10,152', '']","['12,977', '']","['1,622', '']","['9,732', '']","['1,622', '']"
12491,r010,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> Forest Pest Methods Laboratory,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,Forest Pest Methods Laboratory,,,4,"['6,618', '']","['0', '']","['6,618', '']","['0', '']","['6,618', '']","['0', '']","['6,618', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
