table_id,row_id,company_and_financial_information,all_companies,1_4_employees,5_9_employees
2555,r001,Total R&D cost,"['    6,655,717 ', '&nbsp;']","['    3,525,771 ', '&nbsp;']","['    3,129,946 ', '&nbsp;']"
2555,r002,"R&D for salaries, wages, and fringe benefits","['    3,656,750 ', '&nbsp;']","['    1,895,125 ', '&nbsp;']","['    1,761,625 ', '&nbsp;']"
2555,r003,R&D for expensed machinery and equipment (not capitalized),"['    256,952 ', '&nbsp;']","['    153,000 ', '&nbsp;']","['    103,952 ', '&nbsp;']"
2555,r004,R&D for materials and supplies,"['    583,126 ', '&nbsp;']","['    319,901 ', '&nbsp;']","['    263,224 ', '&nbsp;']"
2555,r005,R&D for payments to business partners for collaborative R&D,"['    361,014 ', '&nbsp;']","['    228,498 ', '&nbsp;']","['    132,516 ', '&nbsp;']"
2555,r006,R&D for purchased R&D services,"['    604,337 ', '&nbsp;']","['    285,706 ', '&nbsp;']","['    318,632 ', '&nbsp;']"
2555,r007,R&D for depreciation on R&D property and equipment,"['    91,733 ', '&nbsp;']","['    51,480 ', '&nbsp;']","['    40,253 ', '&nbsp;']"
2555,r008,R&D for other costs,"['    1,101,806 ', '&nbsp;']","['    592,061 ', '&nbsp;']","['    509,745 ', '&nbsp;']"
2555,r009,R&D paid for by company,"['    5,345,991 ', '&nbsp;']","['    2,806,839 ', '&nbsp;']","['    2,539,152 ', '&nbsp;']"
2555,r010,R&D paid for by foreign owner,"['    195,846 ', '&nbsp;']","['    94,969 ', '&nbsp;']","['    100,877 ', '&nbsp;']"
2555,r011,R&D paid for by another U.S. business,"['    235,492 ', '&nbsp;']","['    162,868 ', '&nbsp;']","['    72,625 ', '&nbsp;']"
2555,r012,R&D paid for other businesses located outside the United States,"['    73,188 ', '&nbsp;']","['    46,658 ', '&nbsp;']","['    26,530 ', '&nbsp;']"
2555,r013,R&D paid for by U.S. university or college,"['    17,742 ', '&nbsp;']","['    11,093 ', '&nbsp;']","['    6,649 ', '&nbsp;']"
2555,r014,R&D paid for by U.S. nonprofit organization,"['    15,548 ', '&nbsp;']","['    10,015 ', '&nbsp;']","['    5,533 ', '&nbsp;']"
2555,r015,R&D paid for by U.S. federal government,"['    697,014 ', '&nbsp;']","['    341,752 ', '&nbsp;']","['    355,263 ', '&nbsp;']"
2555,r016,R&D paid for by U.S. state or local government,"['    21,483 ', '&nbsp;']","['    13,568 ', '&nbsp;']","['    7,915 ', '&nbsp;']"
2555,r017,R&D paid for by other sources,"['    53,412 ', '&nbsp;']","['    38,009 ', '&nbsp;']","['    15,403 ', '&nbsp;']"
2555,r018,R&D paid by company and performed by others,"['    965,351 ', '&nbsp;']","['    514,204 ', '&nbsp;']","['    451,147 ', '&nbsp;']"
2555,r019,R&D paid for basic research,"['    921,124 ', '&nbsp;']","['    478,702 ', '&nbsp;']","['    442,423 ', '&nbsp;']"
2555,r020,R&D paid for applied research,"['    2,230,773 ', '&nbsp;']","['    1,265,002 ', '&nbsp;']","['    965,771 ', '&nbsp;']"
2555,r021,R&D paid for development,"['    3,503,820 ', '&nbsp;']","['    1,782,067 ', '&nbsp;']","['    1,721,753 ', '&nbsp;']"
