table_id,row_id,_b_financial_source_b_full_path,_b_financial_source_b_level_1,_b_financial_source_b_level_2,_b_financial_source_b_level_3,_b_financial_source_b_hierarchy_depth,field_all_fields_male,field_all_fields_female,field_science_and_engineering_total_male,field_science_and_engineering_total_female,field_science_and_engineering_agricultural_sciences_and_natural_resources_male,field_science_and_engineering_agricultural_sciences_and_natural_resources_female,field_science_and_engineering_biological_and_biomedical_sciences_male,field_science_and_engineering_biological_and_biomedical_sciences_female,field_science_and_engineering_computer_and_information_sciences_male,field_science_and_engineering_computer_and_information_sciences_female,field_science_and_engineering_engineering_male,field_science_and_engineering_engineering_female,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences_male,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences_female,field_science_and_engineering_health_sciences_male,field_science_and_engineering_health_sciences_female,field_science_and_engineering_mathematics_and_statistics_male,field_science_and_engineering_mathematics_and_statistics_female,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences_male,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences_female,field_science_and_engineering_physical_sciences_male,field_science_and_engineering_physical_sciences_female,field_science_and_engineering_psychology_male,field_science_and_engineering_psychology_female,field_science_and_engineering_social_sciences_male,field_science_and_engineering_social_sciences_female,field_non_science_and_engineering_total_male,field_non_science_and_engineering_total_female,field_non_science_and_engineering_business_male,field_non_science_and_engineering_business_female,field_non_science_and_engineering_education_male,field_non_science_and_engineering_education_female,field_non_science_and_engineering_humanities_male,field_non_science_and_engineering_humanities_female,field_non_science_and_engineering_visual_and_performing_arts_male,field_non_science_and_engineering_visual_and_performing_arts_female,field_non_science_and_engineering_othera_male,field_non_science_and_engineering_othera_female
7551,r001,Doctorate recipients reporting source of support and sex (number),Doctorate recipients reporting source of support and sex (number),,,1,24923,21172,20942,15828,528,546,3583,3940,1459,456,6312,2201,534,420,699,1553,1248,486,683,460,2939,1423,829,2188,2128,2155,3981,5344,628,505,930,2230,1404,1265,301,370,718,974
7551,r002,Doctorate recipients reporting source of support and sex (number) -> Fellowship or scholarship,Doctorate recipients reporting source of support and sex (number),Fellowship or scholarship,,2,63.8,68.3,62.8,69.3,66.3,73.4,71.0,74.2,54.7,56.4,57.9,66.3,69.5,78.8,58.1,60.8,61.1,64.6,60.3,73.5,60.0,68.4,57.5,61.7,76.1,78.0,68.6,65.4,65.0,65.1,45.8,49.4,83.5,85.2,85.7,89.5,64.9,67.2
7551,r003,Doctorate recipients reporting source of support and sex (number) -> Dissertation grant,Doctorate recipients reporting source of support and sex (number),Dissertation grant,,2,14.3,21.5,12.2,19.7,14.4,19.0,12.8,15.7,5.8,11.4,7.1,9.0,14.4,16.0,15.9,22.4,8.6,8.8,11.0,22.2,7.2,10.0,22.1,23.4,34.0,43.1,25.3,26.8,14.5,14.9,12.8,15.4,38.2,45.9,32.2,40.8,23.0,28.9
7551,r004,Doctorate recipients reporting source of support and sex (number) -> Assistantship,Doctorate recipients reporting source of support and sex (number),Assistantship,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7551,r005,Doctorate recipients reporting source of support and sex (number) -> Assistantship -> Teaching,Doctorate recipients reporting source of support and sex (number),Assistantship,Teaching,3,69.8,65.7,70.5,66.9,46.4,59.2,54.1,54.5,75.7,80.0,65.5,66.3,76.0,80.2,51.5,42.5,94.2,89.7,74.8,72.0,86.7,88.5,72.7,69.2,81.3,81.4,66.5,62.0,65.9,63.2,35.2,39.9,82.5,88.3,90.0,87.6,66.4,68.3
7551,r006,Doctorate recipients reporting source of support and sex (number) -> Assistantship -> Research,Doctorate recipients reporting source of support and sex (number),Assistantship,Research,3,71.1,62.6,76.5,69.0,82.0,81.3,65.7,65.1,84.8,83.6,85.1,84.8,85.0,85.7,55.9,48.0,62.4,61.1,78.6,70.0,90.4,87.9,57.8,60.6,62.6,63.2,42.4,43.7,58.0,58.4,34.8,37.8,37.3,40.1,29.9,34.1,53.9,57.7
7551,r007,Doctorate recipients reporting source of support and sex (number) -> Assistantship -> Other,Doctorate recipients reporting source of support and sex (number),Assistantship,Other,3,7.0,10.0,6.0,8.2,8.9,8.4,4.1,4.0,5.6,6.6,4.8,4.5,5.4,4.8,9.0,7.5,5.4,5.1,7.0,7.2,3.0,3.0,20.7,20.7,9.5,12.7,12.4,15.3,6.1,8.5,14.9,16.0,14.4,18.3,15.6,16.5,9.3,12.8
7551,r008,Doctorate recipients reporting source of support and sex (number) -> Traineeship,Doctorate recipients reporting source of support and sex (number),Traineeship,,2,3.3,5.0,3.8,6.3,2.1,2.2,11.6,12.9,,,1.7,3.5,1.7,3.8,7.7,7.6,1.8,2.9,,,1.8,3.1,6.2,6.5,1.9,2.3,0.8,1.2,,,0.5,1.0,1.0,1.1,,,0.7,2.1
7551,r009,Doctorate recipients reporting source of support and sex (number) -> Internship or clinical residency,Doctorate recipients reporting source of support and sex (number),Internship or clinical residency,,2,12.1,11.1,13.7,13.6,4.4,6.2,3.2,4.2,39.0,36.4,18.6,15.9,11.2,10.2,8.6,5.5,13.7,23.0,22.0,14.6,4.9,7.0,36.8,43.1,4.3,4.0,4.1,3.8,4.6,3.6,3.3,3.7,3.6,2.9,2.7,7.0,6.3,4.1
7551,r010,Doctorate recipients reporting source of support and sex (number) -> Loan (any source),Doctorate recipients reporting source of support and sex (number),Loan (any source),,2,18.5,27.1,15.2,22.6,15.7,20.1,15.8,13.8,8.4,9.4,10.1,7.6,14.0,13.8,30.9,44.2,9.1,7.6,16.1,20.0,8.1,8.4,49.8,47.5,28.3,31.7,35.9,40.3,21.2,26.3,46.9,46.5,34.3,33.7,42.9,38.6,34.5,42.8
