table_id,row_id,sex_and_field_full_path,sex_and_field_level_1,sex_and_field_level_2,sex_and_field_level_3,sex_and_field_level_4,sex_and_field_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field__change_2010_19
2813,r001,All doctorate recipients<sup>a</sup>,All doctorate recipients<sup>a</sup>,,,,1,48028,48909,50943,52703,53986,54886,54809,54554,55103,55703,16.0
2813,r002,All doctorate recipients<sup>a</sup> -> Life sciences,All doctorate recipients<sup>a</sup>,Life sciences,,,2,11319,11535,11964,12207,12484,12493,12539,12554,12757,12781,12.9
2813,r003,All doctorate recipients<sup>a</sup> -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Life sciences,Agricultural sciences and natural resources,,3,1100,1206,1255,1324,1338,1434,1379,1493,1443,1491,35.5
2813,r004,All doctorate recipients<sup>a</sup> -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Life sciences,Biological and biomedical sciences,,3,8046,8152,8322,8354,8868,8783,8863,8566,8783,8702,8.2
2813,r005,All doctorate recipients<sup>a</sup> -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,Life sciences,Health sciences,,3,2173,2177,2387,2529,2278,2276,2297,2495,2531,2588,19.1
2813,r006,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,,,2,4995,5271,5419,5584,5910,5916,6251,6082,6332,6585,31.8
2813,r007,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Chemistry,,3,2304,2432,2416,2484,2673,2666,2703,2699,2809,2941,27.6
2813,r008,"All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,3,862,852,941,989,1098,1057,1227,1169,1185,1274,47.8
2813,r009,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Physics and astronomy,,3,1829,1987,2062,2111,2139,2193,2321,2214,2338,2370,29.6
2813,r010,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,,,2,3223,3273,3496,3660,3862,3818,3954,3842,4024,4240,31.6
2813,r011,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,Computer and information sciences,,3,1633,1667,1793,1843,1988,2003,2082,1998,2001,2228,36.4
2813,r012,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,Mathematics and statistics,,3,1590,1606,1703,1817,1874,1815,1872,1844,2023,2012,26.5
2813,r013,All doctorate recipients<sup>a</sup> -> Psychology and social sciences,All doctorate recipients<sup>a</sup>,Psychology and social sciences,,,2,7882,8220,8498,8580,8748,9073,9037,9036,8879,9071,15.1
2813,r014,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Psychology,,3,3420,3576,3599,3592,3724,3776,3910,3926,3823,3936,15.1
2813,r015,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Anthropology,,3,507,553,547,550,523,492,460,446,424,445,-12.2
2813,r016,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Economics,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Economics,,3,1073,1121,1243,1183,1196,1255,1236,1239,1245,1247,16.2
2813,r017,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Political science and government,,3,728,685,724,803,775,859,745,743,734,707,-2.9
2813,r018,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Sociology,,3,639,656,633,636,678,741,613,683,668,633,-0.9
2813,r019,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Other social sciences,,3,1515,1629,1752,1816,1852,1950,2073,1999,1985,2103,38.8
2813,r020,All doctorate recipients<sup>a</sup> -> Engineering,All doctorate recipients<sup>a</sup>,Engineering,,,2,7578,8032,8469,9000,9626,9875,9459,9776,10166,10303,36.0
2813,r021,"All doctorate recipients<sup>a</sup> -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>a</sup>,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,252,262,307,348,386,361,370,379,383,379,50.4
2813,r022,All doctorate recipients<sup>a</sup> -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>a</sup>,Engineering,Bioengineering and biomedical engineering,,3,824,898,943,1039,1046,1125,1089,1032,1133,1164,41.3
