table_id,row_id,_b_demographic_characteristic_and_field_b_full_path,_b_demographic_characteristic_and_field_b_level_1,_b_demographic_characteristic_and_field_b_level_2,_b_demographic_characteristic_and_field_b_level_3,_b_demographic_characteristic_and_field_b_level_4,_b_demographic_characteristic_and_field_b_hierarchy_depth,field_total_number_,field_highest_level_of_parental_education_all,field_highest_level_of_parental_education_high_school_or_less,field_highest_level_of_parental_education_some_collegea,field_highest_level_of_parental_education_bachelor_s_degree,field_highest_level_of_parental_education_master_s_degree,field_highest_level_of_parental_education_professional_doctorateb,field_highest_level_of_parental_education_research_doctoral_degree
7560,r001,Doctorate recipients reporting parental education (number),Doctorate recipients reporting parental education (number),,,,1,44784,44784,6675,5846,11692,9869,3908,6794
7560,r002,Doctorate recipients reporting parental education (number) -> Highest level of parental education<sup>c</sup>,Doctorate recipients reporting parental education (number),Highest level of parental education<sup>c</sup>,,,2,44784,100.0,14.9,13.1,26.1,22.0,8.7,15.2
7560,r003,Doctorate recipients reporting parental education (number) -> Sex,Doctorate recipients reporting parental education (number),Sex,,,2,,,,,,,,
7560,r004,Doctorate recipients reporting parental education (number) -> Sex -> Male,Doctorate recipients reporting parental education (number),Sex,Male,,3,24187,100.0,16.3,12.2,26.7,21.3,8.6,14.9
7560,r005,Doctorate recipients reporting parental education (number) -> Sex -> Female,Doctorate recipients reporting parental education (number),Sex,Female,,3,20595,100.0,13.2,14.1,25.4,22.9,8.9,15.5
7560,r006,Doctorate recipients reporting parental education (number) -> Citizenship status,Doctorate recipients reporting parental education (number),Citizenship status,,,2,,,,,,,,
7560,r007,Doctorate recipients reporting parental education (number) -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting parental education (number),Citizenship status,U.S. citizen or permanent resident,,3,29021,100.0,11.8,13.9,23.4,24.0,10.9,16.0
7560,r008,Doctorate recipients reporting parental education (number) -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting parental education (number),Citizenship status,Temporary visa holder,,3,15744,100.0,20.6,11.4,31.2,18.4,4.7,13.7
7560,r009,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,
7560,r010,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,2595,100.0,23.6,17.7,21.5,17.3,7.9,12.0
7560,r011,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,
7560,r012,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,85,100.0,,25.9,17.6,20.0,,8.2
7560,r013,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,2786,100.0,14.2,10.3,19.9,21.8,8.0,25.7
7560,r014,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,2140,100.0,22.2,23.6,19.3,19.5,5.4,10.0
7560,r015,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,20045,100.0,8.9,13.0,24.6,25.7,12.2,15.6
7560,r016,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,1028,100.0,9.0,13.6,21.9,24.0,13.0,18.4
7560,r017,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,243,100.0,,11.5,21.4,23.5,,19.8
7560,r018,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,99,100.0,13.1,7.1,22.2,28.3,11.1,18.2
7560,r019,Doctorate recipients reporting parental education (number) -> Field of doctorate,Doctorate recipients reporting parental education (number),Field of doctorate,,,2,,,,,,,,
7560,r020,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering ,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,,3,35752,100.0,14.4,12.5,27.1,22.4,8.8,14.8
7560,r021,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Agricultural sciences and natural resources,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Agricultural sciences and natural resources,4,1041,100.0,16.2,13.6,25.1,22.4,7.8,14.9
