table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other
7843,r001,All institutions,All institutions,,1,-,"['236,143', '']","['32,468', '']","['60,047', '']","['4,559', '']","['40,512', '']","['8,986', '']","['40,277', '']","['1,822', '']","['4,876', '']","['23,913', '']","['5,826', '']","['6,651', '']","['6,205', '']"
7843,r002,All institutions -> U. Florida,All institutions,U. Florida,2,1,"['4,901', '']","['2,598', '']","['77', '']","['3', '']","['436', '']","['28', '']","['863', '']","['9', '']","['159', '']","['240', '']","['29', '']","['68', '']","['389', '']"
7843,r003,All institutions -> U. Georgia,All institutions,U. Georgia,2,2,"['3,969', '']","['1,996', '']","['393', '']","['3', '']","['170', '']","['233', '']","['418', '']","['*', '']","['305', '']","['98', '']","['41', '']","['15', '']","['297', '']"
7843,r004,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,3,"['3,712', '']","['1,392', '']","['468', '']","['32', '']","['326', '']","['171', '']","['770', '']","['52', '']","['109', '']","['198', '']","['88', '']","['107', '']","['0', '']"
7843,r005,All institutions -> Johns Hopkins U.,All institutions,Johns Hopkins U.,2,4,"['3,443', '']","['0', '']","['689', '']","['158', '']","['1,192', '']","['41', '']","['645', '']","['31', '']","['0', '']","['343', '']","['74', '']","['58', '']","['212', '']"
7843,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['3,320', '']","['858', '']","['672', '']","['6', '']","['960', '']","['127', '']","['100', '']","['30', '']","['32', '']","['330', '']","['74', '']","['88', '']","['44', '']"
7843,r007,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,6,"['3,272', '']","['449', '']","['885', '']","['31', '']","['444', '']","['129', '']","['609', '']","['7', '']","['41', '']","['383', '']","['149', '']","['103', '']","['42', '']"
7843,r008,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,7,"['3,166', '']","['954', '']","['417', '']","['153', '']","['610', '']","['20', '']","['57', '']","['5', '']","['324', '']","['208', '']","['72', '']","['32', '']","['314', '']"
7843,r009,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,8,"['3,108', '']","['881', '']","['895', '']","['25', '']","['331', '']","['85', '']","['408', '']","['14', '']","['29', '']","['188', '']","['38', '']","['77', '']","['136', '']"
7843,r010,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,9,"['3,067', '']","['1,259', '']","['500', '']","['22', '']","['402', '']","['63', '']","['584', '']","['3', '']","['55', '']","['103', '']","['51', '']","['19', '']","['6', '']"
7843,r011,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,10,"['2,895', '']","['0', '']","['335', '']","['0', '']","['659', '']","['339', '']","['814', '']","['19', '']","['0', '']","['292', '']","['61', '']","['135', '']","['242', '']"
7843,r012,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,11,"['2,860', '']","['0', '']","['421', '']","['30', '']","['264', '']","['124', '']","['1,184', '']","['40', '']","['19', '']","['322', '']","['81', '']","['149', '']","['226', '']"
7843,r013,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,12,"['2,745', '']","['1,307', '']","['345', '']","['35', '']","['665', '']","['62', '']","['6', '']","['62', '']","['44', '']","['156', '']","['12', '']","['33', '']","['19', '']"
7843,r014,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,13,"['2,707', '']","['919', '']","['554', '']","['17', '']","['374', '']","['98', '']","['600', '']","['5', '']","['17', '']","['70', '']","['24', '']","['29', '']","['0', '']"
7843,r015,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,14,"['2,687', '']","['0', '']","['98', '']","['68', '']","['2,305', '']","['19', '']","['25', '']","['*', '']","['0', '']","['113', '']","['22', '']","['5', '']","['31', '']"
7843,r016,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,15,"['2,678', '']","['968', '']","['569', '']","['24', '']","['206', '']","['24', '']","['142', '']","['11', '']","['96', '']","['398', '']","['41', '']","['77', '']","['121', '']"
7843,r017,All institutions -> Yale U.,All institutions,Yale U.,2,16,"['2,523', '']","['0', '']","['743', '']","['31', '']","['121', '']","['39', '']","['1,016', '']","['18', '']","['47', '']","['243', '']","['41', '']","['185', '']","['39', '']"
7843,r018,All institutions -> Harvard U.,All institutions,Harvard U.,2,17,"['2,520', '']","['32', '']","['1,165', '']","['37', '']","['203', '']","['136', '']","['71', '']","['69', '']","['0', '']","['393', '']","['58', '']","['297', '']","['60', '']"
7843,r019,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,18,"['2,471', '']","['0', '']","['397', '']","['18', '']","['366', '']","['24', '']","['892', '']","['22', '']","['7', '']","['271', '']","['43', '']","['168', '']","['263', '']"
7843,r020,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,19,"['2,444', '']","['373', '']","['534', '']","['20', '']","['653', '']","['60', '']","['360', '']","['18', '']","['100', '']","['220', '']","['41', '']","['65', '']","['0', '']"
7843,r021,All institutions -> Wake Forest U.,All institutions,Wake Forest U.,2,20,"['2,423', '']","['3', '']","['1,218', '']","['1', '']","['6', '']","['0', '']","['1,155', '']","['0', '']","['*', '']","['10', '']","['24', '']","['5', '']","['0', '']"
7843,r022,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,21,"['2,398', '']","['25', '']","['649', '']","['22', '']","['559', '']","['72', '']","['90', '']","['34', '']","['190', '']","['377', '']","['44', '']","['219', '']","['117', '']"
