table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_in_house_or_external_r_d_number_yes,field_in_house_or_external_r_d_number_no,field_in_house_or_external_r_d_percent_yes,field_in_house_or_external_r_d_percent_no
2624,r001,All companies,All companies,,,1,"['    1,218,460 ', '&nbsp;']","['    365,864 ', '&nbsp;']","['    852,596 ', '&nbsp;']","['    30.0 ', '&nbsp;']","['    70.0 ', '&nbsp;']"
2624,r002,All companies -> Race,All companies,Race,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2624,r003,All companies -> Race -> White,All companies,Race,White,3,"['    1,045,663 ', '&nbsp;']","['    311,382 ', '&nbsp;']","['    734,281 ', '&nbsp;']","['    29.8 ', '&nbsp;']","['    70.2 ', '&nbsp;']"
2624,r004,All companies -> Race -> Asian,All companies,Race,Asian,3,"['    117,447 ', '&nbsp;']","['    33,112 ', '&nbsp;']","['    84,335 ', '&nbsp;']","['    28.2 ', '&nbsp;']","['    71.8 ', '&nbsp;']"
2624,r005,All companies -> Race -> Black or African American,All companies,Race,Black or African American,3,"['    23,447 ', '&nbsp;']","['    5,871 ', '&nbsp;']","['    17,576 ', '&nbsp;']","['    25.0 ', '&nbsp;']","['    75.0 ', '&nbsp;']"
2624,r006,All companies -> Race -> American Indian or Alaska Native,All companies,Race,American Indian or Alaska Native,3,"['    6,264 ', '&nbsp;']","['    2,067 ', '&nbsp;']","['    4,197 ', '&nbsp;']","['    33.0 ', '&nbsp;']","['    67.0 ', '&nbsp;']"
2624,r007,All companies -> Race -> Native Hawaiian or Other Pacific Islander,All companies,Race,Native Hawaiian or Other Pacific Islander,3,"['    1,617 ', '&nbsp;']","['    474 ', '&nbsp;']","['    1,143 ', '&nbsp;']","['    29.3 ', '&nbsp;']","['    70.7 ', '&nbsp;']"
2624,r008,All companies -> Ethnicity,All companies,Ethnicity,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2624,r009,All companies -> Ethnicity -> Hispanic or Latino,All companies,Ethnicity,Hispanic or Latino,3,"['    69,546 ', '&nbsp;']","['    16,023 ', '&nbsp;']","['    53,523 ', '&nbsp;']","['    23.0 ', '&nbsp;']","['    77.0 ', '&nbsp;']"
2624,r010,All companies -> Ethnicity -> Equally Hispanic/ Not Hispanic or Latino,All companies,Ethnicity,Equally Hispanic/ Not Hispanic or Latino,3,"['    11,560 ', '&nbsp;']","['    3,531 ', '&nbsp;']","['    8,028 ', '&nbsp;']","['    30.5 ', '&nbsp;']","['    69.5 ', '&nbsp;']"
2624,r011,All companies -> Ethnicity -> Not Hispanic or Latino,All companies,Ethnicity,Not Hispanic or Latino,3,"['    1,111,340 ', '&nbsp;']","['    332,972 ', '&nbsp;']","['    778,368 ', '&nbsp;']","['    30.0 ', '&nbsp;']","['    70.0 ', '&nbsp;']"
2624,r012,All companies -> Minority status,All companies,Minority status,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2624,r013,All companies -> Minority status -> Minority,All companies,Minority status,Minority,3,"['    214,522 ', '&nbsp;']","['    56,683 ', '&nbsp;']","['    157,839 ', '&nbsp;']","['    26.4 ', '&nbsp;']","['    73.6 ', '&nbsp;']"
2624,r014,All companies -> Minority status -> Equally minority/ nonminority,All companies,Minority status,Equally minority/ nonminority,3,"['    21,003 ', '&nbsp;']","['    6,885 ', '&nbsp;']","['    14,119 ', '&nbsp;']","['    32.8 ', '&nbsp;']","['    67.2 ', '&nbsp;']"
2624,r015,All companies -> Minority status -> Nonminority,All companies,Minority status,Nonminority,3,"['    956,921 ', '&nbsp;']","['    288,958 ', '&nbsp;']","['    667,962 ', '&nbsp;']","['    30.2 ', '&nbsp;']","['    69.8 ', '&nbsp;']"
2624,r016,All companies -> Unclassifiable,All companies,Unclassifiable,,2,"['    26,015 ', 'i']","['    13,338 ', 'i']","['    12,677 ', 'i']","['    51.3 ', '&nbsp;']","['    48.7 ', '&nbsp;']"
