table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10442,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,45244,47994,49503,6.1,3.1
10442,r002,R&D and R&D plant -> Consumer and occupational health and safety (554) ,R&D and R&D plant,Consumer and occupational health and safety (554) ,,,,2,583,507,507,-13.0,0.0
10442,r003,R&D and R&D plant -> Consumer and occupational health and safety (554)  -> Consumer Product Safety Commission,R&D and R&D plant,Consumer and occupational health and safety (554) ,Consumer Product Safety Commission,,,3,1,1,1,0.0,0.0
10442,r004,R&D and R&D plant -> Consumer and occupational health and safety (554)  -> Department of Health and Human Services,R&D and R&D plant,Consumer and occupational health and safety (554) ,Department of Health and Human Services,,,3,582,506,506,-13.1,0.0
10442,r005,R&D and R&D plant -> Consumer and occupational health and safety (554)  -> Department of Health and Human Services -> Food and Drug Administration ,R&D and R&D plant,Consumer and occupational health and safety (554) ,Department of Health and Human Services,Food and Drug Administration ,,4,582,506,506,-13.1,0.0
10442,r006,"R&D and R&D plant -> Health care services and health research and training (551, 552)",R&D and R&D plant,"Health care services and health research and training (551, 552)",,,,2,44661,47487,48996,6.3,3.2
10442,r007,"R&D and R&D plant -> Health care services and health research and training (551, 552) -> Department of Health and Human Services",R&D and R&D plant,"Health care services and health research and training (551, 552)",Department of Health and Human Services,,,3,44661,47487,48996,6.3,3.2
10442,r008,"R&D and R&D plant -> Health care services and health research and training (551, 552) -> Department of Health and Human Services -> Agency for Healthcare Research and Quality",R&D and R&D plant,"Health care services and health research and training (551, 552)",Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,367,391,473,6.5,21.0
10442,r009,"R&D and R&D plant -> Health care services and health research and training (551, 552) -> Department of Health and Human Services -> Centers for Disease Control and Prevention",R&D and R&D plant,"Health care services and health research and training (551, 552)",Department of Health and Human Services,Centers for Disease Control and Prevention,,4,428,412,498,-3.7,20.9
10442,r010,"R&D and R&D plant -> Health care services and health research and training (551, 552) -> Department of Health and Human Services -> Departmental management (other)",R&D and R&D plant,"Health care services and health research and training (551, 552)",Department of Health and Human Services,Departmental management (other),,4,18,18,18,0.0,0.0
10442,r011,"R&D and R&D plant -> Health care services and health research and training (551, 552) -> Department of Health and Human Services -> Health Resources and Services Administration",R&D and R&D plant,"Health care services and health research and training (551, 552)",Department of Health and Human Services,Health Resources and Services Administration,,4,31,31,31,0.0,0.0
10442,r012,"R&D and R&D plant -> Health care services and health research and training (551, 552) -> Department of Health and Human Services -> National Institutes of Health",R&D and R&D plant,"Health care services and health research and training (551, 552)",Department of Health and Human Services,National Institutes of Health,,4,43817,46635,47976,6.4,2.9
10442,r013,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,44943,47572,49111,5.8,3.2
10442,r014,R&D and R&D plant -> R&D -> Consumer and occupational health and safety (554) ,R&D and R&D plant,R&D,Consumer and occupational health and safety (554) ,,,3,562,465,465,-17.3,0.0
10442,r015,R&D and R&D plant -> R&D -> Consumer and occupational health and safety (554)  -> Consumer Product Safety Commission,R&D and R&D plant,R&D,Consumer and occupational health and safety (554) ,Consumer Product Safety Commission,,4,1,1,1,0.0,0.0
10442,r016,R&D and R&D plant -> R&D -> Consumer and occupational health and safety (554)  -> Department of Health and Human Services,R&D and R&D plant,R&D,Consumer and occupational health and safety (554) ,Department of Health and Human Services,,4,561,464,464,-17.3,0.0
10442,r017,R&D and R&D plant -> R&D -> Consumer and occupational health and safety (554)  -> Department of Health and Human Services -> Food and Drug Administration,R&D and R&D plant,R&D,Consumer and occupational health and safety (554) ,Department of Health and Human Services,Food and Drug Administration,5,561,464,464,-17.3,0.0
10442,r018,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552)",,,3,44381,47107,48646,6.1,3.3
10442,r019,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552) -> Department of Health and Human Services",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552)",Department of Health and Human Services,,4,44381,47107,48646,6.1,3.3
10442,r020,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552) -> Department of Health and Human Services -> Agency for Healthcare Research and Quality",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552)",Department of Health and Human Services,Agency for Healthcare Research and Quality,5,367,391,473,6.5,21.0
