table_id,row_id,institutional_control_and_highest_degree_awarded_full_path,institutional_control_and_highest_degree_awarded_level_1,institutional_control_and_highest_degree_awarded_level_2,institutional_control_and_highest_degree_awarded_level_3,institutional_control_and_highest_degree_awarded_hierarchy_depth,field_alaska_native_and_native_hawaiian_serving_institutions,field_asian_american_and_native_american_pacific_islander_serving_institutions,field_hispanic_serving_institutions,field_historically_black_colleges_and_universities,field_native_american_serving_nontribal_institutions,field_predominantly_black_institutions,field_predominantly_white_institutions,field_tribally_controlled_colleges_and_universities,field_institutions_with_more_than_one_designation
9894,r001,Total,Total,,,1,16,191,516,100,30,64,2838,35,139
9894,r002,Total -> Public,Total,Public,,2,11,136,344,51,27,53,1183,30,106
9894,r003,Total -> Public -> Award of less than 1 academic year,Total,Public,Award of less than 1 academic year,3,0,0,0,0,0,0,4,0,0
9894,r004,Total -> Public -> At least 1 but less than 2 academic years,Total,Public,At least 1 but less than 2 academic years,3,0,0,0,0,0,0,153,0,0
9894,r005,Total -> Public -> Associate's degree,Total,Public,Associate's degree,3,5,44,139,11,13,29,410,15,40
9894,r006,Total -> Public -> At least 2 but less than 4 academic years,Total,Public,At least 2 but less than 4 academic years,3,0,22,50,0,2,14,145,0,21
9894,r007,Total -> Public -> Bachelor's degree,Total,Public,Bachelor's degree,3,3,23,62,3,4,4,121,9,11
9894,r008,Total -> Public -> Postbaccalaureate certificate,Total,Public,Postbaccalaureate certificate,3,0,0,1,0,0,0,2,0,0
9894,r009,Total -> Public -> Master's degree,Total,Public,Master's degree,3,1,4,18,7,7,1,77,6,3
9894,r010,Total -> Public -> Post-master's certificate,Total,Public,Post-master's certificate,3,0,4,6,3,0,1,39,0,3
9894,r011,Total -> Public -> Doctor's degree,Total,Public,Doctor's degree,3,2,39,68,27,1,4,232,0,28
9894,r012,Total -> Private nonprofit,Total,Private nonprofit,,2,5,55,172,49,3,11,941,5,33
9894,r013,Total -> Private nonprofit -> Award of less than 1 academic year,Total,Private nonprofit,Award of less than 1 academic year,3,0,0,0,0,0,0,6,0,0
9894,r014,Total -> Private nonprofit -> At least 1 but less than 2 academic years,Total,Private nonprofit,At least 1 but less than 2 academic years,3,0,0,0,0,0,0,14,0,0
9894,r015,Total -> Private nonprofit -> Associate's degree,Total,Private nonprofit,Associate's degree,3,1,2,7,1,1,1,39,2,2
9894,r016,Total -> Private nonprofit -> At least 2 but less than 4 academic years,Total,Private nonprofit,At least 2 but less than 4 academic years,3,0,0,1,0,0,0,40,0,0
9894,r017,Total -> Private nonprofit -> Bachelor's degree,Total,Private nonprofit,Bachelor's degree,3,0,3,22,23,1,0,210,3,2
9894,r018,Total -> Private nonprofit -> Postbaccalaureate certificate,Total,Private nonprofit,Postbaccalaureate certificate,3,0,0,0,0,0,0,6,0,0
9894,r019,Total -> Private nonprofit -> Master's degree,Total,Private nonprofit,Master's degree,3,1,11,55,15,0,8,242,0,9
9894,r020,Total -> Private nonprofit -> Post-master's certificate,Total,Private nonprofit,Post-master's certificate,3,0,3,11,1,0,0,57,0,2
9894,r021,Total -> Private nonprofit -> Doctor's degree,Total,Private nonprofit,Doctor's degree,3,3,36,76,9,1,2,327,0,18
9894,r022,Total -> Private for profit,Total,Private for profit,,2,0,0,0,0,0,0,714,0,0
9894,r023,Total -> Private for profit -> Award of less than 1 academic year,Total,Private for profit,Award of less than 1 academic year,3,0,0,0,0,0,0,45,0,0
9894,r024,Total -> Private for profit -> At least 1 but less than 2 academic years,Total,Private for profit,At least 1 but less than 2 academic years,3,0,0,0,0,0,0,429,0,0
9894,r025,Total -> Private for profit -> Associate's degree,Total,Private for profit,Associate's degree,3,0,0,0,0,0,0,88,0,0
9894,r026,Total -> Private for profit -> At least 2 but less than 4 academic years,Total,Private for profit,At least 2 but less than 4 academic years,3,0,0,0,0,0,0,93,0,0
9894,r027,Total -> Private for profit -> Bachelor's degree,Total,Private for profit,Bachelor's degree,3,0,0,0,0,0,0,28,0,0
9894,r028,Total -> Private for profit -> Postbaccalaureate certificate,Total,Private for profit,Postbaccalaureate certificate,3,0,0,0,0,0,0,22,0,0
9894,r029,Total -> Private for profit -> Master's degree,Total,Private for profit,Master's degree,3,0,0,0,0,0,0,1,0,0
9894,r030,Total -> Private for profit -> Post-master's certificate,Total,Private for profit,Post-master's certificate,3,0,0,0,0,0,0,8,0,0
9894,r031,Total -> Private for profit -> Doctor's degree,Total,Private for profit,Doctor's degree,3,0,0,0,0,0,0,0,0,0
