table_id,row_id,level_and_field_of_highest_degree_full_path,level_and_field_of_highest_degree_level_1,level_and_field_of_highest_degree_level_2,level_and_field_of_highest_degree_level_3,level_and_field_of_highest_degree_level_4,level_and_field_of_highest_degree_level_5,level_and_field_of_highest_degree_hierarchy_depth,field_total,field_business_or_industry_total,field_business_or_industry_for_profit_business_or_industry,field_business_or_industry_nonprofit_business_or_industry,field_business_or_industry_self_employed_not_incorporated,field_education_total,field_education_4_year_educational_institutiona,field_education_2_year_college_or_precollege_educational_institution,field_government_total,field_government_federal_government,field_government_state_or_local_government
7764,r001,All degrees,All degrees,,,,,1,51764000,36346000,27666000,5237000,3443000,9978000,3342000,6637000,5439000,2114000,3325000
7764,r002,All degrees -> S&E fields,All degrees,S&E fields,,,,2,16408000,12162000,10082000,1195000,884000,2354000,1374000,980000,1892000,825000,1067000
7764,r003,"All degrees -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,S&E fields,"Biological, agricultural, and environmental life sciences",,,3,2570000,1692000,1290000,236000,165000,526000,374000,152000,352000,145000,208000
7764,r004,"All degrees -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,,4,308000,228000,178000,11000,40000,47000,30000,17000,33000,20000,13000
7764,r005,"All degrees -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,,4,1937000,1256000,968000,198000,90000,462000,332000,130000,219000,82000,137000
7764,r006,"All degrees -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,,4,325000,207000,144000,27000,36000,17000,12000,5000,100000,42000,58000
7764,r007,All degrees -> S&E fields -> Computer and mathematical sciences,All degrees,S&E fields,Computer and mathematical sciences,,,3,3147000,2553000,2310000,146000,96000,329000,168000,162000,265000,140000,126000
7764,r008,All degrees -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,S&E fields,Computer and mathematical sciences,Computer and information sciences,,4,2493000,2131000,1945000,117000,69000,157000,102000,55000,206000,94000,111000
7764,r009,All degrees -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,S&E fields,Computer and mathematical sciences,Mathematics and statistics,,4,654000,422000,365000,30000,27000,172000,66000,107000,60000,45000,14000
7764,r010,All degrees -> S&E fields -> Physical and related sciences,All degrees,S&E fields,Physical and related sciences,,,3,906000,572000,498000,37000,37000,218000,155000,62000,116000,61000,55000
7764,r011,"All degrees -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",,4,376000,261000,236000,11000,14000,85000,64000,20000,30000,14000,16000
7764,r012,"All degrees -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",,4,263000,155000,130000,13000,12000,52000,27000,S,57000,24000,32000
7764,r013,All degrees -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,S&E fields,Physical and related sciences,Physics and astronomy,,4,240000,140000,124000,9000,7000,79000,63000,16000,21000,18000,4000
7764,r014,All degrees -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,S&E fields,Physical and related sciences,Other physical sciences,,4,26000,16000,8000,S,S,3000,1000,2000,8000,4000,3000
7764,r015,All degrees -> S&E fields -> Social and related sciences,All degrees,S&E fields,Social and related sciences,,,3,5774000,3957000,2843000,679000,435000,1031000,471000,560000,785000,278000,507000
7764,r016,All degrees -> S&E fields -> Social and related sciences -> Economics,All degrees,S&E fields,Social and related sciences,Economics,,4,869000,718000,633000,28000,58000,65000,46000,19000,85000,44000,41000
7764,r017,All degrees -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,S&E fields,Social and related sciences,Political and related sciences,,4,1039000,749000,577000,101000,71000,113000,66000,47000,177000,105000,72000
7764,r018,All degrees -> S&E fields -> Social and related sciences -> Psychology,All degrees,S&E fields,Social and related sciences,Psychology,,4,2336000,1510000,948000,359000,203000,552000,205000,348000,274000,69000,204000
7764,r019,All degrees -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,S&E fields,Social and related sciences,Sociology and anthropology,,4,929000,597000,438000,97000,63000,156000,84000,73000,176000,38000,138000
7764,r020,All degrees -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,S&E fields,Social and related sciences,Other social sciences,,4,600000,382000,247000,95000,40000,145000,70000,74000,74000,22000,51000
7764,r021,All degrees -> S&E fields -> Engineering,All degrees,S&E fields,Engineering,,,3,4011000,3388000,3141000,97000,150000,250000,206000,44000,373000,201000,172000
7764,r022,"All degrees -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,4,145000,109000,100000,3000,6000,14000,12000,S,23000,22000,
7764,r023,All degrees -> S&E fields -> Engineering -> Chemical engineering,All degrees,S&E fields,Engineering,Chemical engineering,,4,269000,237000,220000,7000,11000,17000,13000,S,15000,6000,8000
7764,r024,All degrees -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,S&E fields,Engineering,Civil and architectural engineering,,4,543000,399000,368000,7000,23000,29000,22000,7000,116000,21000,94000
7764,r025,All degrees -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,S&E fields,Engineering,Electrical and computer engineering,,4,1409000,1242000,1155000,43000,44000,82000,67000,14000,85000,59000,26000
7764,r026,All degrees -> S&E fields -> Engineering -> Industrial engineering,All degrees,S&E fields,Engineering,Industrial engineering,,4,230000,212000,194000,7000,11000,9000,7000,2000,9000,7000,2000
7764,r027,All degrees -> S&E fields -> Engineering -> Mechanical engineering,All degrees,S&E fields,Engineering,Mechanical engineering,,4,848000,734000,684000,17000,33000,50000,42000,8000,64000,46000,18000
7764,r028,All degrees -> S&E fields -> Engineering -> Other engineering,All degrees,S&E fields,Engineering,Other engineering,,4,567000,455000,420000,13000,23000,50000,44000,6000,62000,39000,23000
7764,r029,All degrees -> S&E-related fields,All degrees,S&E-related fields,,,,2,7822000,5881000,3649000,1800000,432000,1304000,659000,645000,636000,280000,356000
7764,r030,All degrees -> S&E-related fields -> Health,All degrees,S&E-related fields,Health,,,3,6364000,4927000,2855000,1737000,335000,923000,602000,321000,514000,241000,273000
7764,r031,All degrees -> S&E-related fields -> Science and mathematics teacher education,All degrees,S&E-related fields,Science and mathematics teacher education,,,3,429000,110000,79000,S,13000,311000,23000,289000,7000,S,S
7764,r032,All degrees -> S&E-related fields -> Technology and technical fields,All degrees,S&E-related fields,Technology and technical fields,,,3,488000,410000,368000,15000,28000,32000,9000,22000,46000,26000,19000
7764,r033,All degrees -> S&E-related fields -> Other S&E-related fields,All degrees,S&E-related fields,Other S&E-related fields,,,3,541000,434000,348000,31000,55000,38000,25000,13000,69000,10000,59000
7764,r034,All degrees -> Non-S&E fields,All degrees,Non-S&E fields,,,,2,27535000,18304000,13935000,2242000,2127000,6320000,1309000,5012000,2911000,1009000,1901000
7764,r035,All degrees -> Non-S&E fields -> Management and administration fields,All degrees,Non-S&E fields,Management and administration fields,,,3,9480000,7988000,6749000,613000,626000,546000,255000,291000,946000,448000,498000
7764,r036,"All degrees -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Non-S&E fields,"Education, except science and math teacher education",,,3,5019000,1150000,714000,205000,231000,3687000,291000,3396000,182000,25000,157000
7764,r037,All degrees -> Non-S&E fields -> Social service and related fields,All degrees,Non-S&E fields,Social service and related fields,,,3,1466000,986000,429000,472000,85000,279000,101000,178000,200000,45000,155000
7764,r038,All degrees -> Non-S&E fields -> Sales and marketing fields,All degrees,Non-S&E fields,Sales and marketing fields,,,3,1293000,1143000,941000,66000,136000,90000,27000,64000,59000,19000,40000
7764,r039,All degrees -> Non-S&E fields -> Art and humanities fields,All degrees,Non-S&E fields,Art and humanities fields,,,3,4526000,3174000,2220000,404000,549000,1045000,358000,687000,307000,112000,195000
7764,r040,All degrees -> Non-S&E fields -> Other non-S&E fields,All degrees,Non-S&E fields,Other non-S&E fields,,,3,5752000,3862000,2881000,481000,500000,672000,277000,395000,1217000,360000,857000
7764,r041,All degrees -> Bachelor's,All degrees,Bachelor's,,,,2,31688000,24232000,18921000,3045000,2266000,4205000,1161000,3044000,3252000,1105000,2147000
7764,r042,All degrees -> Bachelor's -> S&E fields,All degrees,Bachelor's,S&E fields,,,3,11377000,8905000,7461000,782000,662000,1154000,532000,622000,1318000,499000,820000
7764,r043,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",,4,1773000,1301000,989000,166000,145000,227000,138000,88000,245000,82000,163000
7764,r044,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,239000,189000,142000,9000,38000,24000,10000,14000,27000,16000,11000
7764,r045,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,1301000,955000,742000,141000,72000,198000,124000,74000,148000,36000,112000
7764,r046,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,232000,157000,106000,16000,35000,5000,4000,1000,70000,30000,40000
