table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures_passed_through,field_total_to_higher_education_subrecipients,field_total_to_businesses,field_total_to_nonprofit_organizations,field_total_to_other_subrecipients,field_federally_financed_all_r_d_expenditures_passed_through,field_federally_financed_to_higher_education_subrecipients,field_federally_financed_to_businesses,field_federally_financed_to_nonprofit_organizations,field_federally_financed_to_other_subrecipients
10169,r001,United States,United States,,,,1,"['8,521,194', '']","['4,680,744', '']","['1,583,550', '']","['1,518,369', '']","['738,531', '']","['7,336,299', '']","['4,205,105', '']","['1,283,633', '']","['1,284,950', '']","['562,611', '']"
10169,r002,United States -> Alabama,United States,Alabama,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10169,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10169,r004,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['357', '']","['287', '']","['70', '']","['0', '']","['0', '']","['287', '']","['287', '']","['0', '']","['0', '']","['0', '']"
10169,r005,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['297', '']","['297', '']","['0', '']","['0', '']","['0', '']","['297', '']","['297', '']","['0', '']","['0', '']","['0', '']"
10169,r006,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['9,752', '']","['5,514', 'i']","['1,959', 'i']","['620', 'i']","['1,659', 'i']","['9,389', '']","['5,186', 'i']","['1,924', 'i']","['620', 'i']","['1,659', 'i']"
10169,r007,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['117', '']","['117', '']","['0', '']","['0', '']","['0', '']","['117', '']","['117', '']","['0', '']","['0', '']","['0', '']"
10169,r008,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['87,099', '']","['51,392', '']","['22,694', '']","['12,471', '']","['542', '']","['80,605', '']","['50,826', '']","['19,486', '']","['9,822', '']","['471', '']"
10169,r009,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['5,154', '']","['4,143', '']","['538', '']","['323', '']","['150', '']","['4,974', '']","['4,113', '']","['538', '']","['323', '']","['0', '']"
10169,r010,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['7,181', '']","['3,892', '']","['2,983', '']","['227', '']","['79', '']","['6,891', '']","['3,691', '']","['2,955', '']","['187', '']","['58', '']"
10169,r011,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['4,677', '']","['3,742', '']","['235', '']","['140', '']","['560', '']","['3,570', '']","['2,862', '']","['235', '']","['140', '']","['333', '']"
10169,r012,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10169,r013,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['576', '']","['549', '']","['27', '']","['0', '']","['0', '']","['576', '']","['549', '']","['27', '']","['0', '']","['0', '']"
10169,r014,United States -> Alaska,United States,Alaska,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10169,r015,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10169,r016,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['1,482', '']","['0', '']","['NA', '']","['NA', '']","['1,482', '']","['1,482', '']","['0', '']","['0', 'i']","['0', 'i']","['1,482', 'i']"
10169,r017,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['33,881', '']","['19', '']","['NA', '']","['29', '']","['33,833', 'i']","['33,881', '']","['19', '']","['0', 'i']","['29', 'i']","['33,833', 'i']"
10169,r018,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['52', '']","['0', '']","['0', '']","['40', '']","['12', '']","['52', '']","['0', '']","['0', '']","['40', '']","['12', '']"
10169,r019,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10169,r020,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
10169,r021,United States -> Arizona,United States,Arizona,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10169,r022,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10169,r023,United States -> Arizona -> Public -> Arizona State U.,United States,Arizona,Public,Arizona State U.,4,"['66,972', '']","['33,140', '']","['15,250', '']","['14,282', '']","['4,300', '']","['58,744', '']","['29,559', '']","['13,974', '']","['11,900', '']","['3,311', '']"
10169,r024,United States -> Arizona -> Public -> Dine C.,United States,Arizona,Public,Dine C.,4,"['601', '']","['601', '']","['0', '']","['0', '']","['0', '']","['601', '']","['601', '']","['0', '']","['0', '']","['0', '']"
10169,r025,United States -> Arizona -> Public -> Northern Arizona U.,United States,Arizona,Public,Northern Arizona U.,4,"['6,310', '']","['1,896', '']","['924', '']","['1,610', '']","['1,880', '']","['6,305', '']","['1,896', '']","['924', '']","['1,610', '']","['1,875', '']"
10169,r026,United States -> Arizona -> Public -> U. Arizona,United States,Arizona,Public,U. Arizona,4,"['58,598', '']","['27,781', '']","['18,711', '']","['10,112', '']","['1,994', '']","['57,639', '']","['27,041', '']","['18,690', '']","['9,995', '']","['1,913', '']"
10169,r027,United States -> Arizona -> Private,United States,Arizona,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10169,r028,United States -> Arizona -> Private -> Sonoran U. Health Sciences,United States,Arizona,Private,Sonoran U. Health Sciences,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
10169,r029,United States -> Arkansas,United States,Arkansas,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10169,r030,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10169,r031,"United States -> Arkansas -> Public -> Arkansas State U., Jonesboro",United States,Arkansas,Public,"Arkansas State U., Jonesboro",4,"['465', '']","['450', '']","['15', '']","['0', '']","['0', '']","['436', '']","['436', '']","['0', '']","['0', '']","['0', '']"
10169,r032,United States -> Arkansas -> Public -> U. Arkansas for Medical Sciences,United States,Arkansas,Public,U. Arkansas for Medical Sciences,4,"['12,630', '']","['10,258', '']","['464', '']","['1,808', '']","['100', '']","['11,889', '']","['9,625', '']","['464', '']","['1,700', '']","['100', '']"
10169,r033,"United States -> Arkansas -> Public -> U. Arkansas, Fayetteville",United States,Arkansas,Public,"U. Arkansas, Fayetteville",4,"['10,331', '']","['8,296', '']","['568', '']","['361', '']","['1,106', '']","['9,023', '']","['7,714', '']","['435', '']","['339', '']","['535', '']"
