table_id,row_id,time_period,population_subset_level_1,population_subset_level_2,population_subset_level_3,population_subset_hierarchy_depth,value
6748,r001,Patents dependent variable,Population subset,Inventive class (IC),Coefficient estimate,3,"['&nbsp;', '&nbsp;']"
6748,r002,Patents dependent variable,Population subset,"Science, engineering, and technical (SET) employment",Coefficient estimate,3,"['&nbsp;', '&nbsp;']"
6748,r003,Patents dependent variable,Population subset,Creative class (CC),Coefficient estimate,3,"['&nbsp;', '&nbsp;']"
6748,r004,Patents dependent variable,Population subset,At least 4-year college degree (BA),Coefficient estimate,3,"['&nbsp;', '&nbsp;']"
6748,r005,Patents dependent variable -> IC,Population subset,Inventive class (IC),Coefficient estimate,3,"['0.115 ', '***']"
6748,r006,Patents dependent variable -> IC,Population subset,Inventive class (IC),p-value,3,0.009
6748,r007,Patents dependent variable -> IC,Population subset,"Science, engineering, and technical (SET) employment",Coefficient estimate,3,"['-', '-']"
6748,r008,Patents dependent variable -> IC,Population subset,Creative class (CC),Coefficient estimate,3,"['-', '-']"
6748,r009,Patents dependent variable -> IC,Population subset,Creative class (CC),p-value,3,-
6748,r010,Patents dependent variable -> IC,Population subset,At least 4-year college degree (BA),Coefficient estimate,3,"['-', '-']"
6748,r011,Patents dependent variable -> IC,Population subset,At least 4-year college degree (BA),p-value,3,-
6748,r012,Patents dependent variable -> SET,Population subset,Inventive class (IC),Coefficient estimate,3,"['-', '-']"
6748,r013,Patents dependent variable -> SET,Population subset,Inventive class (IC),p-value,3,-
6748,r014,Patents dependent variable -> SET,Population subset,"Science, engineering, and technical (SET) employment",Coefficient estimate,3,"['0.290 ', '**']"
6748,r015,Patents dependent variable -> SET,Population subset,"Science, engineering, and technical (SET) employment",p-value,3,0.036
6748,r016,Patents dependent variable -> SET,Population subset,Creative class (CC),Coefficient estimate,3,"['-', '-']"
6748,r017,Patents dependent variable -> SET,Population subset,Creative class (CC),p-value,3,-
6748,r018,Patents dependent variable -> SET,Population subset,At least 4-year college degree (BA),Coefficient estimate,3,"['-', '-']"
6748,r019,Patents dependent variable -> SET,Population subset,At least 4-year college degree (BA),p-value,3,-
6748,r020,Patents dependent variable -> CC,Population subset,Inventive class (IC),Coefficient estimate,3,"['-', '-']"
6748,r021,Patents dependent variable -> CC,Population subset,Inventive class (IC),p-value,3,-
