table_id,row_id,sex_citizenship_race_and_ethnicity_full_path,sex_citizenship_race_and_ethnicity_level_1,sex_citizenship_race_and_ethnicity_level_2,sex_citizenship_race_and_ethnicity_level_3,sex_citizenship_race_and_ethnicity_level_4,sex_citizenship_race_and_ethnicity_hierarchy_depth,field_2012_number,field_2012_percent,field_2013_number,field_2013_percent,field_2015_number,field_2015_percent,field_2017_number,field_2017_percent,field_2019_number,field_2019_percent
2877,r001,All postdocs,All postdocs,,,,1,2793,100.0,2613,100.0,2696,100.0,2975,100.0,3335,100.0
2877,r002,All postdocs -> Female,All postdocs,Female,,,2,678,24.3,593,22.7,648,24.0,716,24.1,859,25.8
2877,r003,All postdocs -> Male ,All postdocs,Male ,,,2,2115,75.7,2020,77.3,2048,76.0,2259,75.9,2476,74.2
2877,r004,All postdocs -> U.S. citizens and permanent residents<sup>a</sup>,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,,,2,1156,41.4,1150,44.0,1246,46.2,1341,45.1,1429,42.8
2877,r005,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,54,1.9,52,2.0,55,2.0,67,2.3,76,2.3
2877,r006,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,1045,37.4,1065,40.8,1140,42.3,1217,40.9,1311,39.3
2877,r007,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,137,4.9,171,6.5,181,6.7,170,5.7,193,5.8
2877,r008,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,14,0.5,14,0.5,19,0.7,27,0.9,38,1.1
2877,r009,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,853,30.5,861,33.0,908,33.7,991,33.3,1043,31.3
2877,r010,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> All other races<sup>b</sup>,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,All other races<sup>b</sup>,4,41,1.5,19,0.7,32,1.2,29,1.0,37,1.1
2877,r011,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity or race,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity or race,,3,57,2.0,33,1.3,51,1.9,57,1.9,42,1.3
2877,r012,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Female,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Female,,3,290,10.4,283,10.8,344,12.8,353,11.9,385,11.5
2877,r013,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Male ,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Male ,,3,866,31.0,867,33.2,902,33.5,988,33.2,1044,31.3
2877,r014,All postdocs -> Temporary visa holders,All postdocs,Temporary visa holders,,,2,1637,58.6,1463,56.0,1450,53.8,1634,54.9,1906,57.2
2877,r015,All postdocs -> Temporary visa holders -> Female,All postdocs,Temporary visa holders,Female,,3,388,13.9,310,11.9,304,11.3,363,12.2,474,14.2
2877,r016,All postdocs -> Temporary visa holders -> Male ,All postdocs,Temporary visa holders,Male ,,3,1249,44.7,1153,44.1,1146,42.5,1271,42.7,1432,42.9
