table_id,row_id,_b_time_to_degree_and_demographic_characteristic_b_full_path,_b_time_to_degree_and_demographic_characteristic_b_level_1,_b_time_to_degree_and_demographic_characteristic_b_level_2,_b_time_to_degree_and_demographic_characteristic_b_level_3,_b_time_to_degree_and_demographic_characteristic_b_level_4,_b_time_to_degree_and_demographic_characteristic_b_level_5,_b_time_to_degree_and_demographic_characteristic_b_hierarchy_depth,field_all_fields_number,field_all_fields_median,field_non_science_and_engineering_total_number,field_non_science_and_engineering_total_median,field_business_number,field_business_median,field_education_number,field_education_median,field_humanities_number,field_humanities_median,field_visual_and_performing_arts_number,field_visual_and_performing_arts_median,field_other_non_science_and_engineering_number,field_other_non_science_and_engineering_median
9584,r001,Years since bachelor's degree,Years since bachelor's degree,,,,,1,,,,,,,,,,,,,,
9584,r002,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,,,,2,54514,8.6,10985,12.3,1312,10.8,3697,15.5,3179,11.3,798,11.3,1999,11.6
9584,r003,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,,,3,,,,,,,,,,,,,,
9584,r004,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex -> Male,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,Male,,4,28906,8.3,4540,12.0,730,10.7,1094,14.7,1595,11.4,348,11.0,773,11.5
9584,r005,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex -> Female,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,Female,,4,25603,9.0,6441,12.8,582,10.8,2603,15.9,1582,11.0,450,11.6,1224,11.6
9584,r006,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,,,3,,,,,,,,,,,,,,
9584,r007,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status -> U.S. citizen or permanent resident,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,U.S. citizen or permanent resident,,4,34628,8.8,8358,13.0,634,12.3,3161,16.2,2586,11.2,607,11.6,1370,12.3
9584,r008,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status -> Temporary visa holder,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,Temporary visa holder,,4,19075,8.4,2429,10.8,645,9.9,481,12.3,546,11.3,172,10.2,585,10.4
9584,r009,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents),Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,
9584,r010,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,3306,8.6,818,12.7,46,13.4,336,14.3,266,11.0,58,11.9,112,12.1
