table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_doe_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
10153,r001,All institutions,All institutions,,1,-,"['2,488,278', '']","['67,103', '']","['131,608', '']","['252,351', '']","['11,593', '']","['896,963', '']","['705', '']","['14,712', '']","['30,488', '']","['1,074,222', '']","['8,533', '']"
10153,r002,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,1,"['127,822', '']","['106', '']","['175', '']","['18,120', '']","['341', '']","['102,019', '']","['0', '']","['156', '']","['0', '']","['6,891', '']","['14', '']"
10153,r003,All institutions -> U. Rochester,All institutions,U. Rochester,2,2,"['91,685', '']","['0', '']","['0', '']","['170', '']","['0', '']","['88,871', '']","['0', '']","['0', '']","['0', '']","['2,644', '']","['0', '']"
10153,r004,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,3,"['90,166', '']","['4,034', '']","['807', '']","['47,330', '']","['230', '']","['10,609', '']","['491', '']","['73', '']","['31', '']","['25,969', '']","['592', '']"
10153,r005,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,4,"['82,270', '']","['1,801', '']","['1,062', '']","['169', '']","['170', '']","['41,421', '']","['0', '']","['521', '']","['563', '']","['36,563', '']","['0', '']"
10153,r006,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,5,"['78,676', '']","['1,029', '']","['2,270', '']","['27,392', '']","['0', '']","['20,053', '']","['0', '']","['0', '']","['258', '']","['27,674', '']","['0', '']"
10153,r007,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,6,"['55,570', '']","['4,137', '']","['0', '']","['3,302', '']","['40', '']","['8,765', '']","['0', '']","['0', '']","['3,399', '']","['34,522', '']","['1,405', '']"
10153,r008,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,7,"['54,041', '']","['2,251', '']","['4,412', '']","['4,185', '']","['1,135', '']","['11,946', '']","['0', '']","['0', '']","['0', '']","['29,800', '']","['312', '']"
10153,r009,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,8,"['50,115', '']","['226', '']","['2,094', '']","['4,172', '']","['122', '']","['11,155', '']","['0', '']","['459', '']","['0', '']","['31,865', '']","['22', '']"
10153,r010,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,9,"['45,902', '']","['134', '']","['1,748', '']","['5,817', '']","['391', '']","['14,911', '']","['0', '']","['465', '']","['3,971', '']","['18,435', '']","['30', '']"
10153,r011,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,10,"['45,400', '']","['916', '']","['5,091', '']","['4,234', '']","['498', '']","['6,248', '']","['72', '']","['960', '']","['0', '']","['27,218', '']","['163', '']"
10153,r012,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,11,"['44,212', '']","['87', '']","['2,056', '']","['3,158', '']","['128', '']","['14,578', '']","['0', '']","['17', '']","['13,929', '']","['10,259', '']","['0', '']"
10153,r013,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,12,"['43,491', '']","['38', '']","['163', '']","['1,567', '']","['0', '']","['8,025', '']","['0', '']","['0', '']","['0', '']","['33,698', '']","['0', '']"
