table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2017,field_2018,field_2019,field_2020
5463,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']"
5463,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']"
5463,r003,"Alabama -> Public -> Auburn U., Montgomery",Alabama,Public,"Auburn U., Montgomery",3,"['430', '']","['227', '']","['325', '']","['312', '']"
5463,r004,Alabama -> Public -> U. West Alabama,Alabama,Public,U. West Alabama,3,"['596', '']","['467', '']","['462', '']","['465', '']"
5463,r005,Alabama -> Private,Alabama,Private,,2,"['', '']","['', '']","['', '']","['', '']"
5463,r006,"Alabama -> Private -> Alabama C., Osteopathic Medicine",Alabama,Private,"Alabama C., Osteopathic Medicine",3,"['ne', '']","['ne', '']","['370', '']","['303', '']"
5463,r007,Alabama -> Private -> Oakwood U.,Alabama,Private,Oakwood U.,3,"['866', 'i']","['766', 'i']","['666', '']","['538', '']"
5463,r008,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']"
5463,r009,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']"
5463,r010,Arkansas -> Public -> Arkansas Tech U.,Arkansas,Public,Arkansas Tech U.,3,"['503', '']","['1,022', '']","['961', '']","['856', '']"
5463,r011,Arkansas -> Public -> Southern Arkansas U.,Arkansas,Public,Southern Arkansas U.,3,"['520', '']","['359', '']","['329', '']","['275', '']"
5463,r012,Arkansas -> Private,Arkansas,Private,,2,"['', '']","['', '']","['', '']","['', '']"
5463,r013,Arkansas -> Private -> Arkansas C. of Health Education,Arkansas,Private,Arkansas C. of Health Education,3,"['ne', '']","['ne', '']","['ne', '']","['900', '']"
5463,r014,Arkansas -> Private -> Hendrix C.,Arkansas,Private,Hendrix C.,3,"['480', '']","['840', '']","['902', '']","['649', '']"
5463,r015,Arkansas -> Private -> Ouachita Baptist U.,Arkansas,Private,Ouachita Baptist U.,3,"['ne', '']","['368', '']","['363', 'i']","['345', 'i']"
5463,r016,Arkansas -> Private -> Philander Smith C.,Arkansas,Private,Philander Smith C.,3,"['378', '']","['426', '']","['219', '']","['208', 'i']"
5463,r017,California,California,,,1,"['', '']","['', '']","['', '']","['', '']"
5463,r018,California -> Private,California,Private,,2,"['', '']","['', '']","['', '']","['', '']"
5463,r019,California -> Private -> Claremont School of Theology,California,Private,Claremont School of Theology,3,"['248', '']","['390', '']","['431', '']","['443', 'i']"
5463,r020,California -> Private -> Dominican U. California,California,Private,Dominican U. California,3,"['914', '']","['840', '']","['828', 'i']","['786', 'i']"
5463,r021,California -> Private -> Fielding Graduate U.,California,Private,Fielding Graduate U.,3,"['ne', '']","['817', '']","['852', '']","['1,073', '']"
5463,r022,California -> Private -> International Technological U.,California,Private,International Technological U.,3,"['695', '']","['620', '']","['515', 'i']","['410', '']"
5463,r023,California -> Private -> Palo Alto U.,California,Private,Palo Alto U.,3,"['1,459', '']","['964', '']","['290', '']","['417', '']"
5463,r024,California -> Private -> Pitzer C.,California,Private,Pitzer C.,3,"['837', '']","['808', '']","['468', '']","['313', '']"
5463,r025,California -> Private -> Point Loma Nazarene U.,California,Private,Point Loma Nazarene U.,3,"['168', '']","['350', '']","['265', '']","['237', '']"
5463,r026,California -> Private -> Westmont C.,California,Private,Westmont C.,3,"['261', '']","['240', '']","['376', '']","['211', '']"
5463,r027,California -> Private -> Whittier C.,California,Private,Whittier C.,3,"['455', '']","['344', '']","['388', '']","['248', '']"
5463,r028,Colorado,Colorado,,,1,"['', '']","['', '']","['', '']","['', '']"
5463,r029,Colorado -> Public,Colorado,Public,,2,"['', '']","['', '']","['', '']","['', '']"
5463,r030,Colorado -> Public -> Colorado Mesa U.,Colorado,Public,Colorado Mesa U.,3,"['353', '']","['329', '']","['372', '']","['452', '']"
5463,r031,Colorado -> Public -> Metropolitan State U. of Denver,Colorado,Public,Metropolitan State U. of Denver,3,"['ne', '']","['939', '']","['574', '']","['496', '']"
5463,r032,Colorado -> Public -> Western Colorado U.,Colorado,Public,Western Colorado U.,3,"['ne', '']","['491', '']","['460', '']","['571', '']"
5463,r033,Colorado -> Private,Colorado,Private,,2,"['', '']","['', '']","['', '']","['', '']"
5463,r034,Colorado -> Private -> Regis U.,Colorado,Private,Regis U.,3,"['661', '']","['780', '']","['706', '']","['311', '']"
5463,r035,Connecticut,Connecticut,,,1,"['', '']","['', '']","['', '']","['', '']"
5463,r036,Connecticut -> Public,Connecticut,Public,,2,"['', '']","['', '']","['', '']","['', '']"
5463,r037,Connecticut -> Public -> U.S. Coast Guard Academy,Connecticut,Public,U.S. Coast Guard Academy,3,"['644', '']","['829', '']","['708', '']","['398', '']"
5463,r038,Connecticut -> Public -> Western Connecticut State U.,Connecticut,Public,Western Connecticut State U.,3,"['414', '']","['646', '']","['713', '']","['539', '']"
5463,r039,Connecticut -> Private,Connecticut,Private,,2,"['', '']","['', '']","['', '']","['', '']"
5463,r040,Connecticut -> Private -> Hartford Seminary,Connecticut,Private,Hartford Seminary,3,"['420', '']","['ne', '']","['ne', '']","['345', '']"
5463,r041,Connecticut -> Private -> Quinnipiac U.,Connecticut,Private,Quinnipiac U.,3,"['1,036', 'i']","['994', 'i']","['980', 'i']","['930', 'i']"
5463,r042,Connecticut -> Private -> Sacred Heart U.,Connecticut,Private,Sacred Heart U.,3,"['ne', '']","['ne', '']","['563', '']","['1,298', '']"
5463,r043,Connecticut -> Private -> U. Bridgeport,Connecticut,Private,U. Bridgeport,3,"['726', '']","['603', '']","['384', 'i']","['164', '']"
5463,r044,Florida,Florida,,,1,"['', '']","['', '']","['', '']","['', '']"
5463,r045,Florida -> Public,Florida,Public,,2,"['', '']","['', '']","['', '']","['', '']"
5463,r046,Florida -> Public -> New C. Florida,Florida,Public,New C. Florida,3,"['998', '']","['875', '']","['962', '']","['999', '']"
5463,r047,Florida -> Private,Florida,Private,,2,"['', '']","['', '']","['', '']","['', '']"
5463,r048,Florida -> Private -> Barry U.,Florida,Private,Barry U.,3,"['450', '']","['436', '']","['295', '']","['237', '']"
5463,r049,Florida -> Private -> Bethune-Cookman U.,Florida,Private,Bethune-Cookman U.,3,"['1,185', 'i']","['1,137', '']","['735', '']","['636', '']"
5463,r050,Florida -> Private -> Eckerd C.,Florida,Private,Eckerd C.,3,"['809', '']","['495', '']","['435', '']","['406', '']"
5463,r051,Florida -> Private -> Jacksonville U.,Florida,Private,Jacksonville U.,3,"['649', '']","['237', '']","['365', '']","['459', '']"
5463,r052,Florida -> Private -> Keiser U.,Florida,Private,Keiser U.,3,"['729', '']","['480', '']","['450', '']","['423', '']"
5463,r053,Florida -> Private -> Rollins C.,Florida,Private,Rollins C.,3,"['543', '']","['668', '']","['626', '']","['414', '']"
5463,r054,"Florida -> Private -> St. Thomas U., Miami Gardens",Florida,Private,"St. Thomas U., Miami Gardens",3,"['260', '']","['184', '']","['268', '']","['160', '']"
5463,r055,Florida -> Private -> Stetson U.,Florida,Private,Stetson U.,3,"['334', '']","['393', '']","['476', '']","['670', '']"
5463,r056,Florida -> Private -> U. Tampa,Florida,Private,U. Tampa,3,"['390', '']","['313', '']","['489', '']","['559', '']"
5463,r057,Georgia,Georgia,,,1,"['', '']","['', '']","['', '']","['', '']"
5463,r058,Georgia -> Public,Georgia,Public,,2,"['', '']","['', '']","['', '']","['', '']"
5463,r059,Georgia -> Public -> Clayton State U.,Georgia,Public,Clayton State U.,3,"['ne', '']","['ne', '']","['330', '']","['346', '']"
5463,r060,Georgia -> Public -> Georgia C. and State U.,Georgia,Public,Georgia C. and State U.,3,"['275', '']","['154', '']","['548', '']","['270', '']"
