table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates_with_supervisors,field_had_written_performance_plan,field_of_those_with_written_performance_plan_percent_whose_plan_reflected_personal_career_development_goals_a_great_deal,field_has_had_formal_performance_evaluation
3814,r001,Early career doctorates with supervisors,Early career doctorates with supervisors,,,,,1,155800,55.3,49.7,75.5
3814,r002,Early career doctorates with supervisors -> Position type<sup>a</sup>,Early career doctorates with supervisors,Position type<sup>a</sup>,,,,2,,,,
3814,r003,Early career doctorates with supervisors -> Position type<sup>a</sup> -> Faculty,Early career doctorates with supervisors,Position type<sup>a</sup>,Faculty,,,3,96300,52.3,50.4,84.1
3814,r004,Early career doctorates with supervisors -> Position type<sup>a</sup> -> Faculty -> Tenured faculty,Early career doctorates with supervisors,Position type<sup>a</sup>,Faculty,Tenured faculty,,4,19800,49.5,49.4,90.4
3814,r005,Early career doctorates with supervisors -> Position type<sup>a</sup> -> Faculty -> Tenure-track faculty,Early career doctorates with supervisors,Position type<sup>a</sup>,Faculty,Tenure-track faculty,,4,40900,57.7,57.2,92.1
3814,r006,Early career doctorates with supervisors -> Position type<sup>a</sup> -> Faculty -> Non-tenure track faculty with rank,Early career doctorates with supervisors,Position type<sup>a</sup>,Faculty,Non-tenure track faculty with rank,,4,12000,58.2,53.1,86.1
3814,r007,"Early career doctorates with supervisors -> Position type<sup>a</sup> -> Faculty -> Other faculty, no rank or tenure",Early career doctorates with supervisors,Position type<sup>a</sup>,Faculty,"Other faculty, no rank or tenure",,4,23500,42.2,33.1,63.6
3814,r008,Early career doctorates with supervisors -> Position type<sup>a</sup> -> Postdoctoral scholar,Early career doctorates with supervisors,Position type<sup>a</sup>,Postdoctoral scholar,,,3,35900,54.7,54.1,46.7
3814,r009,Early career doctorates with supervisors -> Position type<sup>a</sup> -> Research scientist or nonfaculty researcher,Early career doctorates with supervisors,Position type<sup>a</sup>,Research scientist or nonfaculty researcher,,,3,10300,67.8,40.9,82.6
3814,r010,Early career doctorates with supervisors -> Position type<sup>a</sup> -> Other positions,Early career doctorates with supervisors,Position type<sup>a</sup>,Other positions,,,3,13300,69.5,42.8,85.7
3814,r011,Early career doctorates with supervisors -> Employment setting,Early career doctorates with supervisors,Employment setting,,,,2,,,,
3814,r012,Early career doctorates with supervisors -> Employment setting -> Academic institution<sup>b</sup>,Early career doctorates with supervisors,Employment setting,Academic institution<sup>b</sup>,,,3,148200,54.5,49.8,74.9
3814,r013,Early career doctorates with supervisors -> Employment setting -> Academic institution<sup>b</sup> -> Very high research activity university,Early career doctorates with supervisors,Employment setting,Academic institution<sup>b</sup>,Very high research activity university,,4,67400,54.5,50.2,64.7
3814,r014,Early career doctorates with supervisors -> Employment setting -> Academic institution<sup>b</sup> -> High research activity university,Early career doctorates with supervisors,Employment setting,Academic institution<sup>b</sup>,High research activity university,,4,22500,54.3,48.7,78.4
