table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2017,field_2018,field_2019_all_engineering,field_2019_aerospace_aeronautical_and_astronautical_engineering,field_2019_bioengineering_and_biomedical_engineering,field_2019_chemical_engineering,field_2019_civil_engineering,field_2019_electrical_electronic_and_communications_engineering,field_2019_industrial_and_manufacturing_engineering,field_2019_mechanical_engineering,field_2019_metallurgical_and_materials_engineering,field_2019_engineering_nec_
3169,r001,All institutions,All institutions,,1,-,"['6,828,226', '']","['7,092,526', '']","['7,667,373', '']","['820,512', '']","['879,674', '']","['498,380', '']","['620,862', '']","['2,049,254', '']","['366,535', '']","['1,055,725', '']","['483,774', '']","['892,657', '']"
3169,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,030,067', '']","['1,038,797', '']","['1,100,587', '']","['117,726', '']","['45,276', '']","['18,543', '']","['17,403', '']","['520,210', '']","['94,033', '']","['199,793', '']","['21,928', '']","['65,675', '']"
3169,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['426,068', '']","['466,780', '']","['506,061', '']","['143,707', '']","['23,024', '']","['15,036', '']","['9,979', '']","['202,108', '']","['62,172', '']","['30,891', '']","['14,924', '']","['4,220', '']"
3169,r004,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,3,"['233,587', '']","['244,868', '']","['258,324', '']","['15,086', '']","['10,225', '']","['13,545', '']","['2,771', '']","['86,178', '']","['26,696', '']","['74,650', '']","['29,173', '']","['0', '']"
3169,r005,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,4,"['221,898', '']","['220,744', '']","['230,312', '']","['16,002', '']","['76,740', '']","['15,457', '']","['3,632', '']","['38,762', '']","['0', '']","['18,195', '']","['15,946', '']","['45,578', '']"
3169,r006,All institutions -> Utah State U.,All institutions,Utah State U.,2,5,"['100,965', '']","['124,950', '']","['183,794', '']","['175,166', '']","['341', '']","['0', '']","['2,562', '']","['2,500', '']","['0', '']","['2,133', '']","['0', '']","['1,092', '']"
3169,r007,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,6,"['180,969', '']","['178,020', '']","['175,137', '']","['10,434', '']","['15,218', '']","['6,259', '']","['11,110', '']","['50,284', '']","['3,044', '']","['23,748', '']","['8,048', '']","['46,992', '']"
3169,r008,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,7,"['148,099', '']","['154,761', '']","['160,506', '']","['11,206', '']","['7,828', '']","['12,147', '']","['8,918', '']","['49,011', '']","['279', '']","['40,091', '']","['16,828', '']","['14,198', '']"
3169,r009,All institutions -> U. Dayton,All institutions,U. Dayton,2,8,"['109,805', '']","['127,079', '']","['146,841', '']","['9,753', '']","['0', '']","['9,010', '']","['4,288', '']","['6,923', '']","['27,233', '']","['4,013', '']","['72,816', '']","['12,805', '']"
3169,r010,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,9,"['122,848', '']","['126,826', '']","['130,075', '']","['8,322', '']","['7,601', '']","['10,526', '']","['12,546', '']","['43,278', '']","['0', '']","['19,914', '']","['11,520', '']","['16,368', '']"
