table_id,row_id,performing_sector_and_type_of_r_d_full_path,performing_sector_and_type_of_r_d_level_1,performing_sector_and_type_of_r_d_level_2,performing_sector_and_type_of_r_d_level_3,performing_sector_and_type_of_r_d_level_4,performing_sector_and_type_of_r_d_hierarchy_depth,field_source_of_funds_millions_total,field_source_of_funds_millions_business,field_source_of_funds_millions_federal_government,field_source_of_funds_millions_nonfederal_government,field_source_of_funds_millions_higher_education,field_source_of_funds_millions_other_nonprofit_organizations,field_percent_distribution_by_performer
6757,r001,R&D,R&D,,,,1,666875,481799,133807,4929,21562,24778,100.0
6757,r002,R&D -> Business,R&D,Business,,,2,498175,474442,22653,169,**,911,74.7
6757,r003,R&D -> Federal government,R&D,Federal government,,,2,62802,179,62408,49,**,166,9.4
6757,r004,R&D -> Federal government -> Federal intramural,R&D,Federal government,Federal intramural,,3,39870,0,39870,0,0,0,6.0
6757,r005,R&D -> Federal government -> FFRDCs,R&D,Federal government,FFRDCs,,3,22932,179,22538,49,**,166,3.4
6757,r006,R&D -> Nonfederal government,R&D,Nonfederal government,,,2,675,23,290,347,4,12,0.1
6757,r007,R&D -> Higher education,R&D,Higher education,,,2,78176,4808,39556,4364,21559,7889,11.7
6757,r008,R&D -> Nonprofit organizations,R&D,Nonprofit organizations,,,2,27048,2347,8900,***,***,15800,4.1
6757,r009,R&D -> Percent distribution by funding source,R&D,Percent distribution by funding source,,,2,100.0,72.2,20.1,0.7,3.2,3.7,-
6757,r010,R&D -> Basic research,R&D,Basic research,,,2,102874,33745,42199,2618,13594,10719,100.0
6757,r011,R&D -> Basic research -> Business,R&D,Basic research,Business,,3,32582,30132,2349,15,**,86,31.7
6757,r012,R&D -> Basic research -> Federal government,R&D,Basic research,Federal government,,3,11932,36,11853,10,**,33,11.6
6757,r013,R&D -> Basic research -> Federal government -> Federal intramural,R&D,Basic research,Federal government,Federal intramural,4,7352,0,7352,0,0,0,7.1
6757,r014,R&D -> Basic research -> Federal government -> FFRDCs,R&D,Basic research,Federal government,FFRDCs,4,4580,36,4501,10,**,33,4.5
6757,r015,R&D -> Basic research -> Nonfederal government,R&D,Basic research,Nonfederal government,,3,120,4,52,62,1,2,0.1
6757,r016,R&D -> Basic research -> Higher education,R&D,Basic research,Higher education,,3,49126,2729,25358,2531,13594,4916,47.8
6757,r017,R&D -> Basic research -> Nonprofit organizations,R&D,Basic research,Nonprofit organizations,,3,9113,844,2588,***,***,5681,8.9
6757,r018,R&D -> Basic research -> Percent distribution by funding source,R&D,Basic research,Percent distribution by funding source,,3,100.0,32.8,41.0,2.5,13.2,10.4,-
6757,r019,R&D -> Applied research,R&D,Applied research,,,2,132021,73277,41849,1675,5766,9454,100.0
6757,r020,R&D -> Applied research -> Business,R&D,Applied research,Business,,3,76176,70679,5246,42,**,209,57.7
6757,r021,R&D -> Applied research -> Federal government,R&D,Applied research,Federal government,,3,20522,83,20339,23,**,77,15.5
6757,r022,R&D -> Applied research -> Federal government -> Federal intramural,R&D,Applied research,Federal government,Federal intramural,4,11264,0,11264,0,0,0,8.5
6757,r023,R&D -> Applied research -> Federal government -> FFRDCs,R&D,Applied research,Federal government,FFRDCs,4,9258,83,9075,23,**,77,7.0
6757,r024,R&D -> Applied research -> Nonfederal government,R&D,Applied research,Nonfederal government,,3,524,18,225,269,3,9,0.4
6757,r025,R&D -> Applied research -> Higher education,R&D,Applied research,Higher education,,3,21793,1449,11144,1341,5763,2097,16.5
6757,r026,R&D -> Applied research -> Nonprofit organizations,R&D,Applied research,Nonprofit organizations,,3,13006,1049,4895,***,***,7062,9.9
6757,r027,R&D -> Applied research -> Percent distribution by funding source,R&D,Applied research,Percent distribution by funding source,,3,100.0,55.5,31.7,1.3,4.4,7.2,-
6757,r028,R&D -> Experimental development,R&D,Experimental development,,,2,431980,374777,49758,636,2202,4607,100.0
6757,r029,R&D -> Experimental development -> Business,R&D,Experimental development,Business,,3,389418,373631,15058,112,**,617,90.1
6757,r030,R&D -> Experimental development -> Federal government,R&D,Experimental development,Federal government,,3,30347,60,30215,17,**,56,7.0
6757,r031,R&D -> Experimental development -> Federal government -> Federal intramural,R&D,Experimental development,Federal government,Federal intramural,4,21253,0,21253,0,0,0,4.9
6757,r032,R&D -> Experimental development -> Federal government -> FFRDCs,R&D,Experimental development,Federal government,FFRDCs,4,9093,60,8962,17,**,56,2.1
6757,r033,R&D -> Experimental development -> Nonfederal government,R&D,Experimental development,Nonfederal government,,3,31,1,13,16,0.05,1,0.0
6757,r034,R&D -> Experimental development -> Higher education,R&D,Experimental development,Higher education,,3,7257,631,3055,492,2202,877,1.7
6757,r035,R&D -> Experimental development -> Nonprofit organizations,R&D,Experimental development,Nonprofit organizations,,3,4928,454,1417,***,***,3057,1.1
6757,r036,R&D -> Experimental development -> Percent distribution by funding source,R&D,Experimental development,Percent distribution by funding source,,3,100.0,86.8,11.5,0.1,0.5,1.1,-
