table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_u_s_citizen_all_median_salary,field_u_s_citizen_all_se,field_u_s_citizen_native_born_median_salary,field_u_s_citizen_native_born_se,field_u_s_citizen_naturalized_median_salary,field_u_s_citizen_naturalized_se,field_non_u_s_citizen_all_median_salary,field_non_u_s_citizen_all_se,field_non_u_s_citizen_permanent_resident_median_salary,field_non_u_s_citizen_permanent_resident_se,field_non_u_s_citizen_temporary_resident_median_salary,field_non_u_s_citizen_temporary_resident_se
8236,r001,All fields,All fields,,,,1,122000,1500,125000,500,120000,500,142000,3000,115000,1500,120000,2000,97000,4000
8236,r002,All fields -> Science,All fields,Science,,,2,117000,1500,120000,1500,114000,1500,132000,3500,105000,3000,115000,4000,87000,3000
8236,r003,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,115000,1000,120000,500,115000,1500,133000,4000,88000,3500,100000,500,64000,1500
8236,r004,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,4,109000,2000,115000,5000,111000,2500,123000,5000,85000,5500,92000,2500,74000,6000
8236,r005,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,4,122000,4000,130000,4000,123000,5000,145000,9000,100000,8500,114000,5000,59000,2500
8236,r006,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",4,120000,4500,124000,4500,122000,4000,136000,12500,80000,9500,97000,10500,61000,3500
8236,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,4,124000,4000,127000,3000,123000,4000,144000,5500,98000,8000,99000,2500,69000,14500
8236,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,4,96000,2500,99000,3000,99000,3500,100000,4000,83000,4000,88000,9000,70000,11000
8236,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,4,98000,4500,99000,3500,98000,5500,105000,12000,83000,16500,84000,20000,,
8236,r010,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,4,114000,2000,119000,3000,113000,2000,130000,6000,89000,3500,99000,2500,64000,1500
