table_id,row_id,items_full_path,items_level_1,items_level_2,items_hierarchy_depth,field_response
6714,r001,Job importance,Job importance,,1,"['Very important', '', '', 'Somewhat important', '', '', 'Unimportant', '', '']"
6714,r002,,,,1,"['2015', '2017', '2019', '2015', '2017', '2019', '2015', '2017', '2019']"
6714,r003, -> Salary,,Salary,2,"['50.0', '52.4', '53.0', '45.8', '43.3', '42.7', '4.2', '4.3', '4.2']"
6714,r004, -> Benefits,,Benefits,2,"['53.8', '56.5', '57.6', '39.1', '36.0', '35.4', '7.2', '7.4', '7.1']"
6714,r005, -> Job security,,Job security,2,"['54.6', '55.5', '56.7', '36.4', '34.9', '34.4', '9.0', '9.7', '8.9']"
6714,r006, -> Job location,,Job location,2,"['55.0', '56.9', '58.6', '39.1', '37.4', '36.2', '5.9', '5.7', '5.2']"
6714,r007, -> Opportunities for advancement,,Opportunities for advancement,2,"['41.9', '42.3', '42.2', '43.8', '42.6', '42.7', '14.3', '15.1', '15.1']"
6714,r008, -> Intellectual challenge,,Intellectual challenge,2,"['75.2', '74.4', '73.8', '22.9', '23.5', '23.9', '1.9', '2.1', '2.3']"
6714,r009, -> Level of responsibility,,Level of responsibility,2,"['46.2', '45.6', '44.9', '46.0', '45.7', '45.9', '7.8', '8.7', '9.1']"
6714,r010, -> Degree of independence,,Degree of independence,2,"['69.4', '68.8', '69.3', '27.9', '28.3', '27.7', '2.7', '2.9', '3.0']"
6714,r011, -> Contribution to society,,Contribution to society,2,"['57.6', '58.6', '59.1', '36.3', '35.5', '34.9', '6.2', '5.9', '6.0']"
6714,r012,Job satisfaction,Job satisfaction,,1,"['Very satisfied', '', '', 'Somewhat satisfied', '', '', 'Dissatisfied', '', '']"
6714,r013,,,,1,"['2015', '2017', '2019', '2015', '2017', '2019', '2015', '2017', '2019']"
6714,r014, -> Salary,,Salary,2,"['32.3', '32.7', '33.2', '46.7', '47.8', '47.5', '20.9', '19.5', '19.4']"
6714,r015, -> Benefits,,Benefits,2,"['42.3', '42.7', '43.6', '41.6', '41.3', '41.0', '16.1', '16.0', '15.4']"
6714,r016, -> Job security,,Job security,2,"['49.3', '48.9', '51.8', '34.2', '34.8', '33.5', '16.6', '16.3', '14.7']"
6714,r017, -> Job location,,Job location,2,"['56.1', '55.7', '56.3', '31.7', '32.1', '31.7', '12.2', '12.2', '11.9']"
6714,r018, -> Opportunities for advancement,,Opportunities for advancement,2,"['27.0', '27.3', '27.4', '43.3', '44.2', '44.1', '29.7', '28.5', '28.5']"
6714,r019, -> Intellectual challenge,,Intellectual challenge,2,"['54.6', '53.3', '53.3', '33.6', '34.8', '34.7', '11.8', '11.9', '12.0']"
6714,r020, -> Level of responsibility,,Level of responsibility,2,"['51.8', '51.7', '51.3', '38.2', '38.7', '38.4', '10.0', '9.7', '10.3']"
6714,r021, -> Degree of independence,,Degree of independence,2,"['64.5', '64.2', '64.8', '27.6', '28.4', '27.4', '7.9', '7.4', '7.8']"
6714,r022, -> Contribution to society,,Contribution to society,2,"['54.5', '55.0', '55.2', '37.0', '36.5', '35.9', '8.5', '8.5', '8.9']"
