table_id,row_id,characteristics_full_path,characteristics_level_1,characteristics_level_2,characteristics_level_3,characteristics_level_4,characteristics_hierarchy_depth,field_totala,field_u_s_citizen,field_non_u_s_citizen,field_hispanic_or_latino_u_s_citizen,field_hispanic_or_latino_non_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_non_u_s_citizen,field_not_hispanic_or_latino_asian_u_s_citizen,field_not_hispanic_or_latino_asian_non_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_non_u_s_citizen,field_not_hispanic_or_latino_white_u_s_citizen,field_not_hispanic_or_latino_white_non_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_non_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_non_u_s_citizen,field_ethnicity_not_reported_u_s_citizen,field_ethnicity_not_reported_non_u_s_citizen
1799,r001,All doctorate recipients (number),All doctorate recipients (number),,,,1,55195,35404,17604,2582,1017,115,,3305,11475,2456,596,24951,3600,1102,,371,477,522,327
1799,r002,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,,,2,,,,,,,,,,,,,,,,,,,
1799,r003,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Teaching assistantships,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Teaching assistantships,,3,21.5,20.6,23.5,18.3,19.8,8.2,0.0,18.8,24.1,10.8,28.3,22.1,22.5,19.2,19.3,18.4,16.3,18.2,14.1
1799,r004,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Research or other assistantships or traineeships<sup>c</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Research or other assistantships or traineeships<sup>c</sup>,,3,33.0,26.4,46.4,18.8,26.3,,0.0,33.7,52.1,15.0,30.9,27.5,38.0,25.0,30.3,,26.9,26.4,53.8
1799,r005,"All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Fellowships, scholarship, or dissertation grants",All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,"Fellowships, scholarship, or dissertation grants",,3,25.3,27.8,20.1,37.3,31.6,37.8,,32.0,16.8,27.9,22.2,26.0,26.3,34.2,33.0,26.5,,24.5,19.2
1799,r006,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Own resources,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Own resources,,3,15.2,20.7,4.0,21.3,3.3,32.7,0.0,12.3,3.5,41.2,15.4,19.8,3.4,17.8,,30.1,,23.3,6.4
1799,r007,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Employer,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Employer,,3,2.9,4.0,0.6,3.5,1.3,,0.0,2.8,0.4,4.4,0.9,4.2,0.9,3.0,0.0,,1.9,6.9,1.3
1799,r008,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Other source,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Other source,,3,2.1,0.5,5.4,0.8,17.6,0.0,0.0,0.4,3.0,0.8,2.3,0.5,8.9,0.9,13.8,1.5,20.0,0.6,5.1
1799,r009,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,,,2,,,,,,,,,,,,,,,,,,,
1799,r010,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite postgraduation study,,3,13219,8487,4692,644,281,13,0,855,3162,394,111,6199,1047,294,30,55,34,33,27
1799,r011,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment,,3,21070,14457,6537,983,392,54,0,1173,4417,1065,215,10489,1360,472,39,146,88,75,26
1799,r012,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Seeking employment or study,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Seeking employment or study,,3,14479,9498,4962,717,292,31,,978,3354,791,227,6579,986,285,,67,43,50,19
1799,r013,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Other status<sup>e</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Other status<sup>e</sup>,,3,1568,1209,339,96,24,3,0,174,188,85,13,768,98,49,2,24,8,10,6
1799,r014,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation study plans (%)<sup>f</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation study plans (%)<sup>f</sup>,,3,38.6,37.0,41.8,39.6,41.8,19.4,0.0,42.2,41.7,27.0,34.0,37.1,43.5,38.4,43.5,27.4,27.9,30.6,50.9
1799,r015,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,,3,,,,,,,,,,,,,,,,,,,
1799,r016,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Academe,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Academe,4,45.0,47.7,39.0,53.9,56.1,59.3,0.0,36.7,33.6,43.9,49.3,48.6,48.8,51.3,48.7,41.1,55.7,46.7,42.3
1799,r017,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Government,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Government,4,7.2,8.7,4.0,8.6,9.9,9.3,0.0,7.2,3.1,13.7,6.0,8.2,4.5,10.4,,8.9,,9.3,3.8
1799,r018,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Industry or business<sup>h</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Industry or business<sup>h</sup>,4,35.0,27.7,51.3,21.2,25.3,,0.0,44.7,58.9,17.7,27.9,27.6,40.1,24.2,30.8,,29.5,28.0,38.5
1799,r019,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Nonprofit,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Nonprofit,4,6.2,7.5,3.4,6.5,4.8,,0.0,7.6,2.7,8.5,11.6,7.5,3.7,7.0,0.0,,2.3,2.7,7.7
1799,r020,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Other or unknown plans<sup>i</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Other or unknown plans<sup>i</sup>,4,6.6,8.5,2.3,9.8,3.8,7.4,0.0,3.8,1.7,16.2,5.1,8.1,2.9,7.2,,10.3,,13.3,7.7
1799,r021,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Employment location (%)<sup>j</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Employment location (%)<sup>j</sup>,,3,,,,,,,,,,,,,,,,,,,
1799,r022,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Employment location (%)<sup>j</sup> -> United States,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Employment location (%)<sup>j</sup>,United States,4,89.8,97.8,72.3,99.0,55.6,100.0,0.0,95.8,77.3,98.9,60.5,97.8,65.1,97.0,56.4,95.2,42.0,94.7,80.8
1799,r023,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Employment location (%)<sup>j</sup> -> Not United States,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Employment location (%)<sup>j</sup>,Not United States,4,10.2,2.2,27.7,1.0,44.4,0.0,0.0,4.2,22.7,1.0,39.5,2.2,34.9,3.0,43.6,4.8,58.0,1.3,19.2
1799,r024,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Employment location (%)<sup>j</sup> -> Unknown,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Employment location (%)<sup>j</sup>,Unknown,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1799,r025,All doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number),Age at doctorate (median years),,,2,31.4,31.8,30.9,32.3,33.4,36.3,,31.1,30.3,36.0,35.2,31.6,32.0,31.3,31.5,32.3,31.4,32.8,31.6
1799,r026,All doctorate recipients (number) -> Time to degree (median years),All doctorate recipients (number),Time to degree (median years),,,2,,,,,,,,,,,,,,,,,,,
1799,r027,All doctorate recipients (number) -> Time to degree (median years) -> From bachelor's,All doctorate recipients (number),Time to degree (median years),From bachelor's,,3,8.6,9.0,8.3,8.9,9.8,11.3,,8.6,7.9,11.6,10.8,8.7,9.0,8.6,8.3,9.6,8.9,9.4,8.6
1799,r028,All doctorate recipients (number) -> Time to degree (median years) -> From graduate school start,All doctorate recipients (number),Time to degree (median years),From graduate school start,,3,7.3,7.3,7.5,7.5,8.3,9.3,,7.3,7.1,9.7,8.4,7.3,8.2,7.0,7.3,8.3,7.9,8.0,6.8
1799,r029,All doctorate recipients (number) -> Time to degree (median years) -> From doctoral program start<sup>k</sup>,All doctorate recipients (number),Time to degree (median years),From doctoral program start<sup>k</sup>,,3,5.8,5.8,5.3,5.9,5.3,6.0,,5.8,5.3,5.9,5.0,5.8,5.3,5.8,5.7,5.8,5.7,5.9,5.1
