table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_hierarchy_depth,field_total,field_stimulus,field_non_stimulus
6134,r001,All agencies,All agencies,,,1,167403,19457,147946
6134,r002,All agencies -> Department of Defense,All agencies,Department of Defense,,2,66695,1530,65165
6134,r003,All agencies -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Department of Defense,Defense Advanced Research Projects Agency,3,3664,112,3552
6134,r004,All agencies -> Department of Defense -> Defense Health Agency,All agencies,Department of Defense,Defense Health Agency,3,2870,998,1873
6134,r005,All agencies -> Department of Defense -> Department of the Air Force,All agencies,Department of Defense,Department of the Air Force,3,11683,236,11447
6134,r006,All agencies -> Department of Defense -> All other defense agencies,All agencies,Department of Defense,All other defense agencies,3,48477,183,48294
6134,r007,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,,2,60006,17780,42226
6134,r008,All agencies -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,3,15666,14324,1343
6134,r009,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,3,497,93,404
6134,r010,All agencies -> Department of Health and Human Services -> National Institutes of Health,All agencies,Department of Health and Human Services,National Institutes of Health,3,42664,3363,39301
6134,r011,All agencies -> National Science Foundation,All agencies,National Science Foundation,,2,6351,75,6277
6134,r012,All agencies -> All other departments and agencies,All agencies,All other departments and agencies,,2,34351,73,34278
