table_id,row_id,demographic_characteristic_and_field_full_path,demographic_characteristic_and_field_level_1,demographic_characteristic_and_field_level_2,demographic_characteristic_and_field_level_3,demographic_characteristic_and_field_level_4,demographic_characteristic_and_field_level_5,demographic_characteristic_and_field_hierarchy_depth,field_total_number_,field_parental_education_attainment_all,field_parental_education_attainment_high_school_or_less,field_parental_education_attainment_some_collegea,field_parental_education_attainment_bachelor_s_degree,field_parental_education_attainment_master_s_degree,field_parental_education_attainment_professional_degreeb,field_parental_education_attainment_research_doctoral_degree
2825,r001,All doctorate recipients,All doctorate recipients,,,,,1,,,,,,,,
2825,r002,All doctorate recipients -> Father's education<sup>c</sup>,All doctorate recipients,Father's education<sup>c</sup>,,,,2,47821,100.0,23.4,13.7,27.2,17.4,8.4,10.0
2825,r003,All doctorate recipients -> Mother's education<sup>d</sup>,All doctorate recipients,Mother's education<sup>d</sup>,,,,2,48232,100.0,27.1,17.3,29.3,17.7,4.3,4.4
2825,r004,All doctorate recipients -> Sex,All doctorate recipients,Sex,,,,2,,,,,,,,
2825,r005,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,,,3,,,,,,,,
2825,r006,All doctorate recipients -> Sex -> Male -> Father's education,All doctorate recipients,Sex,Male,Father's education,,4,25929,100.0,23.6,13.2,28.1,17.1,8.0,10.1
2825,r007,All doctorate recipients -> Sex -> Male -> Mother's education,All doctorate recipients,Sex,Male,Mother's education,,4,26078,100.0,28.9,16.6,29.7,16.9,4.1,3.8
2825,r008,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,,,3,,,,,,,,
2825,r009,All doctorate recipients -> Sex -> Female -> Father's education,All doctorate recipients,Sex,Female,Father's education,,4,21891,100.0,23.2,14.4,26.2,17.6,8.9,9.8
2825,r010,All doctorate recipients -> Sex -> Female -> Mother's education,All doctorate recipients,Sex,Female,Mother's education,,4,22153,100.0,25.0,18.1,28.8,18.5,4.5,5.1
2825,r011,All doctorate recipients -> Citizenship status,All doctorate recipients,Citizenship status,,,,2,,,,,,,,
