table_id,row_id,demographic_characteristics_full_path,demographic_characteristics_level_1,demographic_characteristics_level_2,demographic_characteristics_level_3,demographic_characteristics_level_4,demographic_characteristics_hierarchy_depth,field_2019_number,field_2019_percent,field_2021_number,field_2021_percent,field_2023_number,field_2023_percent,field_change_2019_23_number,field_change_2019_23_percentage_points,field_change_2019_23_percent
12413,r001,All postdocs,All postdocs,,,,1,3335,100.0,3637,100.0,3629,100.0,294,0.0,8.8
12413,r002,All postdocs -> Women,All postdocs,Women,,,2,859,25.8,980,26.9,1027,28.3,168,2.5,19.6
12413,r003,All postdocs -> Men,All postdocs,Men,,,2,2476,74.2,2657,73.1,2602,71.7,126,-2.5,5.1
12413,r004,All postdocs -> U.S. citizens and permanent residents<sup>a</sup>,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,,,2,1429,42.8,1779,48.9,1619,44.6,190,1.8,13.3
12413,r005,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,76,2.3,120,3.3,136,3.7,60,1.4,78.9
12413,r006,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,1311,39.3,1615,44.4,1448,39.9,137,0.6,10.5
12413,r007,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,0,0.0,2,0.1,4,0.1,4,0.1,-
12413,r008,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,193,5.8,251,6.9,266,7.3,73,1.5,37.8
12413,r009,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,38,1.1,38,1.0,42,1.2,4,0.1,10.5
12413,r010,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,2,0.1,1,0.0,3,0.1,1,0.0,50.0
12413,r011,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,1043,31.3,1259,34.6,1068,29.4,25,-1.9,2.4
12413,r012,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,35,1.0,64,1.8,65,1.8,30,0.8,85.7
12413,r013,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity or race,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity or race,,3,42,1.3,44,1.2,35,1.0,-7,-0.3,-16.7
12413,r014,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Women,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Women,,3,385,11.5,534,14.7,494,13.6,109,2.1,28.3
12413,r015,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Men,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Men,,3,1044,31.3,1245,34.2,1125,31.0,81,-0.3,7.8
12413,r016,All postdocs -> Temporary visa holders,All postdocs,Temporary visa holders,,,2,1906,57.2,1858,51.1,2010,55.4,104,-1.8,5.5
12413,r017,All postdocs -> Temporary visa holders -> Women,All postdocs,Temporary visa holders,Women,,3,474,14.2,446,12.3,533,14.7,59,0.5,12.4
12413,r018,All postdocs -> Temporary visa holders -> Men,All postdocs,Temporary visa holders,Men,,3,1432,42.9,1412,38.8,1477,40.7,45,-2.2,3.1
