table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
5608,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['    12,541 ', '&nbsp;']","['    4,526,838 ', '&nbsp;']","['    7,545 ', '&nbsp;']","['    1,890,728 ', '&nbsp;']","['    4,997 ', '&nbsp;']","['    2,636,110 ', '&nbsp;']"
5608,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5608,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['    9,115 ', '&nbsp;']","['    3,037,788 ', '&nbsp;']","['    5,556 ', '&nbsp;']","['    1,343,833 ', '&nbsp;']","['    3,558 ', '&nbsp;']","['    1,693,955 ', '&nbsp;']"
5608,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['    2,570 ', '&nbsp;']","['    847,584 ', '&nbsp;']","['    1,553 ', '&nbsp;']","['    322,705 ', '&nbsp;']","['    1,019 ', '&nbsp;']","['    524,879 ', '&nbsp;']"
5608,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['    120 ', '&nbsp;']","['    37,075 ', '&nbsp;']","['    70 ', '&nbsp;']","['    18,908 ', '&nbsp;']","['    51 ', 'r']","['    18,167 ', 'r']"
5608,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['    28 ', 'r']","['    6,185 ', '&nbsp;']","['    10 ', '&nbsp;']","['    4,876 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5608,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['    7 ', 'r']","['    1,097 ', 'r']","['    7 ', 'r']","['    1,097 ', 'r']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5608,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5608,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['    392 ', '&nbsp;']","['    98,314 ', '&nbsp;']","['    254 ', '&nbsp;']","['    39,435 ', '&nbsp;']","['    138 ', '&nbsp;']","['    58,879 ', '&nbsp;']"
5608,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic and not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic and not Hispanic,,3,"['    141 ', '&nbsp;']","['    23,080 ', '&nbsp;']","['    55 ', 'r']","['    9,045 ', '&nbsp;']","['    86 ', '&nbsp;']","['    14,035 ', 'r']"
