table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_doe_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5442,r001,All institutions,All institutions,,1,-,"['2,037,915', '']","['48,280', '']","['92,962', '']","['234,655', '']","['9,124', '']","['753,512', '']","['1,148', '']","['5,930', '']","['16,480', '']","['869,885', '']","['5,939', '']"
5442,r002,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,1,"['86,992', '']","['81', '']","['193', '']","['18,179', '']","['222', '']","['61,156', '']","['0', '']","['20', '']","['81', '']","['7,051', '']","['9', '']"
5442,r003,All institutions -> U. Rochester,All institutions,U. Rochester,2,2,"['83,859', '']","['0', '']","['0', '']","['182', '']","['0', '']","['81,742', '']","['0', '']","['0', '']","['0', '']","['1,935', '']","['0', '']"
5442,r004,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,3,"['75,459', '']","['2,272', '']","['820', '']","['37,978', '']","['217', '']","['8,727', '']","['307', '']","['4', '']","['1', '']","['24,770', '']","['363', '']"
5442,r005,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,4,"['69,108', '']","['260', '']","['1,669', '']","['29,802', '']","['4', '']","['13,072', '']","['0', '']","['0', '']","['1', '']","['24,293', '']","['7', '']"
5442,r006,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,5,"['66,436', '']","['913', '']","['1,006', '']","['10', '']","['0', '']","['36,164', '']","['0', '']","['11', '']","['0', '']","['28,332', '']","['0', '']"
5442,r007,"All institutions -> U. Tennessee, Knoxville<sup>a</sup>",All institutions,"U. Tennessee, Knoxville<sup>a</sup>",2,6,"['60,980', '']","['5,709', '']","['219', '']","['3,912', '']","['60', '']","['8,797', '']","['0', '']","['29', '']","['4,819', '']","['36,891', '']","['544', '']"
5442,r008,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,7,"['43,606', '']","['97', '']","['1,533', '']","['6,100', '']","['558', '']","['15,383', '']","['2', '']","['218', '']","['2,323', '']","['17,392', '']","['0', '']"
5442,r009,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,8,"['43,372', '']","['1,026', '']","['6,829', '']","['3,567', '']","['578', '']","['10,719', '']","['459', '']","['0', '']","['0', '']","['19,600', '']","['594', '']"
5442,r010,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,9,"['39,304', '']","['0', '']","['138', '']","['822', '']","['0', '']","['7,330', '']","['0', '']","['136', '']","['0', '']","['30,878', '']","['0', '']"
5442,r011,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,10,"['38,530', '']","['447', '']","['174', '']","['1,142', '']","['627', '']","['4,390', '']","['0', '']","['49', '']","['0', '']","['31,701', '']","['0', '']"
5442,r012,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,11,"['34,131', '']","['298', '']","['2,201', '']","['3,842', '']","['174', '']","['17,097', '']","['0', '']","['0', '']","['0', '']","['10,325', '']","['194', '']"
5442,r013,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,12,"['33,824', '']","['824', '']","['1,214', '']","['2,901', '']","['56', '']","['9,008', '']","['0', '']","['87', '']","['0', '']","['19,536', '']","['198', '']"
5442,r014,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,13,"['33,203', '']","['564', '']","['3,032', '']","['6,546', '']","['150', '']","['6,745', '']","['12', '']","['9', '']","['0', '']","['16,123', '']","['22', '']"
5442,r015,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,14,"['33,159', '']","['833', '']","['1,192', '']","['2,619', '']","['219', '']","['13,315', '']","['0', '']","['0', '']","['76', '']","['14,905', '']","['0', '']"
5442,r016,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,15,"['30,822', '']","['214', '']","['1,101', '']","['252', '']","['20', '']","['18,490', '']","['0', '']","['127', '']","['1,861', '']","['8,757', '']","['0', '']"
5442,r017,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,16,"['28,888', '']","['76', '']","['1,870', '']","['3,403', '']","['110', '']","['13,206', '']","['0', '']","['185', '']","['711', '']","['9,327', '']","['0', '']"
5442,r018,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,17,"['28,811', '']","['628', '']","['9', '']","['2,575', '']","['15', '']","['5,302', '']","['0', '']","['241', '']","['0', '']","['19,916', '']","['125', '']"
5442,r019,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,18,"['27,688', '']","['253', '']","['561', '']","['1,787', '']","['0', '']","['6,897', '']","['0', '']","['149', '']","['157', '']","['17,879', '']","['5', '']"
5442,r020,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,19,"['25,970', '']","['573', '']","['2,538', '']","['829', '']","['189', '']","['9,266', '']","['0', '']","['1', '']","['34', '']","['12,540', '']","['0', '']"
5442,r021,All institutions -> U. Utah,All institutions,U. Utah,2,20,"['24,872', '']","['2,172', '']","['7,775', '']","['208', '']","['0', '']","['4,670', '']","['0', '']","['65', '']","['0', '']","['9,982', '']","['0', '']"
5442,r022,All institutions -> Stanford U.,All institutions,Stanford U.,2,21,"['24,507', '']","['276', '']","['1,542', '']","['1,058', '']","['0', '']","['5,836', '']","['0', '']","['0', '']","['0', '']","['15,795', '']","['0', '']"
5442,r023,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,22,"['24,180', '']","['661', '']","['265', '']","['101', '']","['289', '']","['2,984', '']","['0', '']","['0', '']","['0', '']","['19,880', '']","['0', '']"
5442,r024,All institutions -> Cornell U.,All institutions,Cornell U.,2,23,"['23,795', '']","['49', '']","['218', '']","['1,627', '']","['0', '']","['14,412', '']","['0', '']","['0', '']","['0', '']","['7,176', '']","['313', '']"
5442,r025,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,24,"['22,855', '']","['92', '']","['25', '']","['1,378', '']","['0', '']","['13,945', '']","['0', '']","['41', '']","['0', '']","['7,334', '']","['40', '']"
5442,r026,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,25,"['22,672', '']","['858', '']","['81', '']","['3,294', '']","['0', '']","['8,269', '']","['0', '']","['529', '']","['1,599', '']","['8,042', '']","['0', '']"
5442,r027,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,26,"['21,900', '']","['350', '']","['2,222', '']","['378', '']","['542', '']","['11,016', '']","['0', '']","['15', '']","['1,865', '']","['5,512', '']","['0', '']"
5442,r028,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,27,"['21,289', '']","['746', '']","['1,067', '']","['148', '']","['0', '']","['7,626', '']","['0', '']","['0', '']","['0', '']","['11,702', '']","['0', '']"
5442,r029,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,28,"['20,937', '']","['233', '']","['606', '']","['0', '']","['0', '']","['19,621', '']","['0', '']","['0', '']","['0', '']","['468', '']","['9', '']"
5442,r030,All institutions -> Colorado School of Mines,All institutions,Colorado School of Mines,2,29,"['20,441', '']","['121', '']","['1,010', '']","['903', '']","['36', '']","['4,256', '']","['0', '']","['514', '']","['0', '']","['13,565', '']","['36', '']"
5442,r031,All institutions -> Washington State U.,All institutions,Washington State U.,2,30,"['19,553', '']","['256', '']","['1,218', '']","['1,597', '']","['8', '']","['8,540', '']","['0', '']","['0', '']","['0', '']","['7,667', '']","['267', '']"
5442,r032,All institutions -> Princeton U.,All institutions,Princeton U.,2,31,"['19,178', '']","['40', '']","['375', '']","['1,196', '']","['0', '']","['11,169', '']","['0', '']","['0', '']","['0', '']","['6,398', '']","['0', '']"
5442,r033,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,32,"['18,488', '']","['1,421', '']","['811', '']","['1,214', '']","['0', '']","['5,741', '']","['0', '']","['0', '']","['0', '']","['9,301', '']","['0', '']"
5442,r034,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,33,"['18,409', '']","['419', '']","['365', '']","['72', '']","['0', '']","['1,060', '']","['0', '']","['0', '']","['0', '']","['16,046', '']","['447', '']"
5442,r035,All institutions -> U. North Dakota,All institutions,U. North Dakota,2,34,"['18,047', '']","['0', '']","['120', '']","['0', '']","['0', '']","['78', '']","['0', '']","['25', '']","['0', '']","['17,824', '']","['0', '']"
5442,r036,All institutions -> Duke U.,All institutions,Duke U.,2,35,"['17,100', '']","['0', '']","['848', '']","['629', '']","['26', '']","['10,770', '']","['0', '']","['74', '']","['0', '']","['4,740', '']","['13', '']"
5442,r037,All institutions -> U. Florida,All institutions,U. Florida,2,36,"['16,627', '']","['308', '']","['363', '']","['3,278', '']","['0', '']","['5,419', '']","['0', '']","['0', '']","['0', '']","['7,259', '']","['0', '']"
5442,r038,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,37,"['16,407', '']","['0', '']","['367', '']","['1,916', '']","['75', '']","['2,362', '']","['0', '']","['135', '']","['549', '']","['11,003', '']","['0', '']"
5442,r039,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,38,"['16,185', '']","['0', '']","['597', '']","['1,802', '']","['0', '']","['1,067', '']","['0', '']","['0', '']","['0', '']","['12,719', '']","['0', '']"
5442,r040,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,39,"['16,129', '']","['1,349', '']","['0', '']","['43', '']","['0', '']","['4,267', '']","['0', '']","['0', '']","['0', '']","['10,470', '']","['0', '']"
