table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_product_innovation_number_yes,field_product_innovation_number_no,field_product_innovation_percent_yes,field_product_innovation_percent_no
9006,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['4,865,616', '&nbsp;']","['439,096', '&nbsp;']","['4,426,520', '&nbsp;']","['9.0', '&nbsp;']","['91.0', '&nbsp;']"
9006,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9006,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['4,184,567', '&nbsp;']","['363,288', '&nbsp;']","['3,821,279', '&nbsp;']","['8.7', '&nbsp;']","['91.3', '&nbsp;']"
9006,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['513,075', '&nbsp;']","['55,166', '&nbsp;']","['457,909', '&nbsp;']","['10.8', '&nbsp;']","['89.2', '&nbsp;']"
9006,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['100,924', '&nbsp;']","['11,284', '&nbsp;']","['89,640', '&nbsp;']","['11.2', '&nbsp;']","['88.8', '&nbsp;']"
9006,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['36,504', '&nbsp;']","['4,032', '&nbsp;']","['32,472', '&nbsp;']","['11.0', '&nbsp;']","['89.0', '&nbsp;']"
9006,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['7,637', '&nbsp;']","['605', '&nbsp;']","['7,032', '&nbsp;']","['7.9', '&nbsp;']","['92.1', '&nbsp;']"
9006,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9006,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['295,804', '&nbsp;']","['31,854', '&nbsp;']","['263,950', '&nbsp;']","['10.8', '&nbsp;']","['89.2', '&nbsp;']"
9006,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic/not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic/not Hispanic,,3,"['46,822', '&nbsp;']","['4,845', '&nbsp;']","['41,977', '&nbsp;']","['10.3', '&nbsp;']","['89.7', '&nbsp;']"
9006,r011,All companies (race and ethnicity) -> Ethnicity -> Not Hispanic,All companies (race and ethnicity),Ethnicity,Not Hispanic,,3,"['4,490,080', '&nbsp;']","['396,939', '&nbsp;']","['4,093,141', '&nbsp;']","['8.8', '&nbsp;']","['91.2', '&nbsp;']"
9006,r012,All companies (race and ethnicity) -> Minority status,All companies (race and ethnicity),Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9006,r013,All companies (race and ethnicity) -> Minority status -> Minority,All companies (race and ethnicity),Minority status,Minority,,3,"['930,508', '&nbsp;']","['100,219', '&nbsp;']","['830,289', '&nbsp;']","['10.8', '&nbsp;']","['89.2', '&nbsp;']"
9006,r014,"All companies (race and ethnicity) -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies (race and ethnicity),Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['410,750', '&nbsp;']","['44,569', '&nbsp;']","['366,181', '&nbsp;']","['10.9', '&nbsp;']","['89.1', '&nbsp;']"
9006,r015,All companies (race and ethnicity) -> Minority status -> Equally minority/non-minority,All companies (race and ethnicity),Minority status,Equally minority/non-minority,,3,"['82,649', '&nbsp;']","['9,626', '&nbsp;']","['73,023', '&nbsp;']","['11.6', '&nbsp;']","['88.4', '&nbsp;']"
9006,r016,All companies (race and ethnicity) -> Minority status -> Non-minority,All companies (race and ethnicity),Minority status,Non-minority,,3,"['3,819,551', '&nbsp;']","['323,793', '&nbsp;']","['3,495,758', '&nbsp;']","['8.5', '&nbsp;']","['91.5', '&nbsp;']"
9006,r017,All companies (race and ethnicity) -> Unclassifiable,All companies (race and ethnicity),Unclassifiable,,,2,"['32,911', '&nbsp;']","['5,459', '&nbsp;']","['27,452', '&nbsp;']","['16.6', '&nbsp;']","['83.4', '&nbsp;']"
