table_id,row_id,citizenship_ethnicity_race_sex_and_enrollment_status_full_path,citizenship_ethnicity_race_sex_and_enrollment_status_level_1,citizenship_ethnicity_race_sex_and_enrollment_status_level_2,citizenship_ethnicity_race_sex_and_enrollment_status_level_3,citizenship_ethnicity_race_sex_and_enrollment_status_level_4,citizenship_ethnicity_race_sex_and_enrollment_status_level_5,citizenship_ethnicity_race_sex_and_enrollment_status_level_6,citizenship_ethnicity_race_sex_and_enrollment_status_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1143,r001,All enrolled,All enrolled,,,,,,1,2750060,2819779,3070175,3255483,3208874,3147863,3042036,3036855,2975637,2924199,2930179
1143,r002,All enrolled -> U.S. citizen and permanent resident,All enrolled,U.S. citizen and permanent resident,,,,,2,2700533,2764690,3008564,3194059,3145133,3076998,2963807,2950315,2882271,2824592,2832839
1143,r003,All enrolled -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All enrolled,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,3,334255,350173,418567,449381,494451,518812,522280,553609,560954,563349,598295
1143,r004,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino  ,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,,,,3,2366278,2414517,2589997,2744678,2650682,2558186,2441527,2396706,2321317,2261243,2234544
1143,r005,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> American Indian or Alaska Native,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,American Indian or Alaska Native,,,4,28691,29248,30687,32521,29201,27118,24077,23674,21892,20963,20991
1143,r006,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Asian,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Asian,,,4,na,na,na,na,na,159147,156401,162690,168000,169716,172788
1143,r007,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Asian or Pacific Islander<sup>b</sup>,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Asian or Pacific Islander<sup>b</sup>,,,4,157770,159859,178226,175167,166727,na,na,na,na,na,na
1143,r008,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Black or African American,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Black or African American,,,4,363536,387423,423757,465547,461601,459151,431097,423094,400015,380074,375653
1143,r009,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Native Hawaiian or Other Pacific Islander  ,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Native Hawaiian or Other Pacific Islander  ,,,4,na,na,na,na,na,11363,10431,9591,9500,9353,9197
1143,r010,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> White,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,White,,,4,1642761,1655714,1734010,1756722,1718797,1647644,1581031,1548484,1505993,1470140,1453447
1143,r011,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> More than one race<sup>c</sup>,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,More than one race<sup>c</sup>,,,4,na,na,na,na,na,89688,96752,101849,108621,109690,111992
1143,r012,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Other or unknown race or ethnicity,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Other or unknown race or ethnicity,,,4,173520,182273,223317,314721,274356,164075,141738,127324,107296,101307,90476
1143,r013,All enrolled -> Temporary resident ,All enrolled,Temporary resident ,,,,,2,49527,55089,61611,61424,63741,70865,78229,86540,93366,99607,97340
1143,r014,All enrolled -> Female,All enrolled,Female,,,,,2,1502566,1533628,1660955,1755360,1724222,1698823,1633677,1629796,1598224,1567031,1575513
1143,r015,All enrolled -> Female -> U.S. citizen and permanent resident,All enrolled,Female,U.S. citizen and permanent resident,,,,3,1478472,1507000,1631050,1725628,1694172,1665984,1598287,1590313,1556064,1521609,1530518
1143,r016,All enrolled -> Female -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All enrolled,Female,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,4,187767,195813,231419,246818,272325,287292,288331,305390,309352,310744,330681
1143,r017,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino  ,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,,,4,1290705,1311187,1399631,1478810,1421847,1378692,1309956,1284923,1246712,1210865,1199837
1143,r018,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> American Indian or Alaska Native,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,American Indian or Alaska Native,,5,16148,16682,17279,17916,16172,15119,13469,12978,12064,11693,11679
1143,r019,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Asian,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Asian,,5,na,na,na,na,na,81433,79457,83788,86803,87612,89684
1143,r020,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Asian or Pacific Islander<sup>b</sup>,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Asian or Pacific Islander<sup>b</sup>,,5,81998,82715,92515,90341,85764,na,na,na,na,na,na
1143,r021,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Black or African American,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Black or African American,,5,217159,229564,248325,270161,265348,264248,245136,238472,225992,214358,212363
1143,r022,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Native Hawaiian or Other Pacific Islander  ,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Native Hawaiian or Other Pacific Islander  ,,5,na,na,na,na,na,6051,5498,5035,4931,4784,4978
1143,r023,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> White,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,White,,5,878415,880959,919255,926993,906939,875862,837404,820492,799392,779442,771961
1143,r024,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> More than one race<sup>c</sup>,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,More than one race<sup>c</sup>,,5,na,na,na,na,na,50053,53607,56372,60452,60755,61834
1143,r025,All enrolled -> Female -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Other or unknown race or ethnicity,All enrolled,Female,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Other or unknown race or ethnicity,,5,96985,101267,122257,173399,147624,85926,75385,67786,57078,52221,47338
