table_id,row_id,employment_sector_full_path,employment_sector_level_1,employment_sector_level_2,employment_sector_level_3,employment_sector_hierarchy_depth,field_all_employed_scientists_and_engineers,field_highest_degree_in_s_e,field_s_e_occupations,field_s_e_related_occupations,field_non_s_e_occupations
1595,r001,Total (number),Total (number),,,1,27273000,14501000,6769000,8271000,12233000
1595,r002,Total (number) -> Business or industry,Total (number),Business or industry,,2,71.2,73.1,72.2,71.0,70.8
1595,r003,Total (number) -> Business or industry -> For-profit businesses,Total (number),Business or industry,For-profit businesses,3,53.3,59.5,63.8,46.5,52.2
1595,r004,Total (number) -> Business or industry -> Nonprofit organizations,Total (number),Business or industry,Nonprofit organizations,3,11.8,7.5,5.3,20.0,9.9
1595,r005,"Total (number) -> Business or industry -> Self-employed, unincorporated businesses",Total (number),Business or industry,"Self-employed, unincorporated businesses",3,6.1,6.0,3.1,4.5,8.8
1595,r006,Total (number) -> Education,Total (number),Education,,2,18.0,15.4,16.2,21.3,17.2
1595,r007,Total (number) -> Education -> 4-year institutions,Total (number),Education,4-year institutions,3,7.9,8.3,13.0,7.2,5.7
1595,r008,Total (number) -> Education -> 2-year and precollege institutions,Total (number),Education,2-year and precollege institutions,3,10.2,7.2,3.2,14.1,11.5
1595,r009,Total (number) -> Government,Total (number),Government,,2,10.6,11.5,11.6,7.8,12.0
1595,r010,Total (number) -> Government -> Federal,Total (number),Government,Federal,3,4.7,5.2,6.1,3.8,4.6
1595,r011,Total (number) -> Government -> State or local,Total (number),Government,State or local,3,5.9,6.3,5.5,4.0,7.5
