table_id,row_id,age_years_sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,age_years_sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,age_years_sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,age_years_sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,age_years_sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,age_years_sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_employed_full_time,field_employed_part_time,field_not_employed_seeking_employment,field_not_employed_not_seeking_employment,field_not_employed_retireda
1280,r001,75 and younger,75 and younger,,,,1,33516000,22866000,4407000,765000,1914000,3564000
1280,r002,75 and younger -> Female,75 and younger,Female,,,2,16381000,10102000,2900000,392000,1413000,1574000
1280,r003,75 and younger -> Male,75 and younger,Male,,,2,17135000,12764000,1508000,374000,501000,1989000
1280,r004,75 and younger -> Hispanic or Latino<sup>b</sup>,75 and younger,Hispanic or Latino<sup>b</sup>,,,2,2754000,1964000,364000,113000,187000,126000
1280,r005,75 and younger -> Not Hispanic or Latino,75 and younger,Not Hispanic or Latino,,,2,,,,,,
1280,r006,75 and younger -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,Not Hispanic or Latino,American Indian or Alaska Native,,3,100000,65000,14000,S,S,9000
1280,r007,75 and younger -> Not Hispanic or Latino -> Asian,75 and younger,Not Hispanic or Latino,Asian,,3,4308000,3083000,463000,127000,433000,202000
1280,r008,75 and younger -> Not Hispanic or Latino -> Black or African American,75 and younger,Not Hispanic or Latino,Black or African American,,3,2378000,1772000,236000,91000,97000,182000
1280,r009,75 and younger -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,3,76000,63000,3000,S,3000,3000
1280,r010,75 and younger -> Not Hispanic or Latino -> White,75 and younger,Not Hispanic or Latino,White,,3,23324000,15512000,3239000,406000,1164000,3004000
