table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_hierarchy_depth,field_a_big_problem,field_a_moderate_problem,field_a_small_problem,field_not_a_problem
10536,r001,"All adults (<i>n</i> = 5,134)","All adults (<i>n</i> = 5,134)",,,1,0.9,1.0,1.0,1.0
10536,r002,"All adults (<i>n</i> = 5,134) -> Sex","All adults (<i>n</i> = 5,134)",Sex,,2,,,,
10536,r003,"All adults (<i>n</i> = 5,134) -> Sex -> Male (<i>n</i> = 2,282)","All adults (<i>n</i> = 5,134)",Sex,"Male (<i>n</i> = 2,282)",3,1.3,1.5,1.5,1.7
10536,r004,"All adults (<i>n</i> = 5,134) -> Sex -> Female (<i>n</i> = 2,810)","All adults (<i>n</i> = 5,134)",Sex,"Female (<i>n</i> = 2,810)",3,1.2,1.4,1.2,1.2
10536,r005,"All adults (<i>n</i> = 5,134) -> Race or ethnicity","All adults (<i>n</i> = 5,134)",Race or ethnicity,,2,,,,
10536,r006,"All adults (<i>n</i> = 5,134) -> Race or ethnicity -> White (<i>n</i> = 3,595)","All adults (<i>n</i> = 5,134)",Race or ethnicity,"White (<i>n</i> = 3,595)",3,0.9,1.0,1.2,1.2
10536,r007,"All adults (<i>n</i> = 5,134) -> Race or ethnicity -> Black (<i>n</i> = 403)","All adults (<i>n</i> = 5,134)",Race or ethnicity,Black (<i>n</i> = 403),3,3.4,3.6,2.6,2.7
10536,r008,"All adults (<i>n</i> = 5,134) -> Race or ethnicity -> Hispanic (<i>n</i> = 722)","All adults (<i>n</i> = 5,134)",Race or ethnicity,Hispanic (<i>n</i> = 722),3,2.9,3.4,3.0,2.6
10536,r009,"All adults (<i>n</i> = 5,134) -> Family income<sup>a</sup>","All adults (<i>n</i> = 5,134)",Family income<sup>a</sup>,,2,,,,
10536,r010,"All adults (<i>n</i> = 5,134) -> Family income<sup>a</sup> -> Upper income (<i>n</i> = 1,237)","All adults (<i>n</i> = 5,134)",Family income<sup>a</sup>,"Upper income (<i>n</i> = 1,237)",3,0.9,1.3,1.9,2.0
10536,r011,"All adults (<i>n</i> = 5,134) -> Family income<sup>a</sup> -> Middle income (<i>n</i> = 2,538)","All adults (<i>n</i> = 5,134)",Family income<sup>a</sup>,"Middle income (<i>n</i> = 2,538)",3,1.2,1.3,1.3,1.5
10536,r012,"All adults (<i>n</i> = 5,134) -> Family income<sup>a</sup> -> Lower income (<i>n</i> = 1,089)","All adults (<i>n</i> = 5,134)",Family income<sup>a</sup>,"Lower income (<i>n</i> = 1,089)",3,2.1,2.3,2.0,1.8
10536,r013,"All adults (<i>n</i> = 5,134) -> Education","All adults (<i>n</i> = 5,134)",Education,,2,,,,
10536,r014,"All adults (<i>n</i> = 5,134) -> Education -> Postgraduate (<i>n</i> = 1,155)","All adults (<i>n</i> = 5,134)",Education,"Postgraduate (<i>n</i> = 1,155)",3,1.4,1.6,1.6,1.9
10536,r015,"All adults (<i>n</i> = 5,134) -> Education -> College graduate (<i>n</i> = 1,432)","All adults (<i>n</i> = 5,134)",Education,"College graduate (<i>n</i> = 1,432)",3,1.3,1.3,1.5,1.8
10536,r016,"All adults (<i>n</i> = 5,134) -> Education -> Some college (<i>n</i> = 1,636)","All adults (<i>n</i> = 5,134)",Education,"Some college (<i>n</i> = 1,636)",3,1.6,1.7,1.8,1.8
10536,r017,"All adults (<i>n</i> = 5,134) -> Education -> High school or less (<i>n</i> = 893)","All adults (<i>n</i> = 5,134)",Education,High school or less (<i>n</i> = 893),3,1.8,2.1,1.9,2.1
