table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_doe_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
12709,r001,All institutions,All institutions,,1,-,"['2,671,326', '']","['71,235', '']","['123,855', '']","['236,841', '']","['10,810', '']","['977,109', '']","['744', '']","['17,502', '']","['28,646', '']","['1,190,092', '']","['14,492', '']"
12709,r002,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,1,"['156,742', '']","['73', '']","['161', '']","['19,101', '']","['377', '']","['129,934', '']","['0', '']","['112', '']","['0', '']","['6,923', '']","['61', '']"
12709,r003,All institutions -> U. Rochester,All institutions,U. Rochester,2,2,"['106,915', '']","['10', '']","['0', '']","['197', '']","['0', '']","['104,370', '']","['0', '']","['0', '']","['0', '']","['2,338', '']","['0', '']"
12709,r004,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,3,"['95,415', '']","['3,736', '']","['7,057', '']","['23,653', '']","['290', '']","['11,343', '']","['554', '']","['673', '']","['29', '']","['47,510', '']","['570', '']"
12709,r005,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,4,"['90,201', '']","['1,478', '']","['2,257', '']","['28,308', '']","['18', '']","['22,713', '']","['0', '']","['0', '']","['229', '']","['35,198', '']","['0', '']"
12709,r006,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,5,"['89,574', '']","['1,785', '']","['1,164', '']","['295', '']","['443', '']","['44,218', '']","['0', '']","['627', '']","['718', '']","['40,096', '']","['228', '']"
12709,r007,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,6,"['59,115', '']","['1,820', '']","['10,004', '']","['4,108', '']","['1,194', '']","['12,852', '']","['3', '']","['0', '']","['0', '']","['28,664', '']","['470', '']"
12709,r008,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,7,"['57,048', '']","['3,723', '']","['79', '']","['3,730', '']","['174', '']","['9,550', '']","['0', '']","['0', '']","['3,661', '']","['34,639', '']","['1,492', '']"
12709,r009,All institutions -> U. Utah,All institutions,U. Utah,2,8,"['54,890', '']","['0', '']","['1,739', '']","['149', '']","['0', '']","['4,786', '']","['0', '']","['0', '']","['0', '']","['48,215', '']","['1', '']"
12709,r010,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,9,"['51,123', '']","['377', '']","['2,110', '']","['6,677', '']","['297', '']","['15,632', '']","['0', '']","['390', '']","['3,435', '']","['22,188', '']","['17', '']"
