table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
4691,r001,All doctorate recipients (number)<sup>c</sup>,All doctorate recipients (number)<sup>c</sup>,,,,1,55283,12561,6247,4392,8946,10476,4716,4939,3006
4691,r002,All doctorate recipients (number)<sup>c</sup> -> Sex (%),All doctorate recipients (number)<sup>c</sup>,Sex (%),,,2,,,,,,,,,
4691,r003,All doctorate recipients (number)<sup>c</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>c</sup>,Sex (%),Male,,3,54.1,44.2,66.9,75.1,40.1,75.2,30.9,50.9,47.1
4691,r004,All doctorate recipients (number)<sup>c</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>c</sup>,Sex (%),Female,,3,45.9,55.8,33.1,24.9,59.9,24.8,69.1,49.1,52.9
4691,r005,All doctorate recipients (number)<sup>c</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Sex (%),Unknown,,3,0.05,0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.0
4691,r006,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%),All doctorate recipients (number)<sup>c</sup>,Citizenship (%),,,2,,,,,,,,,
4691,r007,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>c</sup>,Citizenship (%),U.S. citizen or permanent resident,,3,62.4,69.3,59.9,39.5,73.8,39.7,82.6,79.3,57.8
4691,r008,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>c</sup>,Citizenship (%),Temporary visa holder,,3,33.4,27.3,37.0,56.4,20.5,56.8,14.0,15.0,35.8
4691,r009,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Citizenship (%),Unknown,,3,4.2,3.4,3.1,4.1,5.7,3.5,3.4,5.7,6.4
4691,r010,All doctorate recipients (number)<sup>c</sup> -> Marital status (%),All doctorate recipients (number)<sup>c</sup>,Marital status (%),,,2,,,,,,,,,
4691,r011,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Never married,,3,36.9,37.8,47.4,43.9,31.9,45.3,19.4,29.2,26.0
4691,r012,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Married,,3,41.3,41.5,32.9,37.9,40.7,38.3,56.1,44.2,46.9
