table_id,row_id,_b_survey_population_and_type_of_institution_b_full_path,_b_survey_population_and_type_of_institution_b_level_1,_b_survey_population_and_type_of_institution_b_level_2,_b_survey_population_and_type_of_institution_b_level_3,_b_survey_population_and_type_of_institution_b_hierarchy_depth,field_number_in_survey_universe,field_complete_responses,field_partial_responses,field_total_responses,field_response_rate_
10201,r001,All respondents,All respondents,,,1,900,542,322,864,96.0
10201,r002,All respondents -> Standard form institutions,All respondents,Standard form institutions,,2,637,306,311,617,96.9
10201,r003,All respondents -> Standard form institutions -> Doctorate,All respondents,Standard form institutions,Doctorate,3,473,217,253,470,99.4
10201,r004,All respondents -> Standard form institutions -> Professional,All respondents,Standard form institutions,Professional,3,37,19,14,33,89.2
10201,r005,All respondents -> Standard form institutions -> Master's,All respondents,Standard form institutions,Master's,3,85,45,29,74,87.1
10201,r006,All respondents -> Standard form institutions -> Bachelor's,All respondents,Standard form institutions,Bachelor's,3,42,25,15,40,95.2
10201,r007,All respondents -> Standard form institutions -> Public,All respondents,Standard form institutions,Public,3,410,187,213,400,97.6
10201,r008,All respondents -> Standard form institutions -> Private,All respondents,Standard form institutions,Private,3,227,119,98,217,95.6
10201,r009,All respondents -> Short form institutions,All respondents,Short form institutions,,2,263,236,11,247,93.9
10201,r010,All respondents -> Short form institutions -> Doctorate,All respondents,Short form institutions,Doctorate,3,83,74,3,77,92.8
10201,r011,All respondents -> Short form institutions -> Professional,All respondents,Short form institutions,Professional,3,41,36,4,40,97.6
10201,r012,All respondents -> Short form institutions -> Master's,All respondents,Short form institutions,Master's,3,97,88,3,91,93.8
10201,r013,All respondents -> Short form institutions -> Bachelor's,All respondents,Short form institutions,Bachelor's,3,42,38,1,39,92.9
10201,r014,All respondents -> Short form institutions -> Public,All respondents,Short form institutions,Public,3,111,104,3,107,96.4
10201,r015,All respondents -> Short form institutions -> Private,All respondents,Short form institutions,Private,3,152,132,8,140,92.1
