table_id,row_id,_b_field_and_demographic_characteristic_b_full_path,_b_field_and_demographic_characteristic_b_level_1,_b_field_and_demographic_characteristic_b_level_2,_b_field_and_demographic_characteristic_b_level_3,_b_field_and_demographic_characteristic_b_level_4,_b_field_and_demographic_characteristic_b_level_5,_b_field_and_demographic_characteristic_b_hierarchy_depth,field_median_age_at_doctorate_years_,field_all_ages,field_25_and_under,field_26_30,field_31_35,field_36_40,field_41_45,field_over_45
9585,r001,Doctorate recipients reporting birth year,Doctorate recipients reporting birth year,,,,,1,31.4,100.0,0.7,45.1,31.1,11.5,5.0,6.5
9585,r002,Doctorate recipients reporting birth year -> Science and engineering ,Doctorate recipients reporting birth year,Science and engineering ,,,,2,30.8,100.0,0.8,51.8,30.7,9.2,3.5,3.9
9585,r003,Doctorate recipients reporting birth year -> Science and engineering  -> Agricultural sciences and natural resources,Doctorate recipients reporting birth year,Science and engineering ,Agricultural sciences and natural resources,,,3,31.7,100.0,1.1,40.7,35.5,12.4,5.5,4.8
9585,r004,Doctorate recipients reporting birth year -> Science and engineering  -> Biological and biomedical sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Biological and biomedical sciences  ,,,3,30.4,100.0,0.7,56.3,32.0,7.3,2.4,1.4
9585,r005,Doctorate recipients reporting birth year -> Science and engineering  -> Computer and information sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Computer and information sciences  ,,,3,31.0,100.0,1.0,47.9,32.9,10.5,3.7,3.9
9585,r006,Doctorate recipients reporting birth year -> Science and engineering  -> Engineering  ,Doctorate recipients reporting birth year,Science and engineering ,Engineering  ,,,3,30.2,100.0,1.2,57.8,30.1,6.9,2.2,2.0
9585,r007,"Doctorate recipients reporting birth year -> Science and engineering  -> Geosciences, atmospheric, and ocean sciences  ",Doctorate recipients reporting birth year,Science and engineering ,"Geosciences, atmospheric, and ocean sciences  ",,,3,30.4,100.0,0.5,56.6,28.5,9.3,3.2,1.9
9585,r008,Doctorate recipients reporting birth year -> Science and engineering  -> Health sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Health sciences  ,,,3,34.5,100.0,0.7,27.0,29.8,15.3,9.4,17.8
9585,r009,Doctorate recipients reporting birth year -> Science and engineering  -> Mathematics and statistics  ,Doctorate recipients reporting birth year,Science and engineering ,Mathematics and statistics  ,,,3,29.4,100.0,1.9,63.9,24.4,6.7,1.9,1.2
9585,r010,Doctorate recipients reporting birth year -> Science and engineering  -> Multidisciplinary/ interdisciplinary sciences,Doctorate recipients reporting birth year,Science and engineering ,Multidisciplinary/ interdisciplinary sciences,,,3,31.1,100.0,1.1,47.2,32.8,11.2,3.4,4.4
9585,r011,Doctorate recipients reporting birth year -> Science and engineering  -> Physical sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Physical sciences  ,,,3,29.2,100.0,0.9,70.3,21.8,5.2,1.3,0.6
9585,r012,Doctorate recipients reporting birth year -> Science and engineering  -> Psychology  ,Doctorate recipients reporting birth year,Science and engineering ,Psychology  ,,,3,31.3,100.0,0.4,45.9,31.5,10.2,4.7,7.2
