table_id,row_id,_b_citizenship_ethnicity_and_race_b_full_path,_b_citizenship_ethnicity_and_race_b_level_1,_b_citizenship_ethnicity_and_race_b_level_2,_b_citizenship_ethnicity_and_race_b_level_3,_b_citizenship_ethnicity_and_race_b_level_4,_b_citizenship_ethnicity_and_race_b_level_5,_b_citizenship_ethnicity_and_race_b_hierarchy_depth,field_total,field_male,field_female
8272,r001,Imputation rate (%),Imputation rate (%),,,,,1,,,
8272,r002,Imputation rate (%) -> All postdoctoral appointees,Imputation rate (%),All postdoctoral appointees,,,,2,3.1,4.7,4.7
8272,r003,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup>,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,,,3,,,
8272,r004,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,7.9,7.4,8.9
8272,r005,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,
8272,r006,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,13.8,5.6,20.5
8272,r007,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,8.8,10.9,9.0
8272,r008,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,6.6,6.7,7.2
8272,r009,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,12.5,5.9,17.4
8272,r010,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,6.8,6.8,7.8
8272,r011,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,6.4,12.1,4.8
8272,r012,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,18.3,18.1,19.1
8272,r013,Imputation rate (%) -> Temporary visa holders,Imputation rate (%),Temporary visa holders,,,,2,6.1,6.3,6.8
8272,r014,Number imputed<sup>b</sup>,Number imputed<sup>b</sup>,,,,,1,,,
8272,r015,Number imputed<sup>b</sup> -> All postdoctoral appointees,Number imputed<sup>b</sup>,All postdoctoral appointees,,,,2,1947,1725,1251
