table_id,row_id,_b_type_of_cost_b_full_path,_b_type_of_cost_b_level_1,_b_type_of_cost_b_level_2,_b_type_of_cost_b_level_3,_b_type_of_cost_b_level_4,_b_type_of_cost_b_hierarchy_depth,field_all_r_d_expenditures,field_imputed_amount,field_imputed_amount_as_of_total
10189,r001,All costs,All costs,,,,1,97680528,77556,0.1
10189,r002,All costs -> Direct costs,All costs,Direct costs,,,2,75399863,2846301,3.8
10189,r003,"All costs -> Direct costs -> Salaries, wages, and fringe benefits",All costs,Direct costs,"Salaries, wages, and fringe benefits",,3,43076988,388888,0.9
10189,r004,All costs -> Direct costs -> Software purchases,All costs,Direct costs,Software purchases,,3,192819,3954,2.1
10189,r005,All costs -> Direct costs -> Software purchases -> Noncapitalized,All costs,Direct costs,Software purchases,Noncapitalized,4,178059,3695,2.1
10189,r006,All costs -> Direct costs -> Software purchases -> Capitalized,All costs,Direct costs,Software purchases,Capitalized,4,14760,259,1.8
10189,r007,All costs -> Direct costs -> Capitalized equipment,All costs,Direct costs,Capitalized equipment,,3,2700652,9844,0.4
10189,r008,All costs -> Direct costs -> Passed through to subrecipients,All costs,Direct costs,Passed through to subrecipients,,3,8521194,15596,0.2
10189,r009,All costs -> Direct costs -> Other direct costs,All costs,Direct costs,Other direct costs,,3,20908210,584840,2.8
10189,r010,All costs -> Indirect costs,All costs,Indirect costs,,,2,22280665,136454,0.6
