table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_medical_school_r_d_expenditures
10164,r001,Alabama,Alabama,,,1,"['', '']","['', '']"
10164,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']"
10164,r003,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['713,480', '']","['531,426', '']"
10164,r004,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['43,491', '']","['19,737', '']"
10164,r005,Arizona,Arizona,,,1,"['', '']","['', '']"
10164,r006,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']"
10164,r007,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['824,340', '']","['267,041', '']"
10164,r008,Arkansas,Arkansas,,,1,"['', '']","['', '']"
10164,r009,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']"
10164,r010,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['205,493', '']","['205,493', '']"
10164,r011,California,California,,,1,"['', '']","['', '']"
10164,r012,California -> Public,California,Public,,2,"['', '']","['', '']"
10164,r013,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['883,807', '']","['235,966', '']"
10164,r014,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['534,947', '']","['179,108', '']"
10164,r015,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['1,536,197', '']","['989,591', '']"
10164,r016,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['199,135', '']","['17,831', '']"
10164,r017,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['1,533,357', '']","['698,845', '']"
10164,r018,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['1,805,950', '']","['1,578,364', '']"
10164,r019,California -> Private,California,Private,,2,"['', '']","['', '']"
10164,r020,California -> Private -> Charles R. Drew U. of Medicine and Science<sup>a</sup>,California,Private,Charles R. Drew U. of Medicine and Science<sup>a</sup>,3,"['14,581', '']","['1,872', '']"
10164,r021,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,3,"['15,517', '']","['11,216', '']"
10164,r022,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['1,384,555', '']","['964,772', '']"
10164,r023,"California -> Private -> Touro U., California",California,Private,"Touro U., California",3,"['2,561', '']","['1,919', '']"
10164,r024,California -> Private -> U. Southern California,California,Private,U. Southern California,3,"['1,039,905', '']","['504,139', '']"
10164,r025,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,3,"['9,029', '']","['1,377', '']"
10164,r026,Colorado,Colorado,,,1,"['', '']","['', '']"
10164,r027,Colorado -> Public,Colorado,Public,,2,"['', '']","['', '']"
