table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_u_s_citizen_and_permanent_resident_doctorate_recipients,field_doctorate_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
9606,r001,U.S. citizens and permanent residents reporting postgraduation plans,U.S. citizens and permanent residents reporting postgraduation plans,,,,1,35311,24251,23491,8541,5556,5660,3734,753,7
9606,r002,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,,,2,26801,18645,18067,7851,2831,5128,2257,573,5
9606,r003,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Agricultural sciences and natural resources,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Agricultural sciences and natural resources,,3,770,515,500,192,93,136,79,15,0
9606,r004,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",4,458,308,299,90,,118,,9,0
9606,r005,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,4,312,207,201,102,,18,,6,0
9606,r006,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Biological and biomedical sciences,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Biological and biomedical sciences,,3,6745,4495,4379,2545,388,1151,295,115,1
9606,r007,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",4,1022,676,656,376,45,212,23,20,0
9606,r008,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",4,364,266,260,91,35,114,20,6,0
9606,r009,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,4,506,317,,180,,99,12,,0
9606,r010,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",4,890,639,612,383,68,56,105,26,1
9606,r011,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Biological and biomedical sciences -> Genetics and genomics,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Biological and biomedical sciences,Genetics and genomics,4,335,213,,127,,52,15,,0
9606,r012,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,4,887,580,569,360,39,153,17,11,0
9606,r013,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,4,924,615,601,420,,124,,14,0
9606,r014,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,4,285,201,196,89,,93,,5,0
9606,r015,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Biological and biomedical sciences -> Physiology, oncology, and cancer biology",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Biological and biomedical sciences,"Physiology, oncology, and cancer biology",4,545,378,370,202,55,94,19,8,0
9606,r016,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",4,987,610,595,317,69,154,55,15,0
9606,r017,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Computer and information sciences,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Computer and information sciences,,3,774,585,563,108,109,280,66,22,0
9606,r018,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Computer and information sciences -> Computer science,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Computer and information sciences,Computer science,4,539,411,,73,74,209,,,0
9606,r019,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Computer and information sciences,"Computer and information sciences, other",4,235,174,,35,35,71,,,0
9606,r020,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Engineering,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Engineering,,3,4436,3018,2956,853,281,1426,396,61,1
9606,r021,"U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",4,842,517,509,217,39,229,24,8,0
9606,r022,U.S. citizens and permanent residents reporting postgraduation plans -> Science and engineering -> Engineering -> Chemical and petroleum engineering,U.S. citizens and permanent residents reporting postgraduation plans,Science and engineering,Engineering,Chemical and petroleum engineering,4,569,384,371,114,18,219,20,13,0
