table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2020,field_2021,field_2022,field_2023_all_physical_sciences,field_2023_astronomy_and_astrophysics,field_2023_chemistry,field_2023_materials_science,field_2023_physics,field_2023_physical_sciences_nec
12695,r001,All institutions,All institutions,,1,-,"['5,671,891', '']","['5,735,955', '']","['6,167,466', '']","['6,944,769', '']","['967,125', '']","['2,301,102', '']","['319,102', '']","['2,966,923', '']","['390,517', '']"
12695,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['390,245', 'i']","['338,454', 'i']","['317,282', 'i']","['332,727', 'i']","['22,326', 'i']","['26,888', 'i']","['3,462', 'i']","['257,687', 'i']","['22,364', 'i']"
12695,r003,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,2,"['217,581', '']","['212,265', 'i']","['227,465', '']","['235,054', 'i']","['60,682', 'i']","['36,142', 'i']","['0', 'i']","['111,025', 'i']","['27,205', 'i']"
12695,r004,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,3,"['141,434', '']","['156,896', '']","['196,281', '']","['234,242', '']","['154,863', '']","['55,719', '']","['198', '']","['11,388', '']","['12,074', '']"
12695,r005,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,4,"['154,318', '']","['167,520', '']","['183,514', '']","['207,802', '']","['66', '']","['19,687', '']","['0', '']","['188,049', '']","['0', '']"
12695,r006,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,5,"['153,044', '']","['170,494', '']","['174,813', '']","['180,988', '']","['36,661', '']","['35,918', '']","['6,050', '']","['70,662', '']","['31,697', '']"
12695,r007,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,6,"['115,340', '']","['120,677', '']","['143,342', '']","['179,084', '']","['75,402', '']","['13,610', '']","['0', '']","['82,413', '']","['7,659', '']"
12695,r008,All institutions -> U. Arizona,All institutions,U. Arizona,2,7,"['149,138', '']","['140,655', '']","['142,519', '']","['173,256', '']","['146,818', '']","['13,846', '']","['4,100', '']","['8,431', '']","['61', '']"
12695,r009,All institutions -> Cornell U.,All institutions,Cornell U.,2,8,"['121,218', '']","['120,151', '']","['120,697', '']","['136,751', '']","['13,639', '']","['32,543', '']","['4,087', '']","['55,446', '']","['31,036', '']"
12695,r010,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,9,"['105,718', '']","['101,322', '']","['110,607', '']","['135,422', '']","['48,426', '']","['10,334', '']","['7,911', '']","['56,336', '']","['12,415', '']"
12695,r011,All institutions -> Harvard U.,All institutions,Harvard U.,2,10,"['100,654', '']","['109,606', '']","['118,530', '']","['134,733', '']","['14,369', '']","['34,728', '']","['3,996', '']","['70,188', '']","['11,452', '']"
12695,r012,All institutions -> U. Rochester,All institutions,U. Rochester,2,11,"['101,004', '']","['99,556', '']","['112,275', '']","['124,977', '']","['0', '']","['7,859', '']","['0', '']","['117,118', '']","['0', '']"
12695,r013,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,12,"['81,380', '']","['85,250', '']","['93,232', '']","['123,113', '']","['26,910', '']","['24,211', '']","['42,219', '']","['28,669', '']","['1,104', '']"
12695,r014,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,13,"['83,687', '']","['87,587', '']","['97,161', '']","['113,636', '']","['6,804', '']","['39,292', '']","['0', '']","['41,543', '']","['25,997', '']"
12695,r015,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,14,"['94,201', '']","['89,035', '']","['73,580', '']","['111,514', '']","['12,462', '']","['18,226', '']","['52,509', '']","['28,317', '']","['0', '']"
12695,r016,All institutions -> Princeton U.,All institutions,Princeton U.,2,15,"['94,815', '']","['99,326', '']","['101,461', '']","['109,961', '']","['36,251', '']","['32,016', '']","['7,240', '']","['33,192', '']","['1,262', '']"
12695,r017,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,16,"['94,124', '']","['86,893', '']","['97,804', '']","['105,927', '']","['15,418', '']","['39,537', '']","['0', '']","['33,763', '']","['17,209', '']"
12695,r018,All institutions -> Stanford U.,All institutions,Stanford U.,2,17,"['94,954', '']","['98,672', '']","['101,529', '']","['103,816', '']","['4,028', '']","['31,848', '']","['15,354', '']","['49,870', '']","['2,716', '']"
12695,r019,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,18,"['78,168', '']","['83,618', '']","['90,194', '']","['97,816', '']","['7,498', '']","['42,247', '']","['19,933', '']","['22,886', '']","['5,252', '']"
12695,r020,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,19,"['72,360', '']","['78,698', '']","['77,419', '']","['84,748', '']","['6,548', '']","['34,685', '']","['0', '']","['43,505', '']","['10', '']"
12695,r021,All institutions -> Florida State U.,All institutions,Florida State U.,2,20,"['68,454', '']","['63,481', '']","['65,661', '']","['78,948', '']","['317', '']","['22,804', '']","['4,349', '']","['51,460', '']","['18', '']"
12695,r022,All institutions -> U. Chicago,All institutions,U. Chicago,2,21,"['51,122', '']","['55,032', '']","['70,483', '']","['78,200', '']","['15,707', '']","['36,407', '']","['5,521', '']","['18,877', '']","['1,688', '']"
12695,r023,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,22,"['58,157', '']","['59,246', '']","['67,341', '']","['72,101', '']","['1,610', '']","['26,793', '']","['17,580', '']","['26,118', '']","['0', '']"
12695,r024,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,23,"['60,824', '']","['66,041', '']","['65,018', '']","['70,259', '']","['6,922', '']","['35,089', '']","['0', '']","['28,248', '']","['0', '']"
12695,r025,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,24,"['60,477', '']","['58,664', '']","['62,596', '']","['69,424', '']","['9,265', '']","['29,048', '']","['2,113', '']","['24,614', '']","['4,384', '']"
12695,r026,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,25,"['58,534', '']","['54,435', '']","['72,934', '']","['68,503', '']","['2,454', '']","['10,043', '']","['13,679', '']","['32,081', '']","['10,246', '']"
12695,r027,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,26,"['69,662', '']","['69,817', '']","['71,611', '']","['67,648', '']","['0', '']","['66,457', '']","['0', '']","['1,191', '']","['0', '']"
12695,r028,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,27,"['54,574', '']","['56,029', '']","['56,540', '']","['65,248', '']","['3,433', '']","['27,800', '']","['7,769', '']","['23,388', '']","['2,858', '']"
12695,r029,All institutions -> U. Iowa,All institutions,U. Iowa,2,28,"['23,226', '']","['32,013', '']","['55,128', '']","['63,779', '']","['1,154', '']","['6,051', '']","['0', '']","['56,574', '']","['0', '']"
12695,r030,All institutions -> Yale U.,All institutions,Yale U.,2,29,"['56,046', '']","['56,847', '']","['57,627', '']","['63,036', '']","['6,105', '']","['28,905', '']","['0', '']","['28,026', '']","['0', '']"
12695,r031,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,30,"['54,697', '']","['56,624', '']","['55,159', '']","['61,410', '']","['0', '']","['25,424', '']","['0', '']","['33,192', '']","['2,794', '']"
12695,r032,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,31,"['42,370', '']","['42,663', '']","['49,938', '']","['60,623', '']","['0', '']","['36,491', '']","['0', '']","['24,132', '']","['0', '']"
12695,r033,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,32,"['44,855', '']","['47,332', '']","['47,516', '']","['59,388', '']","['0', '']","['34,516', '']","['0', '']","['24,872', '']","['0', '']"
12695,r034,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,33,"['25,619', '']","['26,742', '']","['27,777', '']","['59,230', '']","['0', '']","['14,799', '']","['0', '']","['14,574', '']","['29,857', '']"
12695,r035,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,34,"['9,173', '']","['8,722', '']","['9,469', '']","['57,534', '']","['0', '']","['6,362', '']","['0', '']","['51,172', '']","['0', '']"
12695,r036,All institutions -> U. Delaware,All institutions,U. Delaware,2,35,"['25,192', '']","['26,015', '']","['50,077', '']","['56,483', '']","['3,204', '']","['19,940', '']","['20,279', '']","['13,060', '']","['0', '']"
12695,r037,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,36,"['37,384', '']","['46,386', '']","['52,767', '']","['52,418', '']","['11,618', '']","['19,577', '']","['2,607', '']","['18,616', '']","['0', '']"
12695,r038,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,37,"['39,979', '']","['38,809', '']","['49,368', '']","['51,933', '']","['1,552', '']","['30,227', '']","['0', '']","['11,851', '']","['8,303', '']"
12695,r039,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,38,"['41,224', '']","['43,101', '']","['45,541', '']","['49,245', '']","['2,189', '']","['15,110', '']","['0', '']","['31,946', '']","['0', '']"
12695,r040,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,39,"['43,946', '']","['41,812', '']","['42,715', '']","['47,610', '']","['2,656', '']","['21,704', '']","['0', '']","['23,250', '']","['0', '']"
12695,r041,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,40,"['34,493', '']","['37,144', '']","['39,361', '']","['45,916', '']","['0', '']","['5,554', '']","['0', '']","['40,024', '']","['338', '']"
12695,r042,All institutions -> U. Florida,All institutions,U. Florida,2,41,"['25,532', '']","['28,005', '']","['39,928', '']","['43,930', '']","['2,878', '']","['26,640', '']","['0', '']","['14,410', '']","['2', '']"
12695,r043,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,42,"['40,964', '']","['38,794', '']","['40,171', '']","['43,790', '']","['0', '']","['24,009', '']","['0', '']","['19,630', '']","['151', '']"
12695,r044,All institutions -> Rice U.,All institutions,Rice U.,2,43,"['33,656', '']","['33,015', '']","['31,638', '']","['43,704', '']","['1,129', '']","['20,909', '']","['1,894', '']","['19,681', '']","['91', '']"
12695,r045,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,44,"['36,262', '']","['35,606', '']","['37,808', '']","['43,696', '']","['20,609', '']","['14,697', '']","['0', '']","['8,099', '']","['291', '']"
12695,r046,All institutions -> Boston U.,All institutions,Boston U.,2,45,"['30,909', '']","['35,094', '']","['38,445', '']","['42,374', '']","['3,238', '']","['21,277', '']","['0', '']","['17,859', '']","['0', '']"
12695,r047,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,46,"['57,083', '']","['40,010', '']","['47,143', '']","['39,570', '']","['4,519', '']","['9,661', '']","['2,675', '']","['22,715', '']","['0', '']"
12695,r048,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,47,"['34,215', '']","['33,914', '']","['33,858', '']","['39,186', '']","['0', '']","['24,325', '']","['0', '']","['14,861', '']","['0', '']"
12695,r049,"All institutions -> U. Nebraska, Lincoln and Medical Center<sup>c</sup>",All institutions,"U. Nebraska, Lincoln and Medical Center<sup>c</sup>",2,48,"['na', '']","['na', '']","['na', '']","['37,541', '']","['0', '']","['12,286', '']","['267', '']","['24,988', '']","['0', '']"
12695,r050,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,49,"['22,366', '']","['23,438', '']","['30,594', '']","['36,946', '']","['0', '']","['15,050', '']","['0', '']","['20,617', '']","['1,279', '']"
12695,r051,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,50,"['26,495', '']","['27,906', '']","['35,319', '']","['36,471', '']","['0', '']","['15,108', '']","['0', '']","['10,963', '']","['10,400', '']"
12695,r052,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,51,"['20,709', '']","['24,279', '']","['27,207', '']","['33,512', '']","['0', '']","['13,625', '']","['0', '']","['19,136', '']","['751', '']"
12695,r053,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,52,"['27,652', '']","['27,919', '']","['30,591', '']","['33,092', '']","['4,521', '']","['17,599', '']","['0', '']","['10,972', '']","['0', '']"
12695,r054,All institutions -> Catholic U. of America,All institutions,Catholic U. of America,2,53,"['17,669', '']","['19,708', '']","['23,353', '']","['32,191', '']","['0', '']","['3', '']","['0', '']","['27,944', '']","['4,244', '']"
12695,r055,All institutions -> Florida International U.,All institutions,Florida International U.,2,54,"['27,354', '']","['27,997', '']","['33,613', '']","['31,704', '']","['0', '']","['25,467', '']","['0', '']","['4,058', '']","['2,179', '']"
12695,r056,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,55,"['27,216', '']","['26,696', '']","['30,440', '']","['31,219', '']","['0', '']","['15,985', '']","['0', '']","['15,234', '']","['0', '']"
