table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
8014,r001,United States,United States,,,,1,"['89,723,447', '']","['49,143,460', '']","['4,736,015', '']","['22,448,362', '']","['5,115,480', '']","['5,590,273', '']","['2,689,857', '']"
8014,r002,United States -> Public,United States,Public,,,2,"['58,667,378', '']","['30,103,415', '']","['4,355,632', '']","['16,044,594', '']","['3,083,531', '']","['3,160,741', '']","['1,919,465', '']"
8014,r003,United States -> Private,United States,Private,,,2,"['31,056,069', '']","['19,040,045', '']","['380,383', '']","['6,403,768', '']","['2,031,949', '']","['2,429,532', '']","['770,392', '']"
8014,r004,United States -> Alabama,United States,Alabama,,,2,"['1,272,489', '']","['734,518', '']","['63,697', '']","['351,639', '']","['75,518', '']","['35,577', '']","['11,540', '']"
8014,r005,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['1,251,134', '']","['719,094', '']","['61,021', '']","['348,915', '']","['75,518', '']","['35,577', '']","['11,009', '']"
8014,r006,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['9,065', 'i']","['5,967', 'i']","['2,534', 'i']","['447', 'i']","['117', 'i']","['0', 'i']","['0', 'i']"
8014,r007,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['2,631', '']","['2,338', '']","['0', '']","['0', '']","['287', '']","['6', '']","['0', '']"
8014,r008,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['266,374', '']","['91,157', '']","['28,351', '']","['130,767', '']","['6,492', '']","['1,818', '']","['7,789', '']"
8014,r009,United States -> Alabama -> Public -> Jacksonville State U.,United States,Alabama,Public,Jacksonville State U.,4,"['275', '']","['245', '']","['0', '']","['30', '']","['0', '']","['0', '']","['0', '']"
8014,r010,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['1,548', '']","['1,488', '']","['0', '']","['35', '']","['25', '']","['0', '']","['0', '']"
8014,r011,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['644,330', '']","['423,290', '']","['9,355', '']","['116,561', '']","['61,764', '']","['31,641', '']","['1,719', '']"
8014,r012,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['149,792', '']","['116,971', '']","['4,743', '']","['26,294', '']","['688', '']","['610', '']","['486', '']"
8014,r013,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['129,509', '']","['53,880', '']","['15,693', '']","['55,682', '']","['2,679', '']","['1,291', '']","['284', '']"
8014,r014,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['47,610', '']","['23,758', '']","['345', '']","['19,099', '']","['3,466', '']","['211', '']","['731', '']"
8014,r015,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['21,355', '']","['15,424', '']","['2,676', '']","['2,724', '']","['0', '']","['0', '']","['531', '']"
8014,r016,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['21,355', '']","['15,424', '']","['2,676', '']","['2,724', '']","['0', '']","['0', '']","['531', '']"
8014,r017,United States -> Alaska,United States,Alaska,,,2,"['196,501', '']","['144,543', '']","['3,617', '']","['40,547', '']","['3,703', '']","['2,185', '']","['1,906', '']"
8014,r018,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['195,465', '']","['144,354', '']","['3,617', '']","['40,547', '']","['2,886', '']","['2,168', '']","['1,893', '']"
8014,r019,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['21,332', '']","['15,079', '']","['1,631', '']","['3,747', '']","['348', '']","['356', '']","['171', '']"
8014,r020,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['172,957', '']","['128,229', '']","['1,956', '']","['36,765', '']","['2,534', '']","['1,758', '']","['1,715', '']"
8014,r021,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['1,176', '']","['1,046', '']","['30', '']","['35', '']","['4', '']","['54', '']","['7', '']"
8014,r022,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['1,036', '']","['189', '']","['0', '']","['0', '']","['817', '']","['17', '']","['13', '']"
8014,r023,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['1,036', '']","['189', '']","['0', '']","['0', '']","['817', '']","['17', '']","['13', '']"
8014,r024,United States -> Arizona,United States,Arizona,,,2,"['1,516,463', '']","['669,402', '']","['82,173', '']","['507,616', '']","['49,020', '']","['89,289', '']","['118,963', '']"
8014,r025,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['1,516,463', '']","['669,402', '']","['82,173', '']","['507,616', '']","['49,020', '']","['89,289', '']","['118,963', '']"
8014,r026,United States -> Arizona -> Public -> Arizona State U.,United States,Arizona,Public,Arizona State U.,4,"['677,303', '']","['274,541', '']","['43,390', '']","['258,139', '']","['23,580', '']","['56,958', '']","['20,695', '']"
8014,r027,United States -> Arizona -> Public -> Northern Arizona U.,United States,Arizona,Public,Northern Arizona U.,4,"['69,129', '']","['41,744', '']","['10,179', '']","['14,963', '']","['839', '']","['1,286', '']","['118', '']"
8014,r028,United States -> Arizona -> Public -> U. Arizona,United States,Arizona,Public,U. Arizona,4,"['770,031', '']","['353,117', '']","['28,604', '']","['234,514', '']","['24,601', '']","['31,045', '']","['98,150', '']"
8014,r029,United States -> Arkansas,United States,Arkansas,,,2,"['387,674', '']","['148,709', '']","['81,283', '']","['119,966', '']","['20,542', '']","['11,316', '']","['5,858', '']"
8014,r030,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['387,674', '']","['148,709', '']","['81,283', '']","['119,966', '']","['20,542', '']","['11,316', '']","['5,858', '']"
8014,r031,"United States -> Arkansas -> Public -> Arkansas State U., Jonesboro",United States,Arkansas,Public,"Arkansas State U., Jonesboro",4,"['8,422', '']","['4,249', '']","['3,103', '']","['721', '']","['349', '']","['0', '']","['0', '']"
8014,r032,United States -> Arkansas -> Public -> U. Arkansas for Medical Sciences,United States,Arkansas,Public,U. Arkansas for Medical Sciences,4,"['194,709', '']","['83,387', '']","['24,809', '']","['63,526', '']","['13,493', '']","['4,730', '']","['4,764', '']"
8014,r033,"United States -> Arkansas -> Public -> U. Arkansas, Fayetteville",United States,Arkansas,Public,"U. Arkansas, Fayetteville",4,"['164,443', '']","['48,534', '']","['50,207', '']","['51,933', '']","['6,561', '']","['6,257', '']","['951', '']"
8014,r034,"United States -> Arkansas -> Public -> U. Arkansas, Little Rock",United States,Arkansas,Public,"U. Arkansas, Little Rock",4,"['7,397', '']","['6,939', '']","['79', '']","['3', '']","['139', '']","['94', '']","['143', '']"
