table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_nsf_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
10156,r001,All institutions,All institutions,,1,-,"['6,035,698', '']","['760,906', '']","['793,092', '']","['851,067', '']","['225,434', '']","['1,164,641', '']","['81,415', '']","['161,171', '']","['136,900', '']","['1,523,416', '']","['337,656', '']"
10156,r002,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,1,"['137,220', '']","['10,615', '']","['76,779', '']","['6,577', '']","['3,738', '']","['9,563', '']","['0', '']","['1,025', '']","['130', '']","['27,456', '']","['1,337', '']"
10156,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['135,492', '']","['8,027', '']","['49,303', '']","['8,443', '']","['3,372', '']","['15,869', '']","['837', '']","['2,797', '']","['0', '']","['33,126', '']","['13,718', '']"
10156,r004,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,3,"['130,016', 'i']","['0', 'i']","['84,976', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['45,040', 'i']","['0', '']"
10156,r005,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,4,"['129,565', '']","['21,767', '']","['39,126', '']","['5,562', '']","['3,309', '']","['10,047', '']","['3,211', '']","['1,114', '']","['5,298', '']","['39,621', '']","['510', '']"
10156,r006,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,5,"['117,743', '']","['36,469', '']","['3,229', '']","['10,020', '']","['2,146', '']","['20,456', '']","['1,915', '']","['1,188', '']","['65', '']","['37,559', '']","['4,696', '']"
10156,r007,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,6,"['110,937', '']","['42,972', '']","['9,327', '']","['8,967', '']","['3,085', '']","['9,045', '']","['869', '']","['1,528', '']","['0', '']","['30,614', '']","['4,530', '']"
10156,r008,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,7,"['109,834', '']","['14,854', '']","['12,409', '']","['23,254', '']","['3,553', '']","['28,921', '']","['1,044', '']","['1,724', '']","['2,395', '']","['15,559', '']","['6,121', '']"
10156,r009,All institutions -> Cornell U.,All institutions,Cornell U.,2,8,"['107,958', '']","['11,457', '']","['3,226', '']","['17,403', '']","['2,490', '']","['42,743', '']","['727', '']","['2,067', '']","['0', '']","['26,659', '']","['1,186', '']"
10156,r010,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,9,"['106,602', '']","['12,970', '']","['25,533', '']","['5,036', '']","['1,796', '']","['24,044', '']","['597', '']","['4,029', '']","['400', '']","['19,953', '']","['12,244', '']"
10156,r011,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,10,"['106,311', '']","['20,205', '']","['7,923', '']","['8,376', '']","['3,771', '']","['36,462', '']","['296', '']","['2,096', '']","['1,162', '']","['24,342', '']","['1,678', '']"
10156,r012,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,11,"['100,084', '']","['832', '']","['2,760', '']","['9,654', '']","['5,317', '']","['24,082', '']","['1,429', '']","['1,472', '']","['25,834', '']","['25,693', '']","['3,011', '']"
10156,r013,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,12,"['99,432', '']","['4,483', '']","['2,392', '']","['12,578', '']","['4,814', '']","['14,854', '']","['1,715', '']","['13,163', '']","['438', '']","['39,971', '']","['5,024', '']"
10156,r014,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,13,"['99,333', '']","['11,806', '']","['38,569', '']","['8,101', '']","['2,117', '']","['18,439', '']","['756', '']","['1,526', '']","['0', '']","['13,159', '']","['4,860', '']"
10156,r015,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,14,"['94,888', '']","['2,856', '']","['7,669', '']","['3,104', '']","['683', '']","['74,291', '']","['0', '']","['0', '']","['0', '']","['5,440', '']","['845', '']"
10156,r016,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,15,"['87,682', '']","['20,539', '']","['2,292', '']","['6,810', '']","['327', '']","['9,939', '']","['359', '']","['1,402', '']","['26', '']","['42,887', '']","['3,101', '']"
10156,r017,All institutions -> Stanford U.,All institutions,Stanford U.,2,16,"['79,477', '']","['6,009', '']","['4,604', '']","['9,349', '']","['2,902', '']","['15,848', '']","['913', '']","['2,391', '']","['0', '']","['17,087', '']","['20,374', '']"
10156,r018,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,17,"['77,812', '']","['5,421', '']","['4,911', '']","['12,724', '']","['699', '']","['4,640', '']","['403', '']","['6,074', '']","['14,186', '']","['26,003', '']","['2,751', '']"
10156,r019,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,18,"['75,302', '']","['8,599', '']","['9,053', '']","['8,738', '']","['3,175', '']","['16,294', '']","['1,590', '']","['2,611', '']","['0', '']","['19,361', '']","['5,881', '']"
10156,r020,All institutions -> U. Chicago,All institutions,U. Chicago,2,19,"['74,035', '']","['17,607', '']","['6,241', '']","['3,576', '']","['3,176', '']","['24,418', '']","['1,747', '']","['1,809', '']","['0', '']","['11,889', '']","['3,572', '']"
10156,r021,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,20,"['72,776', '']","['5,039', '']","['8,297', '']","['6,607', '']","['3,874', '']","['12,236', '']","['1,245', '']","['2,504', '']","['8,563', '']","['15,751', '']","['8,660', '']"
10156,r022,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,21,"['72,227', '']","['5,249', '']","['6,587', '']","['16,052', '']","['3,647', '']","['8,460', '']","['969', '']","['2,999', '']","['67', '']","['27,098', '']","['1,099', '']"
10156,r023,All institutions -> Princeton U.,All institutions,Princeton U.,2,22,"['70,247', '']","['12,244', '']","['8,692', '']","['4,928', '']","['3,518', '']","['23,579', '']","['706', '']","['1,493', '']","['0', '']","['14,786', '']","['301', '']"
10156,r024,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,23,"['69,614', '']","['42,155', '']","['102', '']","['1,051', '']","['2,258', '']","['4,768', '']","['1,766', '']","['600', '']","['3,853', '']","['13,032', '']","['29', '']"
10156,r025,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,24,"['63,157', '']","['3,071', '']","['1,357', '']","['17,711', '']","['4,123', '']","['22,096', '']","['756', '']","['1,549', '']","['823', '']","['6,705', '']","['4,966', '']"
10156,r026,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,25,"['61,621', '']","['7,882', '']","['3,349', '']","['10,715', '']","['2,361', '']","['12,429', '']","['1,495', '']","['3,620', '']","['2,720', '']","['15,808', '']","['1,242', '']"
10156,r027,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,26,"['60,585', '']","['8,675', '']","['2,836', '']","['3,054', '']","['3,227', '']","['5,065', '']","['133', '']","['1,816', '']","['0', '']","['33,309', '']","['2,470', '']"
10156,r028,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,27,"['59,499', '']","['10,321', '']","['4,841', '']","['7,053', '']","['2,378', '']","['14,311', '']","['181', '']","['2,524', '']","['334', '']","['14,362', '']","['3,194', '']"
10156,r029,All institutions -> Florida State U.,All institutions,Florida State U.,2,28,"['58,432', '']","['2,093', '']","['4,176', '']","['4,494', '']","['1,289', '']","['29,847', '']","['257', '']","['744', '']","['0', '']","['13,236', '']","['2,296', '']"
10156,r030,All institutions -> U. Florida,All institutions,U. Florida,2,29,"['58,242', '']","['5,790', '']","['7,465', '']","['8,921', '']","['914', '']","['8,994', '']","['113', '']","['1,310', '']","['0', '']","['19,542', '']","['5,193', '']"
10156,r031,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,30,"['57,278', '']","['3,676', '']","['595', '']","['3,771', '']","['1,290', '']","['15,119', '']","['430', '']","['2,350', '']","['10,648', '']","['18,878', '']","['521', '']"
10156,r032,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,31,"['56,206', '']","['8,516', '']","['2,265', '']","['6,938', '']","['4,821', '']","['3,766', '']","['571', '']","['295', '']","['2,233', '']","['23,842', '']","['2,959', '']"
10156,r033,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,32,"['54,025', '']","['3,974', '']","['9,653', '']","['1,024', '']","['810', '']","['18,577', '']","['634', '']","['1,306', '']","['0', '']","['17,563', '']","['484', '']"
10156,r034,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,33,"['53,123', '']","['4,309', '']","['260', '']","['4,553', '']","['1,686', '']","['17,040', '']","['1,551', '']","['1,728', '']","['121', '']","['12,783', '']","['9,092', '']"
