table_id,row_id,_b_country_or_economy_and_field_b_full_path,_b_country_or_economy_and_field_b_level_1,_b_country_or_economy_and_field_b_level_2,_b_country_or_economy_and_field_b_hierarchy_depth,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
9597,r001,China<sup>a</sup>,China<sup>a</sup>,,1,4222,4796,4982,5374,5527,5553,6188,6316,6335,6200,6664
9597,r002,China<sup>a</sup> -> Science and engineering,China<sup>a</sup>,Science and engineering,2,3906,4443,4650,4970,5141,5147,5692,5755,5730,5607,6031
9597,r003,China<sup>a</sup> -> Non-science and engineering,China<sup>a</sup>,Non-science and engineering,2,316,353,332,404,386,406,496,561,605,593,633
9597,r004,India ,India ,,1,2248,2204,2316,2229,2195,1970,2045,2056,2250,2300,2671
9597,r005,India  -> Science and engineering,India ,Science and engineering,2,2142,2074,2208,2119,2085,1884,1922,1910,2111,2138,2510
9597,r006,India  -> Non-science and engineering,India ,Non-science and engineering,2,106,130,108,110,110,86,123,146,139,162,161
9597,r007,South Korea,South Korea,,1,1472,1383,1284,1234,1229,1128,1039,1168,1055,1036,1076
9597,r008,South Korea -> Science and engineering,South Korea,Science and engineering,2,1132,1012,928,920,891,815,729,824,756,733,761
9597,r009,South Korea -> Non-science and engineering,South Korea,Non-science and engineering,2,340,371,356,314,338,313,310,344,299,303,315
9597,r010,Iran ,Iran ,,1,287,409,483,629,695,767,935,964,963,815,859
9597,r011,Iran  -> Science and engineering,Iran ,Science and engineering,2,278,380,463,608,664,728,869,882,896,741,791
9597,r012,Iran  -> Non-science and engineering,Iran ,Non-science and engineering,2,9,29,20,21,31,39,66,82,67,74,68
9597,r013,Taiwan,Taiwan,,1,719,699,668,614,592,520,514,492,468,410,416
9597,r014,Taiwan -> Science and engineering,Taiwan,Science and engineering,2,581,571,558,514,499,435,445,426,417,375,374
9597,r015,Taiwan -> Non-science and engineering,Taiwan,Non-science and engineering,2,138,128,110,100,93,85,69,66,51,35,42
9597,r016,Canada ,Canada ,,1,423,485,488,454,408,409,431,427,398,369,474
9597,r017,Canada  -> Science and engineering,Canada ,Science and engineering,2,299,332,321,318,272,288,307,313,281,267,356
9597,r018,Canada  -> Non-science and engineering,Canada ,Non-science and engineering,2,124,153,167,136,136,121,124,114,117,102,118
9597,r019,Turkey ,Turkey ,,1,439,478,426,469,472,496,454,406,371,330,354
9597,r020,Turkey  -> Science and engineering,Turkey ,Science and engineering,2,352,391,360,386,380,392,364,324,305,272,289
9597,r021,Turkey  -> Non-science and engineering,Turkey ,Non-science and engineering,2,87,87,66,83,92,104,90,82,66,58,65
9597,r022,Saudi Arabia ,Saudi Arabia ,,1,57,73,105,134,238,339,403,554,614,485,493
9597,r023,Saudi Arabia  -> Science and engineering,Saudi Arabia ,Science and engineering,2,41,53,76,98,175,232,294,431,471,368,386
9597,r024,Saudi Arabia  -> Non-science and engineering,Saudi Arabia ,Non-science and engineering,2,16,20,29,36,63,107,109,123,143,117,107
9597,r025,Bangladesh ,Bangladesh ,,1,86,107,139,154,185,236,280,292,392,397,551
9597,r026,Bangladesh  -> Science and engineering,Bangladesh ,Science and engineering,2,78,96,127,146,178,224,271,271,369,381,522
9597,r027,Bangladesh  -> Non-science and engineering,Bangladesh ,Non-science and engineering,2,8,11,12,8,7,12,9,21,23,16,29
9597,r028,Nepal ,Nepal ,,1,94,150,172,177,222,221,225,241,226,252,313
9597,r029,Nepal  -> Science and engineering,Nepal ,Science and engineering,2,89,,163,162,208,209,219,230,,242,305
9597,r030,Nepal  -> Non-science and engineering,Nepal ,Non-science and engineering,2,5,,9,15,14,12,6,11,,10,8
