table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2017,field_2018,field_2019_all_engineering,field_2019_aerospace_aeronautical_and_astronautical_engineering,field_2019_bioengineering_and_biomedical_engineering,field_2019_chemical_engineering,field_2019_civil_engineering,field_2019_electrical_electronic_and_communications_engineering,field_2019_industrial_and_manufacturing_engineering,field_2019_mechanical_engineering,field_2019_metallurgical_and_materials_engineering,field_2019_engineering_nec_
3168,r001,All institutions,All institutions,,1,-,"['11,913,699', '']","['12,366,530', '']","['13,214,359', '']","['1,169,928', '']","['1,450,156', '']","['977,867', '']","['1,432,381', '']","['2,938,953', '']","['557,350', '']","['1,705,397', '']","['791,260', '']","['2,191,067', '']"
3168,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,080,021', 'i']","['1,087,478', 'i']","['1,147,335', 'i']","['121,043', 'i']","['52,304', 'i']","['20,532', 'i']","['19,363', 'i']","['536,637', 'i']","['96,682', 'i']","['208,582', 'i']","['24,664', 'i']","['67,528', 'i']"
3168,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['578,662', '']","['613,650', '']","['664,695', '']","['163,533', '']","['41,287', '']","['23,824', '']","['24,645', '']","['250,427', '']","['77,530', '']","['47,275', '']","['24,726', '']","['11,448', '']"
3168,r004,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,3,"['432,453', '']","['431,927', '']","['450,915', '']","['27,688', '']","['118,310', '']","['46,670', '']","['18,280', '']","['52,774', '']","['214', '']","['55,277', '']","['41,282', '']","['90,420', '']"
3168,r005,"All institutions -> SUNY, Polytechnic Institute",All institutions,"SUNY, Polytechnic Institute",2,4,"['305,576', '']","['255,033', '']","['350,793', '']","['0', '']","['0', '']","['0', '']","['33', '']","['0', '']","['0', '']","['59', '']","['0', '']","['350,701', '']"
3168,r006,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,5,"['312,341', '']","['325,002', '']","['350,391', '']","['28,351', '']","['19,077', '']","['22,879', '']","['15,740', '']","['100,673', '']","['30,168', '']","['90,336', '']","['43,167', '']","['0', '']"
3168,r007,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,6,"['287,620', '']","['300,956', '']","['321,373', '']","['18,379', '']","['21,261', '']","['24,299', '']","['89,564', '']","['32,688', '']","['6,859', '']","['32,308', '']","['16,983', '']","['79,032', '']"
3168,r008,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,7,"['286,094', '']","['299,072', '']","['291,887', '']","['17,083', '']","['20,938', '']","['12,829', '']","['25,780', '']","['81,768', '']","['6,285', '']","['41,651', '']","['11,904', '']","['73,649', '']"
3168,r009,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,8,"['231,103', '']","['229,967', '']","['270,525', '']","['23,034', '']","['25,957', '']","['16,970', '']","['26,193', '']","['49,874', '']","['15,674', '']","['45,887', '']","['17,348', '']","['49,588', '']"
3168,r010,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,9,"['226,810', '']","['245,755', '']","['258,213', '']","['14,890', '']","['28,445', '']","['5,688', '']","['28,401', '']","['60,818', '']","['37,892', '']","['32,422', '']","['13,812', '']","['35,845', '']"
3168,r011,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,10,"['239,499', '']","['242,963', '']","['249,788', '']","['12,550', '']","['12,519', '']","['38,107', '']","['35,530', '']","['57,368', '']","['302', '']","['44,742', '']","['23,789', '']","['24,881', '']"
3168,r012,All institutions -> Utah State U.,All institutions,Utah State U.,2,11,"['111,780', '']","['140,407', '']","['202,345', '']","['179,979', '']","['1,100', '']","['0', '']","['11,307', '']","['4,927', '']","['0', '']","['3,555', '']","['0', '']","['1,477', '']"
3168,r013,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,12,"['192,878', '']","['195,413', '']","['201,028', '']","['11,047', '']","['11,831', '']","['17,270', '']","['20,615', '']","['59,121', '']","['0', '']","['31,786', '']","['19,185', '']","['30,173', '']"
3168,r014,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,13,"['189,550', '']","['200,668', '']","['200,122', '']","['0', '']","['98', '']","['7,704', '']","['29,596', '']","['120,093', '']","['1', '']","['41', '']","['0', '']","['42,589', '']"
3168,r015,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,14,"['178,028', '']","['183,646', '']","['177,518', '']","['417', '']","['4,871', '']","['13,300', '']","['7,052', '']","['28,694', '']","['8,117', '']","['72,671', '']","['25,495', '']","['16,901', '']"
3168,r016,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,15,"['158,389', '']","['166,680', '']","['174,590', '']","['319', '']","['15,608', '']","['33,103', '']","['18,152', '']","['39,140', '']","['6,662', '']","['10,819', '']","['27,471', '']","['23,316', '']"
3168,r017,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,16,"['125,033', '']","['150,596', '']","['172,919', '']","['0', '']","['53,954', '']","['0', '']","['0', '']","['80,480', '']","['0', '']","['15,857', '']","['0', '']","['22,628', '']"
3168,r018,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,17,"['na', '']","['na', '']","['158,814', '']","['18,843', '']","['19,607', '']","['6,387', '']","['33,608', '']","['16,227', '']","['0', '']","['19,790', '']","['14,854', '']","['29,498', '']"
3168,r019,All institutions -> U. Dayton,All institutions,U. Dayton,2,18,"['122,338', '']","['139,036', '']","['157,016', '']","['10,309', '']","['0', '']","['9,189', '']","['4,614', '']","['8,064', '']","['29,985', '']","['4,653', '']","['77,302', '']","['12,900', '']"
3168,r020,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,19,"['136,318', '']","['149,931', '']","['155,076', '']","['8,713', '']","['27,716', '']","['8,269', '']","['25,888', '']","['37,477', '']","['1,904', '']","['15,127', '']","['6,037', '']","['23,945', '']"
3168,r021,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,20,"['135,169', '']","['142,175', '']","['152,395', '']","['0', '']","['13,536', '']","['6,688', '']","['24,164', '']","['49,531', '']","['2,445', '']","['12,032', '']","['4,694', '']","['39,305', '']"
3168,r022,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,21,"['176,988', '']","['171,965', '']","['152,391', '']","['89,596', '']","['10,615', '']","['9,858', '']","['14,035', '']","['12,803', '']","['0', '']","['10,195', '']","['950', '']","['4,339', '']"
3168,r023,All institutions -> Stanford U.,All institutions,Stanford U.,2,22,"['125,627', '']","['146,504', '']","['134,585', '']","['13,315', '']","['30,806', '']","['18,597', '']","['14,868', '']","['17,840', '']","['0', '']","['26,845', '']","['8,078', '']","['4,236', '']"
3168,r024,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,23,"['148,949', '']","['118,576', '']","['126,587', '']","['0', '']","['14,141', '']","['11,045', '']","['11,430', '']","['17,001', '']","['4,678', '']","['10,510', '']","['10,701', '']","['47,081', '']"
3168,r025,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,24,"['123,835', '']","['124,637', '']","['120,976', '']","['11,937', '']","['23,895', '']","['25,172', '']","['15,692', '']","['20,047', '']","['1,887', '']","['17,233', '']","['5,113', '']","['0', '']"
3168,r026,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,25,"['113,852', '']","['128,675', '']","['116,528', '']","['19,305', '']","['2,584', '']","['6,116', '']","['13,773', '']","['22,394', '']","['27,748', '']","['0', '']","['11,752', '']","['12,856', '']"
3168,r027,All institutions -> Cornell U.,All institutions,Cornell U.,2,26,"['85,162', '']","['92,590', '']","['110,545', '']","['3,016', '']","['15,464', '']","['12,347', '']","['8,204', '']","['22,739', '']","['4,427', '']","['18,812', '']","['17,173', '']","['8,363', '']"
3168,r028,All institutions -> Wichita State U.,All institutions,Wichita State U.,2,27,"['62,444', '']","['63,328', '']","['109,248', '']","['105,949', '']","['0', '']","['0', '']","['0', '']","['481', '']","['228', '']","['589', '']","['0', '']","['2,001', '']"
3168,r029,All institutions -> U. Florida,All institutions,U. Florida,2,28,"['97,826', '']","['93,580', '']","['107,598', '']","['5,863', '']","['25,506', '']","['5,549', '']","['2,214', '']","['23,844', '']","['1,873', '']","['10,885', '']","['9,588', '']","['22,276', '']"
3168,r030,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,29,"['95,306', '']","['99,214', '']","['104,798', '']","['6,271', '']","['0', '']","['10,114', '']","['27,609', '']","['22,091', '']","['5,580', '']","['8,787', '']","['0', '']","['24,346', '']"
3168,r031,All institutions -> Duke U.,All institutions,Duke U.,2,30,"['80,554', '']","['92,715', '']","['100,379', '']","['0', '']","['39,559', '']","['0', '']","['13,331', '']","['32,513', '']","['0', '']","['8,684', '']","['4,114', '']","['2,178', '']"
3168,r032,All institutions -> New York U.,All institutions,New York U.,2,31,"['79,801', '']","['85,767', '']","['99,711', '']","['0', '']","['123', '']","['2,148', '']","['1,364', '']","['14,385', '']","['0', '']","['2,651', '']","['0', '']","['79,040', '']"
3168,r033,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,32,"['80,153', '']","['91,799', '']","['95,797', '']","['0', '']","['9,045', '']","['13,308', '']","['6,201', '']","['34,672', '']","['0', '']","['15,668', '']","['7,467', '']","['9,436', '']"
3168,r034,All institutions -> Harvard U.,All institutions,Harvard U.,2,33,"['105,231', '']","['96,786', '']","['95,651', '']","['0', '']","['65,491', '']","['335', '']","['4,660', '']","['11,751', '']","['0', '']","['567', '']","['11,652', '']","['1,195', '']"
3168,r035,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,34,"['98,781', '']","['99,201', '']","['95,496', '']","['1,398', '']","['8,568', '']","['11,314', '']","['5,844', '']","['25,735', '']","['0', '']","['17,247', '']","['8,957', '']","['16,433', '']"
3168,r036,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,35,"['93,965', '']","['95,234', '']","['95,040', '']","['11,817', '']","['14,478', '']","['13,211', '']","['11,149', '']","['3,946', '']","['13,373', '']","['14,834', '']","['276', '']","['11,956', '']"
3168,r037,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,36,"['83,560', '']","['87,250', '']","['94,340', '']","['0', '']","['17,235', '']","['11,476', '']","['16,623', '']","['37,686', '']","['0', '']","['8,855', '']","['0', '']","['2,465', '']"
3168,r038,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,37,"['75,760', '']","['104,371', '']","['92,937', '']","['0', '']","['5,055', '']","['5,587', '']","['3,945', '']","['5,595', '']","['997', '']","['6,372', '']","['4,526', '']","['60,860', '']"
3168,r039,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,38,"['85,557', '']","['89,128', '']","['92,277', '']","['0', '']","['23,576', '']","['3,545', '']","['39,055', '']","['13,445', '']","['0', '']","['8,940', '']","['0', '']","['3,716', '']"
3168,r040,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,39,"['75,064', '']","['77,243', '']","['89,702', '']","['35,548', '']","['0', '']","['12,652', '']","['14,986', '']","['23,508', '']","['0', '']","['0', '']","['783', '']","['2,225', '']"
3168,r041,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,40,"['61,402', '']","['61,221', '']","['83,974', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['83,974', '']"
3168,r042,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,41,"['48,285', '']","['70,000', '']","['83,072', '']","['0', '']","['16,718', '']","['4,269', '']","['5,685', '']","['14,882', '']","['0', '']","['9,388', '']","['18,918', '']","['13,212', '']"
3168,r043,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,42,"['84,520', '']","['81,662', '']","['80,413', '']","['0', '']","['11,844', '']","['15,264', '']","['4,211', '']","['12,630', '']","['3,530', '']","['6,845', '']","['16,820', '']","['9,269', '']"
3168,r044,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,43,"['53,443', '']","['65,147', '']","['79,836', '']","['0', '']","['6,216', '']","['4,277', '']","['10,177', '']","['27,767', '']","['12,998', '']","['14,415', '']","['0', '']","['3,986', '']"
3168,r045,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,44,"['61,918', '']","['77,165', '']","['79,638', '']","['0', '']","['21,181', '']","['14,839', '']","['6,522', '']","['18,523', '']","['0', '']","['11,497', '']","['0', '']","['7,076', '']"
3168,r046,All institutions -> New Jersey Institute of Technology,All institutions,New Jersey Institute of Technology,2,45,"['59,726', '']","['69,735', '']","['78,455', '']","['0', '']","['9,396', '']","['5,917', '']","['21,812', '']","['4,563', '']","['144', '']","['2,575', '']","['0', '']","['34,048', '']"
3168,r047,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,46,"['64,279', '']","['67,574', '']","['78,444', '']","['0', '']","['22,871', '']","['10,328', '']","['0', '']","['15,628', '']","['0', '']","['20,673', '']","['0', '']","['8,944', '']"
3168,r048,All institutions -> Boston U.,All institutions,Boston U.,2,47,"['64,275', '']","['83,013', '']","['78,154', '']","['1,385', '']","['28,847', '']","['38', '']","['0', '']","['22,146', '']","['1,478', '']","['11,721', '']","['796', '']","['11,743', '']"
3168,r049,All institutions -> Rice U.,All institutions,Rice U.,2,48,"['73,297', '']","['67,934', '']","['77,299', '']","['0', '']","['29,222', '']","['9,233', '']","['9,114', '']","['16,178', '']","['0', '']","['4,308', '']","['6,963', '']","['2,281', '']"
3168,r050,All institutions -> Clemson U.,All institutions,Clemson U.,2,49,"['65,885', '']","['73,506', '']","['76,739', '']","['0', '']","['11,723', '']","['5,035', '']","['16,480', '']","['9,839', '']","['3,791', '']","['14,944', '']","['13,021', '']","['1,906', '']"
3168,r051,All institutions -> U. Southern California,All institutions,U. Southern California,2,50,"['69,226', '']","['72,961', '']","['76,180', '']","['1,899', '']","['8,926', '']","['4,278', '']","['7,441', '']","['39,615', '']","['2,377', '']","['7,783', '']","['0', '']","['3,861', '']"
3168,r052,All institutions -> U. Arizona,All institutions,U. Arizona,2,51,"['62,925', '']","['70,100', '']","['75,555', '']","['1,880', '']","['6,922', '']","['4,347', '']","['3,558', '']","['41,402', '']","['3,572', '']","['3,836', '']","['6,139', '']","['3,899', '']"
3168,r053,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,52,"['67,996', '']","['72,301', '']","['72,596', '']","['2,541', '']","['19,301', '']","['5,624', '']","['2,432', '']","['3,882', '']","['1,072', '']","['5,708', '']","['0', '']","['32,036', '']"
3168,r054,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,53,"['73,594', '']","['77,535', '']","['67,395', '']","['0', '']","['11,063', '']","['7,663', '']","['0', '']","['32,838', '']","['0', '']","['7,599', '']","['7,689', '']","['543', '']"
3168,r055,All institutions -> U. Delaware,All institutions,U. Delaware,2,54,"['40,177', '']","['52,932', '']","['66,447', '']","['0', '']","['4,621', '']","['36,874', '']","['8,746', '']","['7,874', '']","['0', '']","['7,241', '']","['0', '']","['1,091', '']"
3168,r056,All institutions -> Princeton U.,All institutions,Princeton U.,2,55,"['70,261', '']","['67,450', '']","['65,000', '']","['2,313', '']","['7,354', '']","['4,114', '']","['5,585', '']","['17,186', '']","['2,847', '']","['8,814', '']","['10,340', '']","['6,447', '']"
3168,r057,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,56,"['55,792', '']","['62,734', '']","['62,258', '']","['14,087', '']","['1,577', '']","['0', '']","['6,674', '']","['10,399', '']","['6,283', '']","['9,739', '']","['4,642', '']","['8,857', '']"
3168,r058,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,57,"['49,856', '']","['48,399', '']","['60,183', '']","['10,008', '']","['1,042', '']","['4,314', '']","['6,165', '']","['7,006', '']","['5,085', '']","['15,909', '']","['1,895', '']","['8,759', '']"
3168,r059,All institutions -> Rensselaer Polytechnic Institute,All institutions,Rensselaer Polytechnic Institute,2,58,"['59,446', '']","['57,190', '']","['59,831', '']","['0', '']","['5,780', '']","['10,295', '']","['6,768', '']","['10,945', '']","['987', '']","['16,802', '']","['4,154', '']","['4,100', '']"
3168,r060,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,59,"['56,657', '']","['56,233', '']","['59,742', '']","['3,250', '']","['1,110', '']","['6,733', '']","['8,655', '']","['9,157', '']","['4,593', '']","['12,747', '']","['656', '']","['12,841', '']"
3168,r061,All institutions -> Florida State U.,All institutions,Florida State U.,2,60,"['50,234', '']","['56,281', '']","['56,352', '']","['3,106', '']","['3,900', '']","['3,153', '']","['5,538', '']","['14,713', '']","['2,254', '']","['20,643', '']","['2,566', '']","['479', '']"
3168,r062,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,61,"['53,016', '']","['70,449', '']","['55,995', '']","['0', '']","['9,942', '']","['8,339', '']","['10,785', '']","['13,077', '']","['0', '']","['12,402', '']","['0', '']","['1,450', '']"
3168,r063,All institutions -> U. Utah,All institutions,U. Utah,2,62,"['39,993', '']","['42,053', 'i']","['55,478', 'i']","['0', 'i']","['10,282', 'i']","['3,073', 'i']","['4,815', 'i']","['11,078', 'i']","['1', 'i']","['11,561', 'i']","['5,637', 'i']","['9,031', 'i']"
3168,r064,All institutions -> U. North Dakota,All institutions,U. North Dakota,2,63,"['43,485', '']","['52,960', '']","['54,760', '']","['0', '']","['0', '']","['1,044', '']","['42,263', '']","['1,741', '']","['0', '']","['745', '']","['752', '']","['8,215', '']"
3168,r065,"All institutions -> U. Texas, Arlington",All institutions,"U. Texas, Arlington",2,64,"['41,258', '']","['48,513', '']","['54,121', '']","['4,365', '']","['5,848', '']","['0', '']","['8,349', '']","['6,943', '']","['11,163', '']","['4,365', '']","['0', '']","['13,088', '']"
3168,r066,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,65,"['48,890', '']","['49,434', '']","['53,932', '']","['0', '']","['9,912', '']","['3,459', '']","['18,353', '']","['8,608', '']","['185', '']","['5,600', '']","['6,334', '']","['1,481', '']"
3168,r067,All institutions -> U. Houston,All institutions,U. Houston,2,66,"['54,497', '']","['50,047', '']","['51,806', '']","['2,443', '']","['9,693', '']","['11,307', '']","['6,788', '']","['7,465', '']","['385', '']","['5,169', '']","['1,231', '']","['7,325', '']"
3168,r068,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,67,"['45,416', '']","['47,821', '']","['50,743', '']","['2,449', '']","['909', '']","['4,707', '']","['10,129', '']","['1,746', '']","['295', '']","['2,565', '']","['5,275', '']","['22,668', '']"
