table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_hierarchy_depth,field_2019_total_experimental_development,field_2019_advanced_technology_development,field_2019_major_systems_development,field_2020_total_experimental_development,field_2020_advanced_technology_development,field_2020_major_systems_development
6135,r001,All agencies,All agencies,,,1,61306,na,na,82098,na,na
6135,r002,All agencies -> Department of Defense,All agencies,Department of Defense,,2,50511,6923,43588,57780,8600,49179
6135,r003,All agencies -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Department of Defense,Defense Advanced Research Projects Agency,3,1578,1412,166,1658,1489,169
6135,r004,All agencies -> Department of Defense -> Defense Health Agency,All agencies,Department of Defense,Defense Health Agency,3,NA,NA,NA,2706,1706,1000
6135,r005,All agencies -> Department of Defense -> Department of the Air Force,All agencies,Department of Defense,Department of the Air Force,3,12970,837,12133,9434,952,8482
6135,r006,All agencies -> Department of Defense -> Department of the Army,All agencies,Department of Defense,Department of the Army,3,8319,1637,6682,8880,1487,7392
6135,r007,All agencies -> Department of Defense -> Department of the Navy,All agencies,Department of Defense,Department of the Navy,3,13751,1008,12742,17416,883,16533
6135,r008,All agencies -> Department of Defense -> U.S. Space Force,All agencies,Department of Defense,U.S. Space Force,3,NA,NA,NA,4386,0,4386
6135,r009,All agencies -> Department of Defense -> Other defense agencies,All agencies,Department of Defense,Other defense agencies,3,13894,2030,11865,13299,2082,11217
6135,r010,All agencies -> Department of Energy,All agencies,Department of Energy,,2,3007,na,na,2928,na,na
6135,r011,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,,2,837,na,na,15772,na,na
6135,r012,All agencies -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,3,736,na,na,15666,na,na
6135,r013,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,3,54,na,na,56,na,na
6135,r014,All agencies -> National Aeronautics and Space Administration,All agencies,National Aeronautics and Space Administration,,2,5459,na,na,4144,na,na
6135,r015,All agencies -> All other departments and agencies,All agencies,All other departments and agencies,,2,1493,na,na,1475,na,na
