table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5380,r001,United States,United States,,,,1,"['138,876', '']","['5,768', '']","['8,239', '']","['45,796', '']","['3,329', '']","['18,372', '']","['3,703', '']","['19,231', '']","['3,815', '']","['6,551', '']","['24,072', '']"
5380,r002,United States -> Public,United States,Public,,,2,"['59,231', '']","['2,937', '']","['4,077', '']","['19,491', '']","['1,186', '']","['6,078', '']","['1,385', '']","['9,562', '']","['1,194', '']","['3,200', '']","['10,121', '']"
5380,r003,United States -> Private,United States,Private,,,2,"['79,645', '']","['2,831', '']","['4,162', '']","['26,305', '']","['2,143', '']","['12,294', '']","['2,318', '']","['9,669', '']","['2,621', '']","['3,351', '']","['13,951', '']"
5380,r004,United States -> Alabama,United States,Alabama,,,2,"['1,618', '']","['0', '']","['0', '']","['1,087', '']","['135', '']","['130', '']","['0', '']","['0', '']","['0', '']","['0', '']","['266', '']"
5380,r005,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['777', '']","['0', '']","['0', '']","['568', '']","['89', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['120', '']"
5380,r006,"United States -> Alabama -> Public -> Auburn U., Montgomery",United States,Alabama,Public,"Auburn U., Montgomery",4,"['312', '']","['0', '']","['0', '']","['103', '']","['89', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['120', '']"
5380,r007,United States -> Alabama -> Public -> U. West Alabama,United States,Alabama,Public,U. West Alabama,4,"['465', '']","['0', '']","['0', '']","['465', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5380,r008,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['841', '']","['0', '']","['0', '']","['519', '']","['46', '']","['130', '']","['0', '']","['0', '']","['0', '']","['0', '']","['146', '']"
5380,r009,"United States -> Alabama -> Private -> Alabama C., Osteopathic Medicine",United States,Alabama,Private,"Alabama C., Osteopathic Medicine",4,"['303', '']","['0', '']","['0', '']","['303', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5380,r010,United States -> Alabama -> Private -> Oakwood U.,United States,Alabama,Private,Oakwood U.,4,"['538', '']","['0', '']","['0', '']","['216', '']","['46', '']","['130', '']","['0', '']","['0', '']","['0', '']","['0', '']","['146', '']"
5380,r011,United States -> Arkansas,United States,Arkansas,,,2,"['3,233', '']","['0', '']","['10', '']","['1,657', '']","['188', '']","['293', '']","['563', '']","['28', '']","['44', '']","['285', '']","['165', '']"
5380,r012,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['1,131', '']","['0', '']","['0', '']","['205', '']","['15', '']","['138', '']","['563', '']","['23', '']","['2', '']","['58', '']","['127', '']"
5380,r013,United States -> Arkansas -> Public -> Arkansas Tech U.,United States,Arkansas,Public,Arkansas Tech U.,4,"['856', '']","['0', '']","['0', '']","['177', '']","['0', '']","['86', '']","['557', '']","['0', '']","['2', '']","['25', '']","['9', '']"
5380,r014,United States -> Arkansas -> Public -> Southern Arkansas U.,United States,Arkansas,Public,Southern Arkansas U.,4,"['275', '']","['0', '']","['0', '']","['28', '']","['15', '']","['52', '']","['6', '']","['23', '']","['0', '']","['33', '']","['118', '']"
5380,r015,United States -> Arkansas -> Private,United States,Arkansas,Private,,3,"['2,102', '']","['0', '']","['10', '']","['1,452', '']","['173', '']","['155', '']","['0', '']","['5', '']","['42', '']","['227', '']","['38', '']"
5380,r016,United States -> Arkansas -> Private -> Arkansas C. of Health Education,United States,Arkansas,Private,Arkansas C. of Health Education,4,"['900', '']","['0', '']","['0', '']","['900', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5380,r017,United States -> Arkansas -> Private -> Hendrix C.,United States,Arkansas,Private,Hendrix C.,4,"['649', '']","['0', '']","['0', '']","['326', '']","['7', '']","['155', '']","['0', '']","['5', '']","['0', '']","['150', '']","['6', '']"
5380,r018,United States -> Arkansas -> Private -> Ouachita Baptist U.,United States,Arkansas,Private,Ouachita Baptist U.,4,"['345', 'i']","['0', 'i']","['10', 'i']","['226', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['77', 'i']","['32', 'i']"
5380,r019,United States -> Arkansas -> Private -> Philander Smith C.,United States,Arkansas,Private,Philander Smith C.,4,"['208', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['166', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['42', 'i']","['0', 'i']","['0', 'i']"
5380,r020,United States -> California,United States,California,,,2,"['4,138', '']","['162', '']","['32', '']","['889', '']","['21', '']","['180', '']","['430', '']","['1,281', '']","['15', '']","['410', '']","['718', '']"
5380,r021,United States -> California -> Private,United States,California,Private,,3,"['4,138', '']","['162', '']","['32', '']","['889', '']","['21', '']","['180', '']","['430', '']","['1,281', '']","['15', '']","['410', '']","['718', '']"
