table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10446,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,1588,1622,1644,2.1,1.4
10446,r002,R&D and R&D plant -> Hospital and medical care for veterans (703),R&D and R&D plant,Hospital and medical care for veterans (703),,,,2,1588,1622,1644,2.1,1.4
10446,r003,R&D and R&D plant -> Hospital and medical care for veterans (703) -> Department of Veterans Affairs,R&D and R&D plant,Hospital and medical care for veterans (703),Department of Veterans Affairs,,,3,1588,1622,1644,2.1,1.4
10446,r004,R&D and R&D plant -> Hospital and medical care for veterans (703) -> Department of Veterans Affairs -> Medical and prosthetic research,R&D and R&D plant,Hospital and medical care for veterans (703),Department of Veterans Affairs,Medical and prosthetic research,,4,882,916,938,3.9,2.4
10446,r005,R&D and R&D plant -> Hospital and medical care for veterans (703) -> Department of Veterans Affairs -> Medical services,R&D and R&D plant,Hospital and medical care for veterans (703),Department of Veterans Affairs,Medical services,,4,706,706,706,0.0,0.0
10446,r006,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,1588,1622,1644,2.1,1.4
10446,r007,R&D and R&D plant -> R&D -> Hospital and medical care for veterans (703),R&D and R&D plant,R&D,Hospital and medical care for veterans (703),,,3,1588,1622,1644,2.1,1.4
10446,r008,R&D and R&D plant -> R&D -> Hospital and medical care for veterans (703) -> Department of Veterans Affairs,R&D and R&D plant,R&D,Hospital and medical care for veterans (703),Department of Veterans Affairs,,4,1588,1622,1644,2.1,1.4
10446,r009,R&D and R&D plant -> R&D -> Hospital and medical care for veterans (703) -> Department of Veterans Affairs -> Medical and prosthetic research,R&D and R&D plant,R&D,Hospital and medical care for veterans (703),Department of Veterans Affairs,Medical and prosthetic research,5,882,916,938,3.9,2.4
10446,r010,R&D and R&D plant -> R&D -> Hospital and medical care for veterans (703) -> Department of Veterans Affairs -> Medical services,R&D and R&D plant,R&D,Hospital and medical care for veterans (703),Department of Veterans Affairs,Medical services,5,706,706,706,0.0,0.0
