table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
12746,r001,All institutions,All institutions,,1,-,"['3,092,480', '']","['73,140', '']","['85,621', '']","['1,872,244', '']","['8,400', '']","['154,708', '']","['21,692', '']","['150,303', '']","['30,483', '']","['459,918', '']","['235,971', '']"
12746,r002,All institutions -> Cornell U.,All institutions,Cornell U.,2,1,"['186,792', '']","['4,115', '']","['112', '']","['151,866', '']","['28', '']","['6,041', '']","['851', '']","['2,395', '']","['0', '']","['16,583', '']","['4,801', '']"
12746,r003,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,2,"['181,241', '']","['0', '']","['0', '']","['178,692', '']","['0', '']","['2,549', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12746,r004,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,3,"['152,029', '']","['0', '']","['0', '']","['149,455', '']","['321', '']","['580', '']","['737', '']","['936', '']","['0', '']","['0', '']","['0', '']"
12746,r005,All institutions -> New York U.,All institutions,New York U.,2,4,"['141,454', '']","['1,148', '']","['343', '']","['11,064', '']","['625', '']","['5,689', '']","['308', '']","['13,476', '']","['0', '']","['89,989', '']","['18,812', '']"
12746,r006,All institutions -> U. Arizona,All institutions,U. Arizona,2,5,"['122,398', '']","['438', '']","['5,383', '']","['80,337', '']","['24', '']","['22,716', '']","['409', '']","['3,623', '']","['36', '']","['8,066', '']","['1,366', '']"
12746,r007,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,6,"['94,043', '']","['304', '']","['6,928', '']","['61,208', '']","['289', '']","['2,603', '']","['800', '']","['4,485', '']","['0', '']","['14,837', '']","['2,589', '']"
12746,r008,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,7,"['75,871', '']","['6,042', '']","['609', '']","['4,365', '']","['55', '']","['2,915', '']","['5', '']","['5,727', '']","['3,096', '']","['47,172', '']","['5,885', '']"
12746,r009,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,8,"['68,682', '']","['897', '']","['516', '']","['44,717', '']","['119', '']","['695', '']","['484', '']","['4,969', '']","['2', '']","['1,428', '']","['14,855', '']"
12746,r010,All institutions -> U. Texas Southwestern Medical Center,All institutions,U. Texas Southwestern Medical Center,2,9,"['64,661', '']","['0', '']","['0', '']","['64,661', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12746,r011,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,10,"['59,262', '']","['565', '']","['247', '']","['53,442', '']","['29', '']","['463', '']","['423', '']","['522', '']","['168', '']","['2,698', '']","['705', '']"
12746,r012,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,11,"['57,442', '']","['1,911', '']","['5,892', '']","['15,229', '']","['87', '']","['19,388', '']","['0', '']","['620', '']","['3,842', '']","['10,473', '']","['0', '']"
12746,r013,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,12,"['54,129', '']","['1,378', '']","['2,292', '']","['29,429', '']","['248', '']","['1,843', '']","['266', '']","['1,639', '']","['509', '']","['13,109', '']","['3,416', '']"
12746,r014,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,13,"['53,559', '']","['2,359', '']","['2,645', '']","['40,509', '']","['0', '']","['310', '']","['809', '']","['828', '']","['0', '']","['5,356', '']","['743', '']"
12746,r015,All institutions -> U. Southern California,All institutions,U. Southern California,2,14,"['52,939', '']","['993', '']","['799', '']","['37,992', '']","['33', '']","['557', '']","['56', '']","['3,173', '']","['0', '']","['2,581', '']","['6,755', '']"
12746,r016,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,15,"['52,067', '']","['5,756', '']","['190', '']","['23,651', '']","['168', '']","['15,036', '']","['251', '']","['861', '']","['0', '']","['3,644', '']","['2,510', '']"
12746,r017,All institutions -> Princeton U.,All institutions,Princeton U.,2,16,"['51,994', '']","['1,398', '']","['2,691', '']","['20,164', '']","['882', '']","['3,404', '']","['140', '']","['11,673', '']","['0', '']","['5,570', '']","['6,072', '']"
12746,r018,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,17,"['47,628', '']","['994', '']","['1,427', '']","['27,326', '']","['62', '']","['2,823', '']","['68', '']","['1,183', '']","['2,297', '']","['7,176', '']","['4,272', '']"
12746,r019,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,18,"['47,120', '']","['150', '']","['456', '']","['34,964', '']","['136', '']","['907', '']","['110', '']","['297', '']","['1,117', '']","['6,907', '']","['2,076', '']"
12746,r020,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,19,"['46,400', '']","['165', '']","['113', '']","['42,832', '']","['1', '']","['129', '']","['25', '']","['598', '']","['183', '']","['1,972', '']","['382', '']"
12746,r021,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,20,"['42,904', '']","['2,230', '']","['689', '']","['25,466', '']","['564', '']","['1,992', '']","['666', '']","['1,921', '']","['0', '']","['7,032', '']","['2,344', '']"
12746,r022,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,21,"['41,328', '']","['233', '']","['1,164', '']","['31,627', '']","['0', '']","['414', '']","['379', '']","['520', '']","['0', '']","['6,602', '']","['389', '']"
12746,r023,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,22,"['39,649', '']","['842', '']","['492', '']","['11,471', '']","['90', '']","['1,498', '']","['628', '']","['378', '']","['435', '']","['13,935', '']","['9,880', '']"
12746,r024,All institutions -> U. Florida,All institutions,U. Florida,2,23,"['37,770', '']","['69', '']","['76', '']","['32,562', '']","['0', '']","['606', '']","['43', '']","['393', '']","['0', '']","['2,958', '']","['1,063', '']"
12746,r025,All institutions -> U. Oregon,All institutions,U. Oregon,2,24,"['35,894', '']","['679', '']","['171', '']","['22,699', '']","['19', '']","['639', '']","['22', '']","['1,062', '']","['0', '']","['0', '']","['10,603', '']"
12746,r026,All institutions -> U. Iowa,All institutions,U. Iowa,2,25,"['35,476', '']","['504', '']","['8', '']","['28,162', '']","['20', '']","['175', '']","['102', '']","['276', '']","['110', '']","['1,868', '']","['4,251', '']"
12746,r027,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,26,"['35,050', '']","['1,488', '']","['0', '']","['11,380', '']","['94', '']","['1,138', '']","['71', '']","['9,016', '']","['424', '']","['0', '']","['11,439', '']"
12746,r028,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,27,"['35,017', '']","['272', '']","['1,411', '']","['12,201', '']","['84', '']","['4,532', '']","['356', '']","['3,519', '']","['38', '']","['11,694', '']","['910', '']"
12746,r029,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,28,"['32,163', '']","['237', '']","['719', '']","['737', '']","['29', '']","['18,710', '']","['66', '']","['233', '']","['0', '']","['9,789', '']","['1,643', '']"
12746,r030,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,29,"['28,319', '']","['140', '']","['9', '']","['24,395', '']","['31', '']","['158', '']","['3', '']","['241', '']","['16', '']","['1,119', '']","['2,207', '']"
12746,r031,All institutions -> Harvard U.,All institutions,Harvard U.,2,30,"['28,007', '']","['0', '']","['405', '']","['12,877', '']","['10', '']","['472', '']","['76', '']","['9,840', '']","['0', '']","['1,736', '']","['2,591', '']"
12746,r032,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,31,"['27,251', '']","['1,071', '']","['0', '']","['2,506', '']","['100', '']","['552', '']","['177', '']","['5,201', '']","['4,752', '']","['3,541', '']","['9,351', '']"
12746,r033,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,32,"['26,577', '']","['143', '']","['238', '']","['4,847', '']","['193', '']","['6,331', '']","['354', '']","['2,286', '']","['2,709', '']","['7,324', '']","['2,152', '']"
12746,r034,All institutions -> Duke U.,All institutions,Duke U.,2,33,"['26,238', '']","['111', '']","['286', '']","['22,061', '']","['14', '']","['109', '']","['175', '']","['1,095', '']","['19', '']","['1,337', '']","['1,031', '']"
12746,r035,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,34,"['25,686', '']","['773', '']","['2,313', '']","['4,753', '']","['57', '']","['1,737', '']","['552', '']","['7,855', '']","['589', '']","['2,812', '']","['4,245', '']"
12746,r036,All institutions -> Thomas Jefferson U.,All institutions,Thomas Jefferson U.,2,35,"['25,300', '']","['0', '']","['0', '']","['25,300', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12746,r037,"All institutions -> U. Nebraska, Lincoln and Medical Center<sup>a</sup>",All institutions,"U. Nebraska, Lincoln and Medical Center<sup>a</sup>",2,36,"['22,934', '']","['22', '']","['45', '']","['20,979', '']","['4', '']","['82', '']","['128', '']","['249', '']","['0', '']","['625', '']","['800', '']"
