table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2020,field_total_2021,field_total_2022,field_total_2023,field_federally_financed_2020,field_federally_financed_2021,field_federally_financed_2022,field_federally_financed_2023
12688,r001,All institutions,All institutions,,1,-,"['15,766,687', '']","['16,568,079', '']","['18,130,240', '']","['19,526,385', '']","['9,337,535', '']","['10,006,560', '']","['10,934,362', '']","['11,753,581', '']"
12688,r002,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,1,"['780,497', '']","['835,864', '']","['936,939', '']","['1,053,560', '']","['390,309', '']","['434,661', '']","['475,926', '']","['538,801', '']"
12688,r003,All institutions -> Harvard U.,All institutions,Harvard U.,2,2,"['534,656', '']","['539,289', '']","['561,958', '']","['647,908', '']","['325,366', '']","['308,919', '']","['309,766', '']","['346,008', '']"
12688,r004,All institutions -> Scripps Research Institute,All institutions,Scripps Research Institute,2,3,"['444,964', '']","['485,435', '']","['492,639', '']","['494,946', '']","['243,502', '']","['272,181', '']","['242,135', '']","['278,099', '']"
12688,r005,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,4,"['359,900', '']","['391,642', '']","['411,941', '']","['458,822', '']","['208,188', '']","['235,660', '']","['261,518', '']","['281,656', '']"
12688,r006,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,5,"['359,856', '']","['389,457', '']","['389,199', '']","['424,528', '']","['216,565', '']","['237,968', '']","['260,132', '']","['285,482', '']"
12688,r007,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,6,"['311,546', '']","['345,012', '']","['400,058', '']","['399,742', '']","['166,676', '']","['196,635', '']","['222,712', '']","['230,234', '']"
12688,r008,All institutions -> U. Southern California,All institutions,U. Southern California,2,7,"['132,168', '']","['117,462', '']","['398,478', '']","['382,074', '']","['91,893', '']","['82,518', '']","['172,487', '']","['200,990', '']"
12688,r009,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,8,"['311,295', 'i']","['350,122', 'i']","['358,980', 'i']","['379,802', 'i']","['221,384', '']","['269,831', '']","['273,011', '']","['279,015', '']"
12688,r010,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,9,"['294,183', '']","['304,345', '']","['353,030', '']","['364,789', '']","['189,410', '']","['206,387', '']","['243,501', '']","['255,129', '']"
12688,r011,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,10,"['260,831', '']","['286,353', '']","['322,882', '']","['358,634', '']","['153,375', '']","['168,960', '']","['180,761', '']","['192,842', '']"
12688,r012,All institutions -> Rockefeller U.,All institutions,Rockefeller U.,2,11,"['322,734', '']","['325,035', '']","['328,999', '']","['354,022', '']","['78,153', '']","['87,220', '']","['87,168', '']","['93,816', '']"
12688,r013,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,12,"['304,198', '']","['320,834', '']","['326,187', '']","['353,135', '']","['64,702', '']","['73,202', '']","['73,169', '']","['78,004', '']"
12688,r014,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,13,"['277,654', '']","['273,356', '']","['318,077', '']","['347,583', '']","['162,347', '']","['159,456', '']","['199,721', '']","['206,133', '']"
12688,r015,All institutions -> Cornell U.,All institutions,Cornell U.,2,14,"['311,954', '']","['317,690', '']","['356,105', '']","['347,213', '']","['153,222', '']","['164,967', '']","['174,559', '']","['184,382', '']"
12688,r016,All institutions -> New York U.,All institutions,New York U.,2,15,"['250,446', '']","['297,690', '']","['321,462', '']","['338,972', '']","['147,771', '']","['177,500', '']","['202,644', '']","['218,335', '']"
12688,r017,All institutions -> Duke U.,All institutions,Duke U.,2,16,"['245,327', '']","['291,851', '']","['289,829', '']","['317,434', '']","['195,787', '']","['236,697', '']","['242,664', '']","['272,094', '']"
12688,r018,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,17,"['266,507', '']","['262,263', '']","['266,722', '']","['298,094', '']","['180,703', '']","['185,914', '']","['198,644', '']","['203,273', '']"
12688,r019,All institutions -> Stanford U.,All institutions,Stanford U.,2,18,"['228,842', '']","['242,245', '']","['265,253', '']","['280,092', '']","['179,023', '']","['185,954', '']","['196,494', '']","['207,841', '']"
12688,r020,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,19,"['206,509', '']","['226,903', '']","['249,393', '']","['272,728', '']","['168,917', '']","['186,401', '']","['198,164', '']","['217,140', '']"
12688,r021,All institutions -> Emory U.,All institutions,Emory U.,2,20,"['182,193', '']","['203,597', '']","['228,756', '']","['252,403', '']","['144,201', '']","['161,290', '']","['186,219', '']","['200,429', '']"
12688,r022,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,21,"['113,712', '']","['90,875', '']","['214,943', '']","['246,404', '']","['57,418', '']","['54,432', '']","['134,409', '']","['150,612', '']"
12688,r023,All institutions -> Yale U.,All institutions,Yale U.,2,22,"['206,929', '']","['222,114', '']","['226,285', '']","['245,250', '']","['140,048', '']","['150,159', '']","['158,700', '']","['167,992', '']"
12688,r024,All institutions -> U. Arizona,All institutions,U. Arizona,2,23,"['212,741', '']","['221,774', '']","['218,490', '']","['241,895', '']","['101,105', '']","['115,658', '']","['110,999', '']","['128,309', '']"
12688,r025,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,24,"['167,907', '']","['191,773', '']","['222,099', '']","['231,074', '']","['123,492', '']","['143,283', '']","['156,412', '']","['172,657', '']"
12688,r026,All institutions -> U. Florida,All institutions,U. Florida,2,25,"['125,655', '']","['134,050', '']","['148,797', '']","['230,400', '']","['61,336', '']","['66,696', '']","['73,499', '']","['105,491', '']"
12688,r027,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,26,"['218,316', '']","['199,310', '']","['211,134', '']","['228,212', '']","['136,739', '']","['120,744', '']","['136,955', '']","['145,722', '']"
12688,r028,All institutions -> U. Texas Southwestern Medical Center,All institutions,U. Texas Southwestern Medical Center,2,27,"['214,795', '']","['219,742', '']","['223,987', '']","['221,855', '']","['88,551', '']","['100,990', '']","['112,127', '']","['112,594', '']"
12688,r029,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,28,"['183,620', '']","['206,202', '']","['194,205', '']","['221,265', '']","['109,381', '']","['121,941', '']","['127,970', '']","['142,026', '']"
12688,r030,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,29,"['175,026', '']","['181,729', '']","['204,821', '']","['216,881', '']","['93,567', '']","['101,455', '']","['111,422', '']","['116,212', '']"
12688,r031,All institutions -> Boston U.,All institutions,Boston U.,2,30,"['163,939', '']","['168,310', '']","['189,654', '']","['211,743', '']","['110,627', '']","['112,638', '']","['124,668', '']","['132,253', '']"
