table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_provided_appropriate_recognition_for_work_disagree,field_provided_appropriate_recognition_for_work_neither_agree_nor_disagree,field_provided_appropriate_recognition_for_work_agree,field_encouraged_collaboration_with_others_disagree,field_encouraged_collaboration_with_others_neither_agree_nor_disagree,field_encouraged_collaboration_with_others_agree,field_encouraged_increasing_independence_in_research_or_work_disagree,field_encouraged_increasing_independence_in_research_or_work_neither_agree_nor_disagree,field_encouraged_increasing_independence_in_research_or_work_agree,field_provided_opportunities_to_work_on_grant_proposals_disagree,field_provided_opportunities_to_work_on_grant_proposals_neither_agree_nor_disagree,field_provided_opportunities_to_work_on_grant_proposals_agree,field_supported_publishing_papers_or_presenting_work_disagree,field_supported_publishing_papers_or_presenting_work_neither_agree_nor_disagree,field_supported_publishing_papers_or_presenting_work_agree,field_provided_career_guidance_disagree,field_provided_career_guidance_neither_agree_nor_disagree,field_provided_career_guidance_agree,field_encouraged_work_life_balance_disagree,field_encouraged_work_life_balance_neither_agree_nor_disagree,field_encouraged_work_life_balance_agree
3813,r001,Early career doctorates with supervisors,Early career doctorates with supervisors,,,,1,155800,15.1,8.9,76.0,14.0,19.1,66.9,12.7,21.3,66.0,21.5,26.9,51.6,9.6,11.5,79.0,20.7,20.4,59.0,17.9,23.0,59.0
3813,r002,Early career doctorates with supervisors -> Sex,Early career doctorates with supervisors,Sex,,,2,,,,,,,,,,,,,,,,,,,,,,
3813,r003,Early career doctorates with supervisors -> Sex -> Female,Early career doctorates with supervisors,Sex,Female,,3,75000,16.6,9.5,73.8,15.4,21.5,63.1,13.0,22.8,64.2,24.5,27.6,47.9,10.6,12.3,77.1,23.7,20.6,55.8,20.2,21.6,58.2
3813,r004,Early career doctorates with supervisors -> Sex -> Male,Early career doctorates with supervisors,Sex,Male,,3,80900,13.7,8.3,78.1,12.6,16.9,70.5,12.4,20.0,67.6,18.8,26.2,55.0,8.6,10.6,80.7,17.9,20.2,61.9,15.9,24.4,59.7
3813,r005,Early career doctorates with supervisors -> Citizenship and sex,Early career doctorates with supervisors,Citizenship and sex,,,2,,,,,,,,,,,,,,,,,,,,,,
3813,r006,Early career doctorates with supervisors -> Citizenship and sex -> U.S. citizen or permanent resident,Early career doctorates with supervisors,Citizenship and sex,U.S. citizen or permanent resident,,3,128200,15.6,9.4,75.0,14.5,20.8,64.8,13.1,23.1,63.8,22.1,28.6,49.4,9.7,12.6,77.7,21.1,21.3,57.6,17.9,23.4,58.6
3813,r007,Early career doctorates with supervisors -> Citizenship and sex -> U.S. citizen or permanent resident -> Female,Early career doctorates with supervisors,Citizenship and sex,U.S. citizen or permanent resident,Female,4,66600,17.2,9.9,73.0,15.8,22.5,61.6,13.4,23.7,62.9,24.9,28.3,46.7,10.8,13.0,76.2,23.9,21.0,55.1,20.1,21.6,58.2
3813,r008,Early career doctorates with supervisors -> Citizenship and sex -> U.S. citizen or permanent resident -> Male,Early career doctorates with supervisors,Citizenship and sex,U.S. citizen or permanent resident,Male,4,61600,14.0,8.9,77.1,13.0,18.9,68.1,12.7,22.6,64.7,19.0,28.8,52.2,8.6,12.1,79.3,18.0,21.6,60.4,15.6,25.4,59.0
3813,r009,Early career doctorates with supervisors -> Citizenship and sex -> Temporary visa holder,Early career doctorates with supervisors,Citizenship and sex,Temporary visa holder,,3,27700,12.7,6.3,81.0,11.6,11.3,77.1,11.0,12.9,76.1,19.0,19.2,61.8,8.9,6.2,84.9,18.7,16.0,65.3,18.0,21.1,60.9
3813,r010,Early career doctorates with supervisors -> Citizenship and sex -> Temporary visa holder -> Female,Early career doctorates with supervisors,Citizenship and sex,Temporary visa holder,Female,4,8300,12.5,6.6,80.9,11.7,13.3,74.9,10.1,15.4,74.5,21.0,22.2,56.8,9.1,6.8,84.1,21.3,17.2,61.5,20.5,21.2,58.3
