table_id,row_id,field_and_demographic_characteristic_full_path,field_and_demographic_characteristic_level_1,field_and_demographic_characteristic_level_2,field_and_demographic_characteristic_level_3,field_and_demographic_characteristic_level_4,field_and_demographic_characteristic_hierarchy_depth,field_median_age_at_doctorate_years_a,field_all_ages,field_25_and_under,field_26_30,field_31_35,field_36_40,field_41_45,field_over_45
2808,r001,All fields,All fields,,,,1,31.5,100.0,0.7,44.2,31.1,11.9,5.1,7.0
2808,r002,All fields -> Life sciences<sup>b</sup>,All fields,Life sciences<sup>b</sup>,,,2,31.0,100.0,0.7,49.0,31.5,9.6,4.1,5.2
2808,r003,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,,2,29.5,100.0,1.1,66.4,24.5,5.5,1.5,1.0
2808,r004,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,,2,30.3,100.0,1.4,55.0,28.5,9.0,2.8,3.3
2808,r005,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,,2,32.4,100.0,0.3,35.9,36.0,14.5,5.5,7.7
2808,r006,All fields -> Engineering,All fields,Engineering,,,2,30.1,100.0,1.3,58.5,28.1,7.5,2.4,2.2
2808,r007,All fields -> Education,All fields,Education,,,2,38.3,100.0,0.1,12.5,26.2,22.3,14.3,24.5
2808,r008,All fields -> Humanities and arts,All fields,Humanities and arts,,,2,34.2,100.0,0.2,20.7,41.8,19.5,8.2,9.6
2808,r009,All fields -> Other<sup>c</sup>,All fields,Other<sup>c</sup>,,,2,34.9,100.0,0.3,22.9,33.1,18.4,9.3,16.0
2808,r010,All fields -> Sex,All fields,Sex,,,2,,,,,,,,
2808,r011,All fields -> Sex -> Male,All fields,Sex,Male,,3,31.3,100.0,0.7,46.4,31.6,11.6,4.4,5.4
2808,r012,All fields -> Sex -> Female,All fields,Sex,Female,,3,31.9,100.0,0.7,41.7,30.5,12.2,5.9,8.9
2808,r013,All fields -> Citizenship status,All fields,Citizenship status,,,2,,,,,,,,
2808,r014,All fields -> Citizenship status -> U.S. citizen or permanent resident,All fields,Citizenship status,U.S. citizen or permanent resident,,3,31.8,100.0,0.7,42.4,28.9,12.3,5.9,9.7
2808,r015,All fields -> Citizenship status -> Temporary visa holder,All fields,Citizenship status,Temporary visa holder,,3,31.1,100.0,0.8,47.9,35.4,10.9,3.3,1.7
2808,r016,All fields -> Ethnicity and race (U.S. citizens and permanent residents),All fields,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,
2808,r017,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All fields,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,32.3,100.0,0.5,38.8,30.7,14.0,7.3,8.7
2808,r018,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,
2808,r019,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,36.3,100.0,0.0,24.1,24.1,19.8,6.9,25.0
2808,r020,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,31.1,100.0,1.0,47.4,31.0,11.0,4.5,5.1
2808,r021,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,36.1,100.0,0.3,25.2,24.1,16.0,10.6,23.8
2808,r022,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,31.6,100.0,0.7,44.1,28.8,12.0,5.4,9.0
2808,r023,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,31.3,100.0,1.4,45.2,30.9,9.6,5.9,7.1
2808,r024,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,32.8,100.0,0.3,34.8,34.8,11.3,7.9,11.0
2808,r025,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All fields,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,33.0,100.0,0.2,37.8,29.5,16.0,6.8,9.8
