table_id,row_id,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_full_path,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_1,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_2,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_3,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_4,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_5,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_hierarchy_depth,field_total,field_employed_in_all_occupations_employed,field_employed_in_all_occupations_full_time,field_employed_in_all_occupations_part_time,field_employed_in_s_e_occupations_full_time,field_employed_in_s_e_occupations_part_time,field_employed_in_s_e_related_occupations_full_time,field_employed_in_s_e_related_occupations_part_time,field_employed_in_non_s_e_occupations_full_time,field_employed_in_non_s_e_occupations_part_time,field_unemployeda,field_not_in_labor_forceb_total,field_not_in_labor_forceb_student,field_not_in_labor_forceb_retired,field_not_in_labor_forceb_not_seeking_employment_all_other_reasons,field_full_time_employed_salary_
5589,r001,75 and younger,75 and younger,,,,,1,64696000,50524000,41929000,8595000,6784000,683000,7269000,1624000,27876000,6289000,1633000,12538000,637000,8357000,3544000,73000
5589,r002,75 and younger -> Female,75 and younger,Female,,,,2,34816000,26341000,20577000,5764000,1861000,331000,3870000,1239000,14846000,4194000,834000,7641000,377000,4335000,2929000,64000
5589,r003,75 and younger -> Male,75 and younger,Male,,,,2,29879000,24183000,21352000,2832000,4922000,351000,3399000,385000,13030000,2095000,800000,4897000,260000,4022000,615000,85000
5589,r004,75 and younger -> Hispanic or Latino,75 and younger,Hispanic or Latino,,,,2,5912000,4803000,3942000,861000,511000,54000,644000,177000,2787000,630000,267000,842000,74000,411000,357000,65000
5589,r005,75 and younger -> Not Hispanic or Latino,75 and younger,Not Hispanic or Latino,,,,2,,,,,,,,,,,,,,,,
5589,r006,75 and younger -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,Not Hispanic or Latino,American Indian or Alaska Native,,,3,232000,182000,163000,20000,S,,22000,S,119000,13000,2000,47000,S,17000,23000,50000
5589,r007,75 and younger -> Not Hispanic or Latino -> Asian,75 and younger,Not Hispanic or Latino,Asian,,,3,6305000,5062000,4249000,813000,1391000,152000,957000,194000,1901000,467000,187000,1056000,125000,352000,579000,90000
5589,r008,75 and younger -> Not Hispanic or Latino -> Black or African American,75 and younger,Not Hispanic or Latino,Black or African American,,,3,4777000,3895000,3345000,549000,344000,35000,535000,78000,2467000,436000,228000,654000,52000,428000,173000,59000
5589,r009,75 and younger -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,3,157000,129000,113000,S,16000,,29000,1000,67000,S,,26000,,S,13000,95000
5589,r010,75 and younger -> Not Hispanic or Latino -> White,75 and younger,Not Hispanic or Latino,White,,,3,45906000,35269000,29143000,6126000,4353000,431000,4921000,1131000,19868000,4564000,896000,9741000,351000,7042000,2348000,75000
5589,r011,75 and younger -> Not Hispanic or Latino -> More than one race,75 and younger,Not Hispanic or Latino,More than one race,,,3,1406000,1184000,974000,210000,148000,10000,161000,36000,665000,164000,51000,171000,27000,92000,51000,65000
5589,r012,75 and younger -> Without disability,75 and younger,Without disability,,,,2,55447000,44717000,37280000,7437000,6215000,580000,6677000,1471000,24388000,5386000,1232000,9497000,581000,6149000,2767000,75000
5589,r013,75 and younger -> With disability,75 and younger,With disability,,,,2,9249000,5807000,4649000,1158000,568000,103000,592000,153000,3488000,902000,402000,3040000,56000,2207000,777000,68000
5589,r014,75 and younger -> With disability -> Age at onset of disability,75 and younger,With disability,Age at onset of disability,,,3,,,,,,,,,,,,,,,,
5589,r015,75 and younger -> With disability -> Age at onset of disability -> Since birth,75 and younger,With disability,Age at onset of disability,Since birth,,4,574000,358000,295000,63000,64000,7000,52000,3000,179000,53000,44000,172000,18000,105000,49000,60000
5589,r016,75 and younger -> With disability -> Age at onset of disability -> 1&#8211;9,75 and younger,With disability,Age at onset of disability,1&#8211;9,,4,748000,564000,443000,121000,50000,13000,66000,33000,326000,75000,S,110000,S,63000,43000,61000
5589,r017,75 and younger -> With disability -> Age at onset of disability -> 10&#8211;19,75 and younger,With disability,Age at onset of disability,10&#8211;19,,4,1449000,1100000,883000,217000,131000,15000,95000,18000,657000,184000,63000,287000,12000,124000,151000,60000
5589,r018,75 and younger -> With disability -> Age at onset of disability -> 20&#8211;29,75 and younger,With disability,Age at onset of disability,20&#8211;29,,4,1071000,781000,678000,104000,74000,6000,88000,23000,515000,74000,68000,222000,9000,106000,107000,63000
5589,r019,75 and younger -> With disability -> Age at onset of disability -> 30&#8211;39,75 and younger,With disability,Age at onset of disability,30&#8211;39,,4,837000,542000,472000,70000,47000,6000,55000,13000,370000,51000,50000,245000,,126000,118000,66000
5589,r020,75 and younger -> With disability -> Age at onset of disability -> 40&#8211;49,75 and younger,With disability,Age at onset of disability,40&#8211;49,,4,1652000,1216000,1042000,173000,102000,18000,126000,20000,814000,136000,37000,399000,,261000,136000,80000
5589,r021,75 and younger -> With disability -> Age at onset of disability -> 50&#8211;59,75 and younger,With disability,Age at onset of disability,50&#8211;59,,4,1533000,866000,624000,241000,85000,19000,90000,23000,450000,200000,58000,609000,,469000,136000,79000
5589,r022,75 and younger -> With disability -> Age at onset of disability -> 60&#8211;75,75 and younger,With disability,Age at onset of disability,60&#8211;75,,4,1385000,381000,212000,169000,15000,19000,20000,21000,176000,129000,8000,995000,,952000,37000,59000
5589,r023,75 and younger -> 29 and younger,75 and younger,29 and younger,,,,2,8580000,7572000,6440000,1132000,1260000,157000,1119000,202000,4061000,773000,262000,746000,418000,,328000,50000
5589,r024,75 and younger -> 29 and younger -> Female,75 and younger,29 and younger,Female,,,3,5089000,4456000,3665000,791000,382000,92000,747000,153000,2536000,546000,151000,482000,219000,,263000,48000
5589,r025,75 and younger -> 29 and younger -> Male,75 and younger,29 and younger,Male,,,3,3491000,3116000,2775000,341000,878000,65000,372000,49000,1525000,226000,111000,264000,199000,,65000,55000
