table_id,row_id,_b_citizenship_ethnicity_race_and_field_b_full_path,_b_citizenship_ethnicity_race_and_field_b_level_1,_b_citizenship_ethnicity_race_and_field_b_level_2,_b_citizenship_ethnicity_race_and_field_b_level_3,_b_citizenship_ethnicity_race_and_field_b_level_4,_b_citizenship_ethnicity_race_and_field_b_level_5,_b_citizenship_ethnicity_race_and_field_b_level_6,_b_citizenship_ethnicity_race_and_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_female,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_female,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_female,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_female,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_female
10680,r001,All surveyed fields,All surveyed fields,,,,,,1,798534,48.4,501311,49.8,297223,46.0,62750,42.6,32279,42.6
10680,r002,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup>,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,,,,,2,500299,54.5,322005,56.2,178294,51.4,27289,47.8,na,na
10680,r003,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,,3,69621,57.9,48303,59.8,21318,53.5,2192,51.1,na,na
10680,r004,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,,3,,,,,,,,,,
10680,r005,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,,4,2082,64.1,1331,65.7,751,61.3,92,56.5,na,na
10680,r006,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,,4,61426,50.0,40873,50.0,20553,49.9,5286,43.9,na,na
10680,r007,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,,4,44016,63.4,31398,64.0,12618,61.8,1141,59.1,na,na
10680,r008,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,4,738,56.0,541,55.6,197,56.9,34,41.2,na,na
10680,r009,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,,4,279657,53.3,172212,55.4,107445,50.1,15221,47.8,na,na
10680,r010,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,,4,19331,56.0,12002,56.9,7329,54.6,638,52.0,na,na
