table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2017,field_2018,field_2019,field_2020_all_social_sciences,field_2020_anthropology,field_2020_economics,field_2020_political_science_and_government,field_2020_sociology_demography_and_population_studies,field_2020_social_sciences_nec
5435,r001,All institutions,All institutions,,1,-,"['932,660', '']","['937,772', '']","['938,491', '']","['969,278', '']","['38,847', '']","['121,461', '']","['78,462', '']","['253,213', '']","['477,295', '']"
5435,r002,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,1,"['106,574', '']","['100,114', '']","['91,183', '']","['89,211', '']","['1,011', '']","['21,080', '']","['12,713', '']","['13,598', '']","['40,809', '']"
5435,r003,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,2,"['86,345', '']","['91,658', '']","['84,279', '']","['56,291', '']","['98', '']","['161', '']","['1,905', '']","['50,140', '']","['3,987', '']"
5435,r004,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,3,"['na', '']","['na', '']","['38,235', '']","['36,918', '']","['424', '']","['545', '']","['1,460', '']","['2,336', '']","['32,153', '']"
5435,r005,All institutions -> U. Southern California,All institutions,U. Southern California,2,4,"['18,027', '']","['20,665', '']","['25,317', '']","['28,212', '']","['0', '']","['310', '']","['1', '']","['47', '']","['27,854', '']"
5435,r006,All institutions -> Harvard U.,All institutions,Harvard U.,2,5,"['23,808', '']","['24,768', '']","['25,188', '']","['27,768', '']","['47', '']","['2,220', '']","['308', '']","['513', '']","['24,680', '']"
5435,r007,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,6,"['19,454', '']","['21,506', '']","['19,987', '']","['24,863', '']","['24', '']","['1,720', '']","['1,565', '']","['3,192', '']","['18,362', '']"
5435,r008,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,7,"['7,242', '']","['7,979', '']","['9,867', '']","['23,664', '']","['169', '']","['11,767', '']","['77', '']","['984', '']","['10,667', '']"
5435,r009,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,8,"['2,715', '']","['3,059', '']","['2,412', '']","['21,373', '']","['0', '']","['58', '']","['0', '']","['240', '']","['21,075', '']"
5435,r010,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,9,"['15,310', '']","['18,301', '']","['22,385', '']","['21,158', '']","['3,268', '']","['1,358', '']","['725', '']","['2,315', '']","['13,492', '']"
5435,r011,All institutions -> Duke U.,All institutions,Duke U.,2,10,"['21,311', '']","['20,189', '']","['19,689', '']","['20,611', '']","['1,278', '']","['1,867', '']","['418', '']","['8,567', '']","['8,481', '']"
5435,r012,All institutions -> Brown U.,All institutions,Brown U.,2,11,"['4,463', '']","['7,936', '']","['13,087', '']","['17,975', '']","['0', '']","['151', '']","['0', '']","['124', '']","['17,700', '']"
5435,r013,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,12,"['14,147', '']","['17,953', '']","['18,611', '']","['17,297', '']","['80', '']","['83', '']","['0', '']","['7,253', '']","['9,881', '']"
5435,r014,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,13,"['15,142', '']","['15,056', '']","['14,723', '']","['16,651', '']","['281', '']","['630', '']","['457', '']","['13,419', '']","['1,864', '']"
5435,r015,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,14,"['19,720', '']","['17,575', '']","['17,160', '']","['15,486', '']","['100', '']","['1,810', '']","['1,438', '']","['11,571', '']","['567', '']"
5435,r016,"All institutions -> U. South Florida, Tampa",All institutions,"U. South Florida, Tampa",2,15,"['20,699', '']","['11,837', '']","['14,684', '']","['14,278', '']","['478', '']","['7', '']","['0', '']","['980', '']","['12,813', '']"
5435,r017,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,16,"['8,134', '']","['8,099', '']","['9,485', '']","['13,505', '']","['2,119', '']","['26', '']","['1,059', '']","['62', '']","['10,239', '']"
5435,r018,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,17,"['11,924', '']","['9,557', '']","['10,773', '']","['12,384', '']","['0', '']","['3,687', '']","['1,969', '']","['896', '']","['5,832', '']"
5435,r019,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,18,"['18,471', '']","['12,966', '']","['11,862', '']","['12,255', '']","['1,678', '']","['515', '']","['211', '']","['9,851', '']","['0', '']"
5435,r020,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,19,"['11,287', '']","['11,913', '']","['13,373', '']","['11,527', '']","['30', '']","['517', '']","['0', '']","['7,736', '']","['3,244', '']"
5435,r021,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,20,"['7,533', '']","['7,671', '']","['8,342', '']","['10,746', '']","['291', '']","['2,273', '']","['324', '']","['3,948', '']","['3,910', '']"
5435,r022,All institutions -> U. Chicago,All institutions,U. Chicago,2,21,"['8,054', '']","['8,647', '']","['9,073', '']","['10,380', '']","['78', '']","['1,988', '']","['911', '']","['2,386', '']","['5,017', '']"
