table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_process_innovation_number_yes,field_process_innovation_number_no,field_process_innovation_percent_yes,field_process_innovation_percent_no
2592,r001,All companies,All companies,,,1,"['    4,603,606 ', '&nbsp;']","['    752,895 ', '&nbsp;']","['    3,850,711 ', '&nbsp;']","['    16.4 ', '&nbsp;']","['    83.6 ', '&nbsp;']"
2592,r002,All companies -> Race,All companies,Race,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2592,r003,All companies -> Race -> White,All companies,Race,White,3,"['    3,946,809 ', '&nbsp;']","['    641,736 ', '&nbsp;']","['    3,305,073 ', '&nbsp;']","['    16.3 ', '&nbsp;']","['    83.7 ', '&nbsp;']"
2592,r004,All companies -> Race -> Asian,All companies,Race,Asian,3,"['    460,617 ', '&nbsp;']","['    75,533 ', '&nbsp;']","['    385,083 ', '&nbsp;']","['    16.4 ', '&nbsp;']","['    83.6 ', '&nbsp;']"
2592,r005,All companies -> Race -> Black or African American,All companies,Race,Black or African American,3,"['    83,640 ', '&nbsp;']","['    14,704 ', '&nbsp;']","['    68,935 ', '&nbsp;']","['    17.6 ', '&nbsp;']","['    82.4 ', '&nbsp;']"
2592,r006,All companies -> Race -> American Indian or Alaska Native,All companies,Race,American Indian or Alaska Native,3,"['    19,983 ', '&nbsp;']","['    4,061 ', '&nbsp;']","['    15,923 ', '&nbsp;']","['    20.3 ', '&nbsp;']","['    79.7 ', '&nbsp;']"
2592,r007,All companies -> Race -> Native Hawaiian or Other Pacific Islander,All companies,Race,Native Hawaiian or Other Pacific Islander,3,"['    5,617 ', '&nbsp;']","['    1,051 ', '&nbsp;']","['    4,567 ', '&nbsp;']","['    18.7 ', '&nbsp;']","['    81.3 ', '&nbsp;']"
2592,r008,All companies -> Ethnicity,All companies,Ethnicity,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2592,r009,All companies -> Ethnicity -> Hispanic or Latino,All companies,Ethnicity,Hispanic or Latino,3,"['    242,652 ', '&nbsp;']","['    47,109 ', '&nbsp;']","['    195,543 ', '&nbsp;']","['    19.4 ', '&nbsp;']","['    80.6 ', '&nbsp;']"
2592,r010,All companies -> Ethnicity -> Equally Hispanic/ Not Hispanic or Latino,All companies,Ethnicity,Equally Hispanic/ Not Hispanic or Latino,3,"['    39,072 ', '&nbsp;']","['    7,156 ', '&nbsp;']","['    31,915 ', '&nbsp;']","['    18.3 ', '&nbsp;']","['    81.7 ', '&nbsp;']"
2592,r011,All companies -> Ethnicity -> Not Hispanic or Latino,All companies,Ethnicity,Not Hispanic or Latino,3,"['    4,229,882 ', '&nbsp;']","['    681,239 ', '&nbsp;']","['    3,548,643 ', '&nbsp;']","['    16.1 ', '&nbsp;']","['    83.9 ', '&nbsp;']"
2592,r012,All companies -> Minority status,All companies,Minority status,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2592,r013,All companies -> Minority status -> Minority,All companies,Minority status,Minority,3,"['    799,368 ', '&nbsp;']","['    140,202 ', '&nbsp;']","['    659,166 ', '&nbsp;']","['    17.5 ', '&nbsp;']","['    82.5 ', '&nbsp;']"
2592,r014,All companies -> Minority status -> Equally minority/ nonminority,All companies,Minority status,Equally minority/ nonminority,3,"['    68,687 ', '&nbsp;']","['    12,703 ', '&nbsp;']","['    55,985 ', '&nbsp;']","['    18.5 ', '&nbsp;']","['    81.5 ', '&nbsp;']"
2592,r015,All companies -> Minority status -> Nonminority,All companies,Minority status,Nonminority,3,"['    3,643,550 ', '&nbsp;']","['    582,599 ', '&nbsp;']","['    3,060,951 ', '&nbsp;']","['    16.0 ', '&nbsp;']","['    84.0 ', '&nbsp;']"
2592,r016,All companies -> Unclassifiable,All companies,Unclassifiable,,2,"['    92,001 ', 'i']","['    17,391 ', 'i']","['    74,610 ', 'i']","['    18.9 ', '&nbsp;']","['    81.1 ', '&nbsp;']"
